Date,Confirmed,Recovered,Deceased,Tested,DeltaConfirmed,DeltaRecovered,Population
04/20/2020,0,0,0,0,0,0,0
04/21/2020,0,0,0,0,0,0,0
04/22/2020,0,0,0,0,0,0,0
04/23/2020,0,0,0,0,0,0,0
04/24/2020,0,0,0,0,0,0,0
04/25/2020,0,0,0,0,0,0,0
04/26/2020,129,53,5,0,0,0,0
04/27/2020,130,53,5,0,1,0,0
04/28/2020,131,58,5,0,1,5,0
04/29/2020,131,58,5,0,0,0,0
04/30/2020,141,61,5,0,10,3,0
05/01/2020,141,69,5,0,0,8,0
05/02/2020,145,71,6,0,4,2,0
05/03/2020,149,72,6,0,4,1,0
05/04/2020,150,75,6,0,1,3,0
05/05/2020,153,75,6,0,3,0,0
05/06/2020,155,75,6,0,2,0,0
05/07/2020,156,77,6,0,1,2,0
05/08/2020,163,84,6,0,7,7,0
05/09/2020,175,86,6,0,12,2,0
05/10/2020,177,86,7,0,2,0,0
05/11/2020,178,91,7,0,1,5,0
05/12/2020,182,91,7,0,4,0,0
05/13/2020,184,95,7,0,2,4,0
05/14/2020,189,97,7,0,5,2,0
05/15/2020,202,101,7,0,13,4,0
05/16/2020,216,115,7,0,14,14,0
05/17/2020,216,122,7,0,0,7,0
05/18/2020,240,122,7,0,24,0,0
05/19/2020,246,123,8,0,6,1,0
05/20/2020,250,124,9,0,4,1,0
05/21/2020,258,124,9,0,8,0,0
05/22/2020,263,130,9,0,5,6,0
05/23/2020,267,130,10,0,4,0,0
05/24/2020,268,130,10,0,1,0,0
05/25/2020,276,149,10,0,8,19,0
05/26/2020,278,149,10,0,2,0,0
05/27/2020,284,151,10,0,6,2,0
05/28/2020,293,151,10,0,9,0,0
05/29/2020,305,151,10,0,12,0,0
05/30/2020,338,172,10,0,33,21,0
05/31/2020,359,231,10,0,21,59,0
06/01/2020,383,243,11,0,24,12,0
06/02/2020,395,243,11,0,12,0,0
06/03/2020,415,262,11,0,20,19,0
06/04/2020,424,262,13,0,9,0,0
06/05/2020,434,271,13,0,10,9,0
06/06/2020,452,276,13,0,18,5,0
06/07/2020,475,298,15,0,23,22,0
06/08/2020,493,298,18,0,18,0,0
06/09/2020,522,298,19,0,29,0,0
06/10/2020,564,298,21,0,42,0,0
06/11/2020,581,299,23,0,17,1,0
06/12/2020,617,299,27,0,36,0,0
06/13/2020,648,299,29,0,31,0,0
06/14/2020,690,327,32,0,42,28,0
06/15/2020,725,329,33,0,35,2,0
06/16/2020,772,361,38,0,47,32,0
06/17/2020,827,370,43,0,55,9,0
06/18/2020,844,384,51,0,17,14,0
06/19/2020,982,392,58,0,138,8,0
06/20/2020,1076,394,61,0,94,2,0
06/21/2020,1272,411,64,0,196,17,0
06/22/2020,1398,411,67,0,126,0,0
06/23/2020,1505,435,73,0,107,24,0
06/24/2020,1678,476,78,0,173,41,0
06/25/2020,1791,506,78,0,113,30,0
06/26/2020,1935,527,81,0,144,21,0
06/27/2020,2531,534,84,92309,596,7,0
06/28/2020,3314,534,88,102666,783,0,0
06/29/2020,4052,534,91,110576,738,0,0
