Date,Confirmed,Recovered,Deceased,Tested,DeltaConfirmed,DeltaRecovered,Population
2020-04-20,0,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0,0
2020-04-26,540,151,18,0,0,0,0
2020-04-27,542,151,18,0,2,0,0
2020-04-28,548,151,18,0,6,0,0
2020-04-29,548,151,18,0,0,0,0
2020-04-30,548,151,21,0,0,0,0
2020-05-01,553,151,21,0,5,0,0
2020-05-02,568,175,21,0,15,24,0
2020-05-03,588,175,21,0,20,0,0
2020-05-04,591,175,21,0,3,0,0
2020-05-05,591,175,21,0,0,0,0
2020-05-06,602,185,21,0,11,10,0
2020-05-07,614,212,21,0,12,27,0
2020-05-08,624,233,21,0,10,21,0
2020-05-09,654,245,21,0,30,12,0
2020-05-10,680,245,21,0,26,0,0
2020-05-11,759,287,21,0,79,42,0
2020-05-12,796,300,23,0,37,13,0
2020-05-13,827,300,23,0,31,0,0
2020-05-14,867,300,23,0,40,0,0
2020-05-15,900,305,23,0,33,5,0
2020-05-16,944,305,23,0,44,0,0
2020-05-17,981,305,23,0,37,0,0
2020-05-18,1007,305,23,0,26,0,0
2020-05-19,1041,305,23,0,34,0,0
2020-05-20,1056,305,23,0,15,0,0
2020-05-21,1082,305,23,0,26,0,0
2020-05-22,1124,305,23,0,42,0,0
2020-05-23,1124,305,23,0,0,0,0
2020-05-24,1147,305,23,0,23,0,0
2020-05-25,1178,305,23,0,31,0,0
2020-05-26,1216,305,23,0,38,0,0
2020-05-27,1216,305,23,0,0,0,0
2020-05-28,1216,305,23,0,0,0,0
2020-05-29,1298,305,23,0,82,0,0
2020-05-30,1339,305,23,0,41,0,0
2020-05-31,1461,305,23,0,122,0,0
2020-06-01,1540,305,23,0,79,0,0
2020-06-02,1610,305,23,0,70,0,0
2020-06-03,1718,305,23,0,108,0,0
2020-06-04,1828,305,23,0,110,0,0
2020-06-05,1944,305,23,0,116,0,0
2020-06-06,2096,305,23,0,152,0,0
2020-06-07,2228,305,23,0,132,0,0
2020-06-08,2228,305,23,0,0,0,0
2020-06-09,2371,305,23,0,143,0,0
2020-06-10,2514,305,23,0,143,0,0
2020-06-11,2689,305,23,0,175,0,0
2020-06-12,2822,305,23,0,133,0,0
2020-06-13,3001,305,23,0,179,0,0
2020-06-14,3196,305,23,0,195,0,0
2020-06-15,3385,305,23,0,189,0,0
2020-06-16,3550,305,23,0,165,0,0
2020-06-17,3764,305,23,0,214,0,0
2020-06-18,4066,305,23,0,302,0,0
2020-06-19,4395,305,23,0,329,0,0
2020-06-20,4853,305,23,0,458,0,0
2020-06-21,5512,305,23,0,659,0,0
2020-06-22,6225,305,23,0,713,0,0
2020-06-23,6877,305,23,0,652,0,0
2020-06-24,7596,305,23,0,719,0,0
2020-06-25,8333,305,23,0,737,0,0
2020-06-26,9107,305,23,0,774,0,0
2020-06-27,9995,305,23,0,888,0,3943323
2020-06-28,10811,305,23,0,816,0,3943323
2020-06-29,11672,305,23,0,861,0,3943323
2020-06-30,12541,305,23,0,869,0,3943323
2020-07-01,13422,305,23,0,881,0,3943323
2020-07-02,14420,305,23,0,998,0,3943323
2020-07-03,16078,305,23,0,1658,0,3943323
2020-07-04,17650,305,23,0,1572,0,3943323
2020-07-05,18927,305,23,0,1277,0,3441992
2020-07-06,20346,305,23,0,1419,0,3441992
2020-07-07,21768,305,23,0,1422,0,3441992
2020-07-08,23358,305,23,0,1590,0,3441992
2020-07-09,24276,305,23,0,918,0,3441992
2020-07-10,25038,305,23,0,762,0,3441992
2020-07-11,25774,305,23,0,736,0,3441992
2020-07-12,26574,305,23,0,800,0,3441992
2020-07-13,27500,305,23,0,926,0,3441992
2020-07-14,28315,305,23,0,815,0,3441992
2020-07-15,29111,305,23,0,796,0,3441992
2020-07-16,29899,305,23,0,788,0,3441992
