Date,Confirmed,Recovered,Deceased,Tested,DeltaConfirmed,DeltaRecovered,Population
2020-04-20,0,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0,0
2020-04-26,184,0,0,0,0,0,0
2020-04-27,184,0,0,0,0,0,0
2020-04-28,184,0,0,0,0,0,0
2020-04-29,184,0,0,0,0,0,0
2020-04-30,184,0,0,0,0,0,0
2020-05-01,184,0,0,0,0,0,0
2020-05-02,184,0,0,0,0,0,0
2020-05-03,635,95,87,0,451,95,0
2020-05-04,659,109,87,0,24,14,0
2020-05-05,700,136,92,0,41,27,0
2020-05-06,754,136,94,0,54,0,0
2020-05-07,783,149,99,0,29,13,0
2020-05-08,846,167,107,0,63,18,0
2020-05-09,911,199,116,0,65,32,0
2020-05-10,948,208,126,0,37,9,0
2020-05-11,1002,252,129,0,54,44,0
2020-05-12,1041,292,135,0,39,40,0
2020-05-13,1126,341,140,0,85,49,0
2020-05-14,1157,386,146,0,31,45,0
2020-05-15,1200,426,151,0,43,40,0
2020-05-16,1265,444,154,0,65,18,0
2020-05-17,1311,478,160,0,46,34,0
2020-05-18,1372,501,165,0,61,23,0
2020-05-19,1433,525,169,0,61,24,0
2020-05-20,1502,538,169,0,69,13,0
2020-05-21,1549,568,172,0,47,30,0
2020-05-22,1570,576,176,0,21,8,0
2020-05-23,1613,608,178,0,43,32,0
2020-05-24,1665,652,180,0,52,44,0
2020-05-25,1693,683,184,0,28,31,0
2020-05-26,1751,715,186,0,58,32,0
2020-05-27,1808,760,191,0,57,45,0
2020-05-28,1902,787,194,0,94,27,0
2020-05-29,1973,829,196,0,71,42,0
2020-05-30,2053,871,202,0,80,42,0
2020-05-31,2125,902,209,0,72,31,0
2020-06-01,2179,925,214,0,54,23,0
2020-06-02,2295,970,222,0,116,45,0
2020-06-03,2394,970,229,0,99,0,0
2020-06-04,2488,996,234,0,94,26,0
2020-06-05,2589,1038,238,0,101,42,0
2020-06-06,2684,1073,247,0,95,35,0
2020-06-07,2758,1116,254,0,74,43,0
2020-06-08,2886,1155,260,0,128,39,0
2020-06-09,3018,1205,265,0,132,50,0
2020-06-10,3128,1221,275,0,110,16,0
2020-06-11,3245,1303,279,0,117,82,0
2020-06-12,3356,1323,283,0,111,20,0
2020-06-13,3514,1381,287,0,158,58,0
2020-06-14,3672,1412,293,0,158,31,0
2020-06-15,3776,1486,297,0,104,74,0
2020-06-16,3946,1548,301,0,170,62,0
2020-06-17,4089,1598,308,0,143,50,0
2020-06-18,4269,1780,316,0,180,182,0
2020-06-19,4400,1866,322,0,131,86,0
2020-06-20,4527,2166,323,0,127,300,0
2020-06-21,4653,2367,329,0,126,201,0
2020-06-22,4734,2394,336,0,81,27,0
2020-06-23,4815,2599,339,0,81,205,0
2020-06-24,4970,2732,345,0,155,133,0
2020-06-25,5133,2928,351,0,163,196,0
2020-06-26,5261,3014,354,0,128,86,0
2020-06-27,5402,3123,359,0,141,109,4496694
2020-06-28,5573,3270,366,0,171,147,4496694
2020-06-29,5753,3609,372,0,180,339,4496694
2020-06-30,5984,3753,379,0,231,144,4496694
2020-07-01,6222,3878,386,0,238,125,4496694
2020-07-02,6440,4040,394,0,218,162,4496694
2020-07-03,6622,4142,402,0,182,102,4496694
2020-07-04,6864,4307,410,0,242,165,4496694
2020-07-05,7108,4402,418,0,244,95,4486679
2020-07-06,7389,4546,428,0,281,144,4486679
2020-07-07,7680,4690,438,0,291,144,4486679
2020-07-08,8046,4788,444,0,366,98,4486679
2020-07-09,8368,5001,457,0,322,213,4486679
2020-07-10,8742,5205,470,0,374,204,4486679
2020-07-11,9154,5388,486,0,412,183,4486679
2020-07-12,9608,5541,499,0,454,153,4486679
2020-07-13,10026,5722,509,0,418,181,4486679
2020-07-14,10550,5921,516,0,524,199,4486679
2020-07-15,10975,6146,525,0,425,225,4486679
2020-07-16,11471,6422,537,0,496,276,4486679
