Date,Confirmed,Recovered,Deceased,Tested,DeltaConfirmed,DeltaRecovered,Population
04/20/2020,0,0,0,0,0,0,0
04/21/2020,0,0,0,0,0,0,0
04/22/2020,0,0,0,0,0,0,0
04/23/2020,0,0,0,0,0,0,0
04/24/2020,0,0,0,0,0,0,0
04/25/2020,0,0,0,0,0,0,0
04/26/2020,5407,641,204,0,0,0,0
04/27/2020,5776,711,219,0,369,70,0
04/28/2020,6169,798,244,0,393,87,0
04/29/2020,6644,936,270,0,475,138,0
04/30/2020,7061,1092,290,0,417,156,0
05/01/2020,7812,1134,296,0,751,42,0
05/02/2020,8359,1203,322,0,547,69,0
05/03/2020,8800,1230,343,0,441,27,0
05/04/2020,9310,1395,361,0,510,165,0
05/05/2020,9945,1605,387,0,635,210,0
05/06/2020,10714,1694,412,0,769,89,0
05/07/2020,11394,1793,437,0,680,99,0
05/08/2020,12142,1867,462,0,748,74,0
05/09/2020,12864,1867,489,0,722,0,0
05/10/2020,13739,2296,508,0,875,429,0
05/11/2020,14521,2366,528,0,782,70,0
05/12/2020,14947,2513,556,0,426,147,0
05/13/2020,15747,2739,596,0,800,226,0
05/14/2020,16738,2944,621,0,991,205,0
05/15/2020,17671,3125,655,0,933,181,0
05/16/2020,18555,3260,696,0,884,135,0
05/17/2020,20150,3498,734,0,1595,238,0
05/18/2020,21335,3730,757,0,1185,232,0
05/19/2020,22746,4352,800,0,1411,622,0
05/20/2020,24118,4702,841,0,1372,350,0
05/21/2020,25500,5769,882,0,1382,1067,0
05/22/2020,27251,6096,909,0,1751,327,0
05/23/2020,28817,6381,949,0,1566,285,0
05/24/2020,30542,7083,988,0,1725,702,0
05/25/2020,31972,7584,1026,0,1430,501,0
05/26/2020,32974,8013,1065,0,1002,429,0
05/27/2020,34018,8408,1097,0,1044,395,0
05/28/2020,35485,8650,1135,0,1467,242,0
05/29/2020,36932,16008,1173,0,1447,7358,0
05/30/2020,38442,16364,1227,0,1510,356,0
05/31/2020,39686,16791,1279,0,1244,427,0
06/01/2020,41099,16985,1319,0,1413,194,0
06/02/2020,42216,17213,1368,0,1117,228,0
06/03/2020,43492,17472,1417,0,1276,259,0
06/04/2020,44931,18096,1465,0,1439,624,0
06/05/2020,46080,18778,1519,0,1149,682,0
06/06/2020,47354,19977,1577,0,1274,1199,0
06/07/2020,48774,21190,1638,0,1420,1213,0
06/08/2020,50085,22032,1702,0,1311,842,0
06/09/2020,51100,22943,1760,0,1015,911,0
06/10/2020,52667,23694,1857,0,1567,751,0
06/11/2020,54085,24209,1954,0,1418,515,0
06/12/2020,55451,25152,2044,0,1366,943,0
06/13/2020,56831,25947,2113,0,1380,795,0
06/14/2020,58226,26986,2182,0,1395,1039,0
06/15/2020,59293,30125,2250,0,1067,3139,0
06/16/2020,60228,31041,3167,0,935,916,0
06/17/2020,61587,31338,3244,0,1359,297,0
06/18/2020,62875,31856,3311,0,1288,518,0
06/19/2020,64139,32264,3425,0,1264,408,0
06/20/2020,65329,32867,3561,0,1190,603,0
06/21/2020,66488,33491,3671,0,1159,624,0
