date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,North and Middle Andaman,1,1,0, 0,0
2020-04-26,South Andaman,32,10,0, 0,0
2020-04-27,North and Middle Andaman,1,1,0, 0,0
2020-04-27,South Andaman,32,10,0, 0,0
2020-04-28,North and Middle Andaman,1,1,0, 0,0
2020-04-28,South Andaman,32,14,0, 0,4
2020-04-29,North and Middle Andaman,1,1,0, 0,0
2020-04-29,South Andaman,32,14,0, 0,0
2020-04-30,North and Middle Andaman,1,1,0, 0,0
2020-04-30,South Andaman,32,15,0, 0,1
2020-05-01,North and Middle Andaman,1,1,0, 0,0
2020-05-01,South Andaman,32,15,0, 0,0
2020-05-02,North and Middle Andaman,1,1,0, 0,0
2020-05-02,South Andaman,32,25,0, 0,10
2020-05-03,North and Middle Andaman,1,1,0, 0,0
2020-05-03,South Andaman,32,31,0, 0,6
2020-05-04,North and Middle Andaman,1,1,0, 0,0
2020-05-04,South Andaman,32,31,0, 0,0
2020-05-05,North and Middle Andaman,1,1,0, 0,0
2020-05-05,South Andaman,32,31,0, 0,0
2020-05-06,North and Middle Andaman,1,1,0, 0,0
2020-05-06,South Andaman,32,31,0, 0,0
2020-05-07,North and Middle Andaman,1,1,0, 0,0
2020-05-07,South Andaman,32,32,0, 0,1
2020-05-08,North and Middle Andaman,1,1,0, 0,0
2020-05-08,South Andaman,32,32,0, 0,0
2020-05-09,North and Middle Andaman,1,1,0, 0,0
2020-05-09,South Andaman,32,32,0, 0,0
2020-05-10,North and Middle Andaman,1,1,0, 0,0
2020-05-10,South Andaman,32,32,0, 0,0
2020-05-11,North and Middle Andaman,1,1,0, 0,0
2020-05-11,South Andaman,32,32,0, 0,0
2020-05-12,North and Middle Andaman,1,1,0, 0,0
2020-05-12,South Andaman,32,32,0, 0,0
2020-05-13,North and Middle Andaman,1,1,0, 0,0
2020-05-13,South Andaman,32,32,0, 0,0
2020-05-14,North and Middle Andaman,1,1,0, 0,0
2020-05-14,South Andaman,32,32,0, 0,0
2020-05-15,North and Middle Andaman,1,1,0, 0,0
2020-05-15,South Andaman,32,32,0, 0,0
2020-05-16,North and Middle Andaman,1,1,0, 0,0
2020-05-16,South Andaman,32,32,0, 0,0
