date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Anantapur,53,14,4, 0,0
2020-04-26,Chittoor,73,13,0, 0,0
2020-04-26,East Godavari,39,12,0, 0,0
2020-04-26,Guntur,214,29,8, 0,0
2020-04-26,Krishna,177,29,8, 0,0
2020-04-26,Kurnool,279,31,9, 0,0
2020-04-26,Prakasam,56,23,0, 0,0
2020-04-26,S.P.S. Nellore,72,23,2, 0,0
2020-04-26,Srikakulam,3,0,0, 0,0
2020-04-26,Visakhapatnam,22,19,0, 0,0
2020-04-26,West Godavari,51,10,0, 0,0
2020-04-26,Y.S.R. Kadapa,58,28,0, 0,0
2020-04-27,Anantapur,53,14,4, 0,0
2020-04-27,Chittoor,73,16,0, 0,3
2020-04-27,East Godavari,39,12,0, 0,0
2020-04-27,Guntur,237,29,8,23,0
2020-04-27,Krishna,210,29,8,33,0
2020-04-27,Kurnool,292,31,9,13,0
2020-04-27,Prakasam,56,23,0, 0,0
2020-04-27,S.P.S. Nellore,79,23,2,7,0
2020-04-27,Srikakulam,4,0,0,1,0
2020-04-27,Visakhapatnam,22,19,0, 0,0
2020-04-27,West Godavari,54,11,0,3,1
2020-04-27,Y.S.R. Kadapa,58,28,0, 0,0
2020-04-28,Anantapur,54,14,4,1,0
2020-04-28,Chittoor,74,16,0,1,0
2020-04-28,East Godavari,39,12,0, 0,0
2020-04-28,Guntur,254,39,8,17,10
2020-04-28,Krishna,223,29,8,13,0
2020-04-28,Kurnool,332,43,9,40,12
2020-04-28,Prakasam,56,23,0, 0,0
2020-04-28,S.P.S. Nellore,82,24,2,3,1
2020-04-28,Srikakulam,4,0,0, 0,0
2020-04-28,Visakhapatnam,22,19,0, 0,0
2020-04-28,West Godavari,54,11,0, 0,0
2020-04-28,Y.S.R. Kadapa,65,28,0,7,0
2020-04-29,Anantapur,58,17,4,4,3
2020-04-29,Chittoor,77,16,0,3,0
2020-04-29,East Godavari,40,12,0,1,0
2020-04-29,Guntur,283,59,8,29,20
2020-04-29,Krishna,236,32,8,13,3
2020-04-29,Kurnool,343,43,9,11,0
2020-04-29,Prakasam,60,23,0,4,0
2020-04-29,S.P.S. Nellore,82,27,2, 0,3
2020-04-29,Srikakulam,5,0,0,1,0
2020-04-29,Visakhapatnam,23,19,0,1,0
2020-04-29,West Godavari,56,11,0,2,0
2020-04-29,Y.S.R. Kadapa,69,28,0,4,0
2020-04-30,Anantapur,61,20,4,3,3
2020-04-30,Chittoor,80,16,0,3,0
2020-04-30,East Godavari,42,14,0,2,2
2020-04-30,Guntur,287,87,8,4,28
2020-04-30,Krishna,246,32,8,10,0
2020-04-30,Kurnool,386,43,9,43,0
2020-04-30,Prakasam,60,23,0, 0,0
2020-04-30,S.P.S. Nellore,84,27,2,2,0
2020-04-30,Srikakulam,5,0,0, 0,0
2020-04-30,Visakhapatnam,23,20,0, 0,1
2020-04-30,West Godavari,56,11,0, 0,0
2020-04-30,Y.S.R. Kadapa,73,28,0,4,0
2020-05-01,Anantapur,67,22,4,6,2
2020-05-01,Chittoor,80,22,0, 0,6
2020-05-01,East Godavari,42,17,0, 0,3
2020-05-01,Guntur,306,97,8,19,10
2020-05-01,Krishna,246,37,8, 0,5
2020-05-01,Kurnool,411,66,10,25,23
2020-05-01,Prakasam,60,23,0, 0,0
2020-05-01,S.P.S. Nellore,84,43,3, 0,16
2020-05-01,Srikakulam,5,0,0, 0,0
2020-05-01,Visakhapatnam,25,20,0,2,0
2020-05-01,West Godavari,58,19,0,2,8
2020-05-01,Y.S.R. Kadapa,79,37,0,6,9
2020-05-02,Anantapur,71,24,4,4,2
2020-05-02,Chittoor,80,24,0, 0,2
2020-05-02,East Godavari,45,17,0,3,0
2020-05-02,Guntur,308,97,8,2,0
2020-05-02,Krishna,258,44,8,12,7
2020-05-02,Kurnool,436,66,10,25,0
2020-05-02,Prakasam,61,42,0,1,19
2020-05-02,S.P.S. Nellore,90,44,3,6,1
2020-05-02,Srikakulam,5,0,0, 0,0
2020-05-02,Visakhapatnam,29,20,0,4,0
2020-05-02,West Godavari,59,26,0,1,7
2020-05-02,Y.S.R. Kadapa,83,37,0,4,0
2020-05-03,Anantapur,78,24,4,7,0
2020-05-03,Chittoor,81,37,0,1,13
2020-05-03,East Godavari,45,20,0, 0,3
2020-05-03,Guntur,319,115,8,11,18
2020-05-03,Krishna,266,46,8,8,2
2020-05-03,Kurnool,466,77,10,30,11
2020-05-03,Prakasam,61,42,0, 0,0
2020-05-03,S.P.S. Nellore,91,44,3,1,0
2020-05-03,Srikakulam,5,0,0, 0,0
