date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Lohit,1,1,0, 0,0
2020-04-27,Lohit,1,1,0, 0,0
2020-04-28,Lohit,1,1,0, 0,0
2020-04-29,Lohit,1,1,0, 0,0
2020-04-30,Lohit,1,1,0, 0,0
2020-05-01,Lohit,1,1,0, 0,0
2020-05-02,Lohit,1,1,0, 0,0
2020-05-03,Lohit,1,1,0, 0,0
2020-05-04,Lohit,1,1,0, 0,0
2020-05-05,Lohit,1,1,0, 0,0
2020-05-06,Lohit,1,1,0, 0,0
2020-05-07,Lohit,1,1,0, 0,0
2020-05-08,Lohit,1,1,0, 0,0
2020-05-09,Lohit,1,1,0, 0,0
2020-05-10,Lohit,1,1,0, 0,0
2020-05-11,Lohit,1,1,0, 0,0
2020-05-12,Lohit,1,1,0, 0,0
2020-05-13,Lohit,1,1,0, 0,0
2020-05-14,Lohit,1,1,0, 0,0
2020-05-15,Lohit,1,1,0, 0,0
2020-05-16,Lohit,1,1,0, 0,0
2020-05-17,Lohit,1,1,0, 0,0
2020-05-18,Lohit,1,1,0, 0,0
2020-05-19,Lohit,1,1,0, 0,0
2020-05-20,Lohit,1,1,0, 0,0
2020-05-21,Lohit,1,1,0, 0,0
2020-05-22,Lohit,1,1,0, 0,0
2020-05-23,Lohit,1,1,0, 0,0
2020-05-24,Lohit,1,1,0, 0,0
2020-05-24,Papum Pare,1,0,0,1,0
2020-05-25,Lohit,1,1,0, 0,0
2020-05-25,Papum Pare,1,0,0, 0,0
2020-05-26,Lohit,1,1,0, 0,0
2020-05-26,Papum Pare,1,0,0, 0,0
2020-05-27,Lohit,1,1,0, 0,0
2020-05-27,Papum Pare,1,0,0, 0,0
2020-05-28,Changlang,1,0,0,1,0
2020-05-28,Lohit,1,1,0, 0,0
2020-05-28,Papum Pare,1,0,0, 0,0
2020-05-29,Changlang,1,0,0, 0,0
2020-05-29,Lohit,1,1,0, 0,0
2020-05-29,Papum Pare,1,0,0, 0,0
2020-05-30,Changlang,2,0,0,1,0
2020-05-30,Lohit,1,1,0, 0,0
2020-05-30,Papum Pare,1,0,0, 0,0
2020-05-31,Changlang,2,0,0, 0,0
2020-05-31,Lohit,1,1,0, 0,0
2020-05-31,Papum Pare,1,0,0, 0,0
2020-06-01,Changlang,16,0,0,14,0
2020-06-01,Lohit,0,1,0,-1,0
2020-06-01,Namsai,2,0,0,2,0
2020-06-01,Papum Pare,3,0,0,2,0
2020-06-01,Tawang,1,0,0,1,0
2020-06-01,Unknown,-1,0,0,-1,0
2020-06-01,Upper Siang,1,0,0,1,0
2020-06-02,Changlang,16,0,0, 0,0
2020-06-02,Lohit,1,1,0,1,0
2020-06-02,Namsai,1,0,0,-1,0
2020-06-02,Papum Pare,5,0,0,2,0
2020-06-02,Tawang,1,0,0, 0,0
2020-06-02,Unknown,-1,0,0, 0,0
2020-06-02,Upper Siang,1,0,0, 0,0
2020-06-03,Changlang,25,0,0,9,0
2020-06-03,Lohit,1,1,0, 0,0
2020-06-03,Namsai,1,0,0, 0,0
2020-06-03,Papum Pare,5,0,0, 0,0
2020-06-03,Tawang,1,0,0, 0,0
2020-06-03,Unknown,0,0,0,1,0
2020-06-03,Upper Siang,1,0,0, 0,0
2020-06-04,Changlang,28,0,0,3,0
2020-06-04,Lohit,1,1,0, 0,0
2020-06-04,Namsai,2,0,0,1,0
2020-06-04,Papum Pare,5,0,0, 0,0
2020-06-04,Tawang,1,0,0, 0,0
2020-06-04,Upper Siang,1,0,0, 0,0
2020-06-04,West Siang,1,0,0,1,0
2020-06-05,Changlang,31,0,0,3,0
2020-06-05,Lohit,2,1,0,1,0
2020-06-05,Namsai,2,0,0, 0,0
2020-06-05,Papum Pare,5,0,0, 0,0
2020-06-05,Tawang,1,0,0, 0,0
2020-06-05,Upper Siang,1,0,0, 0,0
2020-06-05,West Siang,1,0,0, 0,0
2020-06-06,Changlang,32,0,0,1,0
2020-06-06,East Siang,1,0,0,1,0
2020-06-06,Lohit,2,1,0, 0,0
2020-06-06,Namsai,2,0,0, 0,0
2020-06-06,Papum Pare,5,0,0, 0,0
2020-06-06,Tawang,1,0,0, 0,0
2020-06-06,Upper Siang,1,0,0, 0,0
2020-06-06,West Siang,1,0,0, 0,0
2020-06-07,Changlang,35,0,0,3,0
2020-06-07,East Siang,1,0,0, 0,0
2020-06-07,Lohit,2,1,0, 0,0
2020-06-07,Namsai,2,0,0, 0,0
2020-06-07,Papum Pare,5,0,0, 0,0
2020-06-07,Tawang,1,0,0, 0,0
2020-06-07,Upper Siang,1,0,0, 0,0
2020-06-07,West Siang,1,0,0, 0,0
2020-06-08,Changlang,38,0,0,3,0
2020-06-08,East Siang,2,0,0,1,0
2020-06-08,Lohit,2,1,0, 0,0
2020-06-08,Lower Dibang Valley,1,0,0,1,0
2020-06-08,Namsai,2,0,0, 0,0
2020-06-08,Papum Pare,5,0,0, 0,0
2020-06-08,Tawang,1,0,0, 0,0
2020-06-08,Tirap,1,0,0,1,0
2020-06-08,Upper Siang,1,0,0, 0,0
2020-06-08,West Siang,1,0,0, 0,0
2020-06-09,Changlang,38,0,0, 0,0
2020-06-09,East Siang,2,0,0, 0,0
2020-06-09,Lohit,2,1,0, 0,0
2020-06-09,Lower Dibang Valley,1,0,0, 0,0
2020-06-09,Namsai,2,0,0, 0,0
2020-06-09,Pakke Kessang,0,1,0, 0,1
2020-06-09,Papum Pare,5,0,0, 0,0
2020-06-09,Tawang,1,0,0, 0,0
2020-06-09,Tirap,1,0,0, 0,0
2020-06-09,Upper Siang,1,0,0, 0,0
2020-06-09,West Siang,1,0,0, 0,0
2020-06-10,Changlang,41,0,0,3,0
2020-06-10,East Siang,3,0,0,1,0
2020-06-10,Lohit,2,1,0, 0,0
2020-06-10,Lower Dibang Valley,1,0,0, 0,0
2020-06-10,Namsai,2,0,0, 0,0
2020-06-10,Pakke Kessang,0,1,0, 0,0
2020-06-10,Papum Pare,5,2,0, 0,2
2020-06-10,Tawang,1,0,0, 0,0
2020-06-10,Tirap,1,0,0, 0,0
2020-06-10,Upper Siang,1,0,0, 0,0
2020-06-10,West Siang,1,0,0, 0,0
2020-06-11,Changlang,43,0,0,2,0
2020-06-11,East Siang,3,0,0, 0,0
2020-06-11,Lohit,2,1,0, 0,0
