date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Cachar,1,1,0, 0,0
2020-04-26,Dhubri,5,3,0, 0,0
2020-04-26,Goalpara,4,3,0, 0,0
2020-04-26,Golaghat,9,8,0, 0,0
2020-04-26,Hailakandi,1,0,1, 0,0
2020-04-26,Kamrup,1,1,0, 0,0
2020-04-26,Kamrup Metropolitan,1,1,0, 0,0
2020-04-26,Karimganj,1,0,0, 0,0
2020-04-26,Lakhimpur,1,1,0, 0,0
2020-04-26,Morigaon,6,4,0, 0,0
2020-04-26,Nalbari,4,4,0, 0,0
2020-04-26,Other State,1,0,0, 0,0
2020-04-26,South Salmara Mankachar,1,1,0, 0,0
2020-04-27,Cachar,1,1,0, 0,0
2020-04-27,Dhubri,5,3,0, 0,0
2020-04-27,Goalpara,4,3,0, 0,0
2020-04-27,Golaghat,9,8,0, 0,0
2020-04-27,Hailakandi,1,0,1, 0,0
2020-04-27,Kamrup,1,1,0, 0,0
2020-04-27,Kamrup Metropolitan,1,1,0, 0,0
2020-04-27,Karimganj,1,0,0, 0,0
2020-04-27,Lakhimpur,1,1,0, 0,0
2020-04-27,Morigaon,6,4,0, 0,0
2020-04-27,Nalbari,4,4,0, 0,0
2020-04-27,Other State,1,0,0, 0,0
2020-04-27,South Salmara Mankachar,1,1,0, 0,0
2020-04-28,Bongaigaon,1,0,0,1,0
2020-04-28,Cachar,1,1,0, 0,0
2020-04-28,Dhubri,5,3,0, 0,0
2020-04-28,Goalpara,5,3,0,1,0
2020-04-28,Golaghat,9,8,0, 0,0
2020-04-28,Hailakandi,1,0,1, 0,0
2020-04-28,Kamrup,1,1,0, 0,0
2020-04-28,Kamrup Metropolitan,1,1,0, 0,0
2020-04-28,Karimganj,1,0,0, 0,0
2020-04-28,Lakhimpur,1,1,0, 0,0
2020-04-28,Morigaon,6,4,0, 0,0
2020-04-28,Nalbari,4,4,0, 0,0
2020-04-28,Other State,1,0,0, 0,0
2020-04-28,South Salmara Mankachar,1,1,0, 0,0
2020-04-29,Bongaigaon,1,0,0, 0,0
2020-04-29,Cachar,1,1,0, 0,0
2020-04-29,Dhubri,5,4,0, 0,1
2020-04-29,Goalpara,5,4,0, 0,1
2020-04-29,Golaghat,9,8,0, 0,0
2020-04-29,Hailakandi,1,0,1, 0,0
