date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Arwal,4,0,0, 0,0
2020-04-26,Aurangabad,2,0,0, 0,0
2020-04-26,Banka,2,0,0, 0,0
2020-04-26,Begusarai,9,1,0, 0,0
2020-04-26,Bhagalpur,5,1,0, 0,0
2020-04-26,Bhojpur,2,1,0, 0,0
2020-04-26,Buxar,25,1,0, 0,0
2020-04-26,East Champaran,5,0,0, 0,0
2020-04-26,Gaya,6,5,0, 0,0
2020-04-26,Gopalganj,12,3,0, 0,0
2020-04-26,Jehanabad,1,0,0, 0,0
2020-04-26,Kaimur,14,0,0, 0,0
2020-04-26,Lakhisarai,1,1,0, 0,0
2020-04-26,Madhepura,1,0,0, 0,0
2020-04-26,Munger,68,11,1, 0,0
2020-04-26,Nalanda,34,6,0, 0,0
2020-04-26,Nawada,3,2,0, 0,0
2020-04-26,Patna,33,5,0, 0,0
2020-04-26,Rohtas,15,0,0, 0,0
2020-04-26,Saran,3,1,0, 0,0
2020-04-26,Siwan,30,18,0, 0,0
2020-04-26,Vaishali,2,0,1, 0,0
2020-04-27,Arwal,4,0,0, 0,0
2020-04-27,Aurangabad,7,0,0,5,0
2020-04-27,Banka,2,0,0, 0,0
2020-04-27,Begusarai,9,1,0, 0,0
2020-04-27,Bhagalpur,5,1,0, 0,0
2020-04-27,Bhojpur,9,1,0,7,0
2020-04-27,Buxar,25,1,0, 0,0
2020-04-27,Darbhanga,1,0,0,1,0
2020-04-27,East Champaran,5,0,0, 0,0
2020-04-27,Gaya,6,5,0, 0,0
2020-04-27,Gopalganj,12,3,0, 0,0
2020-04-27,Jehanabad,1,0,0, 0,0
2020-04-27,Kaimur,14,0,0, 0,0
2020-04-27,Lakhisarai,4,1,0,3,0
2020-04-27,Madhepura,1,0,0, 0,0
2020-04-27,Madhubani,5,0,0,5,0
2020-04-27,Munger,90,11,1,22,0
2020-04-27,Nalanda,35,6,0,1,0
2020-04-27,Nawada,4,2,0,1,0
2020-04-27,Patna,39,5,0,6,0
2020-04-27,Purnia,1,0,0,1,0
2020-04-27,Rohtas,31,0,0,16,0
2020-04-27,Saran,4,1,0,1,0
2020-04-27,Siwan,30,18,0, 0,0
2020-04-27,Vaishali,2,0,1, 0,0
2020-04-28,Araria,1,0,0,1,0
2020-04-28,Arwal,4,0,0, 0,0
2020-04-28,Aurangabad,7,0,0, 0,0
2020-04-28,Banka,3,0,0,1,0
2020-04-28,Begusarai,9,5,0, 0,4
2020-04-28,Bhagalpur,5,1,0, 0,0
2020-04-28,Bhojpur,9,1,0, 0,0
2020-04-28,Buxar,26,1,0,1,0
2020-04-28,Darbhanga,1,0,0, 0,0
2020-04-28,East Champaran,5,0,0, 0,0
2020-04-28,Gaya,6,5,0, 0,0
2020-04-28,Gopalganj,18,3,0,6,0
2020-04-28,Jehanabad,4,0,0,3,0
2020-04-28,Kaimur,18,0,0,4,0
2020-04-28,Lakhisarai,4,1,0, 0,0
2020-04-28,Madhepura,1,0,0, 0,0
2020-04-28,Madhubani,5,0,0, 0,0
2020-04-28,Munger,92,11,1,2,0
2020-04-28,Nalanda,35,6,0, 0,0
2020-04-28,Nawada,4,2,0, 0,0
2020-04-28,Patna,39,5,0, 0,0
2020-04-28,Purnia,1,0,0, 0,0
2020-04-28,Rohtas,31,0,0, 0,0
2020-04-28,Saran,4,1,0, 0,0
2020-04-28,Sheikhpura,1,0,0,1,0
2020-04-28,Sitamarhi,1,0,0,1,0
2020-04-28,Siwan,30,22,0, 0,4
2020-04-28,Vaishali,2,0,1, 0,0
2020-04-29,Araria,1,0,0, 0,0
2020-04-29,Arwal,4,0,0, 0,0
2020-04-29,Aurangabad,8,0,0,1,0
2020-04-29,Banka,3,0,0, 0,0
2020-04-29,Begusarai,11,5,0,2,0
2020-04-29,Bhagalpur,5,1,0, 0,0
2020-04-29,Bhojpur,11,1,0,2,0
2020-04-29,Buxar,40,1,0,14,0
2020-04-29,Darbhanga,5,0,0,4,0
2020-04-29,East Champaran,5,0,0, 0,0
2020-04-29,Gaya,6,5,0, 0,0
2020-04-29,Gopalganj,18,3,0, 0,0
2020-04-29,Jehanabad,4,0,0, 0,0
2020-04-29,Kaimur,18,0,0, 0,0
2020-04-29,Lakhisarai,4,1,0, 0,0
2020-04-29,Madhepura,2,0,0,1,0
2020-04-29,Madhubani,5,0,0, 0,0
2020-04-29,Munger,92,11,1, 0,0
2020-04-29,Nalanda,35,6,0, 0,0
2020-04-29,Nawada,4,2,0, 0,0
2020-04-29,Patna,42,5,0,3,0
2020-04-29,Purnia,1,0,0, 0,0
2020-04-29,Rohtas,34,0,0,3,0
2020-04-29,Saran,4,1,0, 0,0
2020-04-29,Sheikhpura,1,0,0, 0,0
2020-04-29,Sitamarhi,2,0,0,1,0
2020-04-29,Siwan,30,22,0, 0,0
2020-04-29,Vaishali,3,0,1,1,0
2020-04-29,West Champaran,5,0,0,5,0
2020-04-30,Araria,1,0,0, 0,0
2020-04-30,Arwal,4,0,0, 0,0
