date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Chandigarh,36,17,0, 0,0
2020-04-27,Chandigarh,45,17,0,9,0
2020-04-28,Chandigarh,56,17,0,11,0
2020-04-29,Chandigarh,68,17,0,12,0
2020-04-30,Chandigarh,74,18,0,6,1
2020-05-01,Chandigarh,88,18,0,14,0
2020-05-02,Chandigarh,94,19,0,6,1
2020-05-03,Chandigarh,97,19,1,3,0
2020-05-04,Chandigarh,102,21,1,5,2
2020-05-05,Chandigarh,119,21,1,17,0
2020-05-06,Chandigarh,124,21,1,5,0
2020-05-07,Chandigarh,135,21,1,11,0
2020-05-08,Chandigarh,146,21,2,11,0
2020-05-09,Chandigarh,169,24,2,23,3
2020-05-10,Chandigarh,173,24,3,4,0
2020-05-11,Chandigarh,181,28,3,8,4
2020-05-12,Chandigarh,187,30,3,6,2
2020-05-13,Chandigarh,191,30,3,4,0
2020-05-14,Chandigarh,191,37,3, 0,7
2020-05-15,Chandigarh,191,40,3, 0,3
2020-05-16,Chandigarh,191,51,3, 0,11
2020-05-17,Chandigarh,191,51,3, 0,0
2020-05-18,Chandigarh,196,54,3,5,3
2020-05-19,Chandigarh,199,57,3,3,3
2020-05-20,Chandigarh,202,136,3,3,79
2020-05-21,Chandigarh,218,178,3,16,42
2020-05-22,Chandigarh,219,178,3,1,0
2020-05-23,Chandigarh,225,179,3,6,1
2020-05-24,Chandigarh,262,179,4,37,0
2020-05-25,Chandigarh,266,187,4,4,8
2020-05-26,Chandigarh,278,187,4,12,0
2020-05-27,Chandigarh,279,187,4,1,0
2020-05-28,Chandigarh,289,189,4,10,2
2020-05-29,Chandigarh,289,189,4, 0,0
2020-05-30,Chandigarh,289,199,4, 0,10
2020-05-31,Chandigarh,293,199,4,4,0
2020-06-01,Chandigarh,297,214,4,4,15
2020-06-02,Chandigarh,301,214,5,4,0
2020-06-03,Chandigarh,301,214,5, 0,0
2020-06-04,Chandigarh,302,222,5,1,8
2020-06-05,Chandigarh,309,273,5,7,51
2020-06-06,Chandigarh,312,273,5,3,0
2020-06-07,Chandigarh,314,274,5,2,1
2020-06-08,Chandigarh,320,285,5,6,11
2020-06-09,Chandigarh,326,285,5,6,0
2020-06-10,Chandigarh,328,289,5,2,4
2020-06-11,Chandigarh,332,293,5,4,4
2020-06-12,Chandigarh,345,295,5,13,2
2020-06-13,Chandigarh,350,295,5,5,0
2020-06-14,Chandigarh,352,295,5,2,0
2020-06-15,Chandigarh,357,301,6,5,6
2020-06-16,Chandigarh,365,302,6,8,1
2020-06-17,Chandigarh,370,306,6,5,4
2020-06-18,Chandigarh,374,306,6,4,0
2020-06-19,Chandigarh,381,315,6,7,9
2020-06-20,Chandigarh,404,316,6,23,1
2020-06-21,Chandigarh,406,316,6,2,0
2020-06-22,Chandigarh,411,322,6,5,6
2020-06-23,Chandigarh,418,322,6,7,0
2020-06-24,Chandigarh,420,322,6,2,0
2020-06-25,Chandigarh,423,329,6,3,7
2020-06-26,Chandigarh,425,335,6,2,6
2020-06-27,Chandigarh,428,335,6,3,0
2020-06-28,Chandigarh,431,336,6,3,1
2020-06-29,Chandigarh,434,349,6,3,13
2020-06-30,Chandigarh,440,364,6,6,15
2020-07-01,Chandigarh,446,367,6,6,3
2020-07-02,Chandigarh,450,389,6,4,22
2020-07-03,Chandigarh,454,393,6,4,4
2020-07-04,Chandigarh,459,395,6,5,2
2020-07-05,Chandigarh,466,395,6,7,0
2020-07-06,Chandigarh,487,401,6,21,6
2020-07-07,Chandigarh,492,401,7,5,0
