date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Bilaspur,1,1,0, 0,0
2020-04-26,Durg,1,1,0, 0,0
2020-04-26,Korba,28,24,0, 0,0
2020-04-26,Raipur,6,5,0, 0,0
2020-04-26,Rajnandgaon,1,1,0, 0,0
2020-04-27,Bilaspur,1,1,0, 0,0
2020-04-27,Durg,1,1,0, 0,0
2020-04-27,Korba,28,24,0, 0,0
2020-04-27,Raipur,6,5,0, 0,0
2020-04-27,Rajnandgaon,1,1,0, 0,0
2020-04-28,Bilaspur,1,1,0, 0,0
2020-04-28,Durg,1,1,0, 0,0
2020-04-28,Korba,28,26,0, 0,2
2020-04-28,Raipur,6,5,0, 0,0
2020-04-28,Rajnandgaon,1,1,0, 0,0
2020-04-28,Surajpur,1,0,0,1,0
2020-04-29,Bilaspur,1,1,0, 0,0
2020-04-29,Durg,1,1,0, 0,0
2020-04-29,Korba,28,26,0, 0,0
2020-04-29,Raipur,6,5,0, 0,0
2020-04-29,Rajnandgaon,1,1,0, 0,0
2020-04-29,Surajpur,1,0,0, 0,0
2020-04-30,Bilaspur,1,1,0, 0,0
2020-04-30,Durg,1,1,0, 0,0
2020-04-30,Korba,28,28,0, 0,2
2020-04-30,Raipur,6,5,0, 0,0
2020-04-30,Rajnandgaon,1,1,0, 0,0
2020-04-30,Surajpur,3,0,0,2,0
2020-05-01,Bilaspur,1,1,0, 0,0
2020-05-01,Durg,1,1,0, 0,0
2020-05-01,Korba,28,28,0, 0,0
2020-05-01,Raipur,6,5,0, 0,0
2020-05-01,Rajnandgaon,1,1,0, 0,0
2020-05-01,Surajpur,6,0,0,3,0
2020-05-02,Bilaspur,1,1,0, 0,0
2020-05-02,Durg,1,1,0, 0,0
2020-05-02,Korba,28,28,0, 0,0
2020-05-02,Raipur,6,5,0, 0,0
2020-05-02,Rajnandgaon,1,1,0, 0,0
2020-05-02,Surajpur,6,0,0, 0,0
2020-05-03,Bilaspur,1,1,0, 0,0
2020-05-03,Durg,9,1,0,8,0
2020-05-03,Kabeerdham,6,0,0,6,0
2020-05-03,Korba,28,28,0, 0,0
2020-05-03,Raipur,6,5,0, 0,0
2020-05-03,Rajnandgaon,1,1,0, 0,0
2020-05-03,Surajpur,6,0,0, 0,0
2020-05-04,Bilaspur,1,1,0, 0,0
2020-05-04,Durg,9,1,0, 0,0
2020-05-04,Kabeerdham,6,0,0, 0,0
2020-05-04,Korba,28,28,0, 0,0
2020-05-04,Raipur,7,5,0,1,0
2020-05-04,Rajnandgaon,1,1,0, 0,0
2020-05-04,Surajpur,6,0,0, 0,0
2020-05-05,Bilaspur,1,1,0, 0,0
2020-05-05,Durg,10,1,0,1,0
2020-05-05,Kabeerdham,6,0,0, 0,0
2020-05-05,Korba,28,28,0, 0,0
2020-05-05,Raipur,7,5,0, 0,0
2020-05-05,Rajnandgaon,1,1,0, 0,0
2020-05-05,Surajpur,6,0,0, 0,0
2020-05-06,Bilaspur,1,1,0, 0,0
2020-05-06,Durg,10,1,0, 0,0
2020-05-06,Kabeerdham,6,0,0, 0,0
2020-05-06,Korba,28,28,0, 0,0
2020-05-06,Raipur,7,5,0, 0,0
2020-05-06,Rajnandgaon,1,1,0, 0,0
2020-05-06,Surajpur,6,0,0, 0,0
2020-05-07,Bilaspur,1,1,0, 0,0
2020-05-07,Durg,10,1,0, 0,0
2020-05-07,Kabeerdham,6,0,0, 0,0
2020-05-07,Korba,28,28,0, 0,0
2020-05-07,Raipur,7,5,0, 0,0
2020-05-07,Rajnandgaon,1,1,0, 0,0
2020-05-07,Surajpur,6,0,0, 0,0
2020-05-08,Bilaspur,1,1,0, 0,0
2020-05-08,Durg,10,1,0, 0,0
2020-05-08,Kabeerdham,6,0,0, 0,0
2020-05-08,Korba,28,28,0, 0,0
2020-05-08,Raipur,7,6,0, 0,1
2020-05-08,Rajnandgaon,1,1,0, 0,0
2020-05-08,Surajpur,6,1,0, 0,1
2020-05-09,Bilaspur,1,1,0, 0,0
2020-05-09,Durg,10,2,0, 0,1
2020-05-09,Kabeerdham,6,3,0, 0,3
2020-05-09,Korba,28,28,0, 0,0
2020-05-09,Raipur,7,6,0, 0,0
2020-05-09,Rajnandgaon,1,1,0, 0,0
2020-05-09,Surajpur,6,2,0, 0,1
2020-05-10,Bilaspur,1,1,0, 0,0
2020-05-10,Durg,10,8,0, 0,6
2020-05-10,Kabeerdham,6,3,0, 0,0
2020-05-10,Korba,28,28,0, 0,0
2020-05-10,Raipur,7,6,0, 0,0
2020-05-10,Rajnandgaon,1,1,0, 0,0
2020-05-10,Surajpur,6,2,0, 0,0
2020-05-11,Bilaspur,1,1,0, 0,0
2020-05-11,Durg,10,8,0, 0,0
2020-05-11,Kabeerdham,6,5,0, 0,2
2020-05-11,Korba,28,28,0, 0,0
2020-05-11,Raipur,7,6,0, 0,0
2020-05-11,Rajnandgaon,1,1,0, 0,0
2020-05-11,Surajpur,6,4,0, 0,2
2020-05-12,Bilaspur,1,1,0, 0,0
2020-05-12,Durg,10,8,0, 0,0
2020-05-12,Kabeerdham,6,5,0, 0,0
2020-05-12,Korba,28,28,0, 0,0
2020-05-12,Raipur,7,7,0, 0,1
2020-05-12,Rajnandgaon,1,1,0, 0,0
2020-05-12,Surajpur,6,4,0, 0,0
2020-05-13,Bilaspur,1,1,0, 0,0
2020-05-13,Durg,10,8,0, 0,0
2020-05-13,Kabeerdham,6,6,0, 0,1
2020-05-13,Korba,28,28,0, 0,0
2020-05-13,Raipur,7,7,0, 0,0
2020-05-13,Rajnandgaon,1,1,0, 0,0
2020-05-13,Surajpur,6,4,0, 0,0
2020-05-14,Balod,1,0,0,1,0
2020-05-14,Bilaspur,1,1,0, 0,0
2020-05-14,Durg,10,8,0, 0,0
2020-05-14,Kabeerdham,6,6,0, 0,0
2020-05-14,Korba,28,28,0, 0,0
2020-05-14,Raipur,7,7,0, 0,0
2020-05-14,Rajnandgaon,1,1,0, 0,0
