date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Central Delhi,184,0,0, 0,0
2020-04-26,East Delhi,38,0,0, 0,0
2020-04-26,New Delhi,37,0,0, 0,0
2020-04-26,North Delhi,60,0,0, 0,0
2020-04-26,North East Delhi,25,0,0, 0,0
2020-04-26,North West Delhi,32,0,0, 0,0
2020-04-26,Shahdara,48,0,0, 0,0
2020-04-26,South Delhi,70,0,0, 0,0
2020-04-26,South East Delhi,130,0,0, 0,0
2020-04-26,South West Delhi,42,0,0, 0,0
2020-04-26,Unknown,2130,877,54, 0,0
2020-04-26,West Delhi,122,0,0, 0,0
2020-04-27,Central Delhi,184,0,0, 0,0
2020-04-27,East Delhi,38,0,0, 0,0
2020-04-27,New Delhi,37,0,0, 0,0
2020-04-27,North Delhi,60,0,0, 0,0
2020-04-27,North East Delhi,25,0,0, 0,0
2020-04-27,North West Delhi,32,0,0, 0,0
2020-04-27,Shahdara,48,0,0, 0,0
2020-04-27,South Delhi,70,0,0, 0,0
2020-04-27,South East Delhi,130,0,0, 0,0
2020-04-27,South West Delhi,42,0,0, 0,0
2020-04-27,Unknown,2320,877,54,190,0
2020-04-27,West Delhi,122,0,0, 0,0
2020-04-28,Central Delhi,184,0,0, 0,0
2020-04-28,East Delhi,38,0,0, 0,0
2020-04-28,New Delhi,37,0,0, 0,0
2020-04-28,North Delhi,60,0,0, 0,0
2020-04-28,North East Delhi,25,0,0, 0,0
2020-04-28,North West Delhi,32,0,0, 0,0
2020-04-28,Shahdara,48,0,0, 0,0
2020-04-28,South Delhi,70,0,0, 0,0
2020-04-28,South East Delhi,130,0,0, 0,0
2020-04-28,South West Delhi,42,0,0, 0,0
2020-04-28,Unknown,2526,1078,54,206,201
2020-04-28,West Delhi,122,0,0, 0,0
2020-04-29,Central Delhi,184,0,0, 0,0
2020-04-29,East Delhi,38,0,0, 0,0
2020-04-29,New Delhi,37,0,0, 0,0
2020-04-29,North Delhi,60,0,0, 0,0
2020-04-29,North East Delhi,25,0,0, 0,0
2020-04-29,North West Delhi,32,0,0, 0,0
2020-04-29,Shahdara,48,0,0, 0,0
2020-04-29,South Delhi,70,0,0, 0,0
2020-04-29,South East Delhi,130,0,0, 0,0
2020-04-29,South West Delhi,42,0,0, 0,0
2020-04-29,Unknown,2651,1092,56,125,14
2020-04-29,West Delhi,122,0,0, 0,0
2020-04-30,Central Delhi,184,0,0, 0,0
2020-04-30,East Delhi,38,0,0, 0,0
2020-04-30,New Delhi,37,0,0, 0,0
2020-04-30,North Delhi,60,0,0, 0,0
2020-04-30,North East Delhi,25,0,0, 0,0
2020-04-30,North West Delhi,32,0,0, 0,0
2020-04-30,Shahdara,48,0,0, 0,0
2020-04-30,South Delhi,70,0,0, 0,0
2020-04-30,South East Delhi,130,0,0, 0,0
2020-04-30,South West Delhi,42,0,0, 0,0
2020-04-30,Unknown,2727,1094,59,76,2
2020-04-30,West Delhi,122,0,0, 0,0
2020-05-01,Central Delhi,184,0,0, 0,0
2020-05-01,East Delhi,38,0,0, 0,0
2020-05-01,New Delhi,37,0,0, 0,0
2020-05-01,North Delhi,60,0,0, 0,0
2020-05-01,North East Delhi,25,0,0, 0,0
2020-05-01,North West Delhi,32,0,0, 0,0
2020-05-01,Shahdara,48,0,0, 0,0
2020-05-01,South Delhi,70,0,0, 0,0
2020-05-01,South East Delhi,130,0,0, 0,0
2020-05-01,South West Delhi,42,0,0, 0,0
2020-05-01,Unknown,2950,1167,61,223,73
2020-05-01,West Delhi,122,0,0, 0,0
2020-05-02,Central Delhi,184,0,0, 0,0
2020-05-02,East Delhi,38,0,0, 0,0
2020-05-02,New Delhi,37,0,0, 0,0
2020-05-02,North Delhi,60,0,0, 0,0
2020-05-02,North East Delhi,25,0,0, 0,0
2020-05-02,North West Delhi,32,0,0, 0,0
2020-05-02,Shahdara,48,0,0, 0,0
2020-05-02,South Delhi,70,0,0, 0,0
2020-05-02,South East Delhi,130,0,0, 0,0
2020-05-02,South West Delhi,42,0,0, 0,0
2020-05-02,Unknown,3334,1256,64,384,89
2020-05-02,West Delhi,122,0,0, 0,0
2020-05-03,Central Delhi,184,0,0, 0,0
2020-05-03,East Delhi,38,0,0, 0,0
2020-05-03,New Delhi,37,0,0, 0,0
2020-05-03,North Delhi,60,0,0, 0,0
2020-05-03,North East Delhi,25,0,0, 0,0
2020-05-03,North West Delhi,32,0,0, 0,0
2020-05-03,Shahdara,48,0,0, 0,0
2020-05-03,South Delhi,70,0,0, 0,0
2020-05-03,South East Delhi,130,0,0, 0,0
2020-05-03,South West Delhi,42,0,0, 0,0
2020-05-03,Unknown,3761,1362,64,427,106
2020-05-03,West Delhi,122,0,0, 0,0
2020-05-04,Central Delhi,184,0,0, 0,0
2020-05-04,East Delhi,38,0,0, 0,0
2020-05-04,New Delhi,37,0,0, 0,0
2020-05-04,North Delhi,60,0,0, 0,0
2020-05-04,North East Delhi,25,0,0, 0,0
2020-05-04,North West Delhi,32,0,0, 0,0
2020-05-04,Shahdara,48,0,0, 0,0
2020-05-04,South Delhi,70,0,0, 0,0
2020-05-04,South East Delhi,130,0,0, 0,0
2020-05-04,South West Delhi,42,0,0, 0,0
2020-05-04,Unknown,4110,1431,64,349,69
2020-05-04,West Delhi,122,0,0, 0,0
2020-05-05,Central Delhi,184,0,0, 0,0
2020-05-05,East Delhi,38,0,0, 0,0
2020-05-05,New Delhi,37,0,0, 0,0
2020-05-05,North Delhi,60,0,0, 0,0
2020-05-05,North East Delhi,25,0,0, 0,0
2020-05-05,North West Delhi,32,0,0, 0,0
2020-05-05,Shahdara,48,0,0, 0,0
2020-05-05,South Delhi,70,0,0, 0,0
2020-05-05,South East Delhi,130,0,0, 0,0
2020-05-05,South West Delhi,42,0,0, 0,0
2020-05-05,Unknown,4316,1468,64,206,37
2020-05-05,West Delhi,122,0,0, 0,0
2020-05-06,Central Delhi,184,0,0, 0,0
2020-05-06,East Delhi,38,0,0, 0,0
2020-05-06,New Delhi,37,0,0, 0,0
2020-05-06,North Delhi,60,0,0, 0,0
2020-05-06,North East Delhi,25,0,0, 0,0
2020-05-06,North West Delhi,32,0,1, 0,0
2020-05-06,Shahdara,48,0,0, 0,0
2020-05-06,South Delhi,70,0,0, 0,0
2020-05-06,South East Delhi,130,0,0, 0,0
2020-05-06,South West Delhi,42,0,0, 0,0
2020-05-06,Unknown,4744,1542,64,428,74
2020-05-06,West Delhi,122,0,0, 0,0
2020-05-07,Central Delhi,184,0,0, 0,0
2020-05-07,East Delhi,38,0,0, 0,0
2020-05-07,New Delhi,37,0,0, 0,0
2020-05-07,North Delhi,60,0,0, 0,0
2020-05-07,North East Delhi,25,0,0, 0,0
2020-05-07,North West Delhi,32,0,1, 0,0
2020-05-07,Shahdara,48,0,0, 0,0
2020-05-07,South Delhi,70,0,0, 0,0
2020-05-07,South East Delhi,130,0,0, 0,0
2020-05-07,South West Delhi,42,0,0, 0,0
2020-05-07,Unknown,5192,1931,65,448,389
2020-05-07,West Delhi,122,0,0, 0,0
2020-05-08,Central Delhi,184,0,0, 0,0
2020-05-08,East Delhi,38,0,0, 0,0
2020-05-08,New Delhi,37,0,0, 0,0
2020-05-08,North Delhi,60,0,0, 0,0
2020-05-08,North East Delhi,25,0,0, 0,0
2020-05-08,North West Delhi,32,0,1, 0,0
2020-05-08,Shahdara,48,0,0, 0,0
2020-05-08,South Delhi,70,0,0, 0,0
2020-05-08,South East Delhi,130,0,0, 0,0
2020-05-08,South West Delhi,42,0,0, 0,0
2020-05-08,Unknown,5530,2020,67,338,89
2020-05-08,West Delhi,122,0,0, 0,0
2020-05-09,Central Delhi,184,0,0, 0,0
2020-05-09,East Delhi,38,0,0, 0,0
2020-05-09,New Delhi,37,0,0, 0,0
2020-05-09,North Delhi,60,0,0, 0,0
2020-05-09,North East Delhi,25,0,0, 0,0
2020-05-09,North West Delhi,32,0,1, 0,0
2020-05-09,Shahdara,48,0,0, 0,0
2020-05-09,South Delhi,70,0,0, 0,0
2020-05-09,South East Delhi,130,0,0, 0,0
2020-05-09,South West Delhi,42,0,0, 0,0
2020-05-09,Unknown,5754,2020,67,224,0
2020-05-09,West Delhi,122,0,0, 0,0
2020-05-10,Central Delhi,184,0,0, 0,0
2020-05-10,East Delhi,38,0,0, 0,0
2020-05-10,New Delhi,37,0,0, 0,0
2020-05-10,North Delhi,60,0,0, 0,0
2020-05-10,North East Delhi,25,0,0, 0,0
2020-05-10,North West Delhi,32,0,1, 0,0
2020-05-10,Shahdara,48,0,0, 0,0
2020-05-10,South Delhi,70,0,0, 0,0
2020-05-10,South East Delhi,130,0,0, 0,0
2020-05-10,South West Delhi,42,0,0, 0,0
2020-05-10,Unknown,6135,2069,72,381,49
2020-05-10,West Delhi,122,0,0, 0,0
2020-05-11,Central Delhi,184,0,0, 0,0
2020-05-11,East Delhi,38,0,0, 0,0
2020-05-11,New Delhi,37,0,0, 0,0
2020-05-11,North Delhi,60,0,0, 0,0
2020-05-11,North East Delhi,25,0,0, 0,0
2020-05-11,North West Delhi,32,0,1, 0,0
2020-05-11,Shahdara,48,0,0, 0,0
2020-05-11,South Delhi,70,0,0, 0,0
2020-05-11,South East Delhi,130,0,0, 0,0
2020-05-11,South West Delhi,42,0,0, 0,0
2020-05-11,Unknown,6445,2129,72,310,60
2020-05-11,West Delhi,122,0,0, 0,0
2020-05-12,Central Delhi,184,0,0, 0,0
