date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,North Goa,6,6,0, 0,0
2020-04-26,South Goa,1,1,0, 0,0
2020-04-27,North Goa,6,6,0, 0,0
2020-04-27,South Goa,1,1,0, 0,0
2020-04-28,North Goa,6,6,0, 0,0
2020-04-28,South Goa,1,1,0, 0,0
2020-04-29,North Goa,6,6,0, 0,0
2020-04-29,South Goa,1,1,0, 0,0
2020-04-30,North Goa,6,6,0, 0,0
2020-04-30,South Goa,1,1,0, 0,0
2020-05-01,North Goa,6,6,0, 0,0
2020-05-01,South Goa,1,1,0, 0,0
2020-05-02,North Goa,6,6,0, 0,0
2020-05-02,South Goa,1,1,0, 0,0
2020-05-03,North Goa,6,6,0, 0,0
2020-05-03,South Goa,1,1,0, 0,0
2020-05-04,North Goa,6,6,0, 0,0
2020-05-04,South Goa,1,1,0, 0,0
2020-05-05,North Goa,6,6,0, 0,0
2020-05-05,South Goa,1,1,0, 0,0
2020-05-06,North Goa,6,6,0, 0,0
2020-05-06,South Goa,1,1,0, 0,0
2020-05-07,North Goa,6,6,0, 0,0
2020-05-07,South Goa,1,1,0, 0,0
2020-05-08,North Goa,6,6,0, 0,0
2020-05-08,South Goa,1,1,0, 0,0
2020-05-09,North Goa,6,6,0, 0,0
2020-05-09,South Goa,1,1,0, 0,0
2020-05-10,North Goa,6,6,0, 0,0
2020-05-10,South Goa,1,1,0, 0,0
2020-05-11,North Goa,6,6,0, 0,0
2020-05-11,South Goa,1,1,0, 0,0
2020-05-12,North Goa,6,6,0, 0,0
2020-05-12,South Goa,1,1,0, 0,0
2020-05-13,North Goa,6,6,0, 0,0
2020-05-13,South Goa,1,1,0, 0,0
2020-05-14,North Goa,6,6,0, 0,0
2020-05-14,South Goa,9,1,0,8,0
2020-05-15,North Goa,6,6,0, 0,0
2020-05-15,South Goa,9,1,0, 0,0
2020-05-16,North Goa,6,6,0, 0,0
2020-05-16,South Goa,14,1,0,5,0
2020-05-17,North Goa,6,6,0, 0,0
2020-05-17,South Goa,23,1,0,9,0
2020-05-18,North Goa,6,6,0, 0,0
2020-05-18,South Goa,32,1,0,9,0
2020-05-19,North Goa,6,6,0, 0,0
2020-05-19,South Goa,40,1,0,8,0
2020-05-20,North Goa,6,6,0, 0,0
2020-05-20,South Goa,44,1,0,4,0
2020-05-21,North Goa,6,6,0, 0,0
2020-05-21,South Goa,46,1,0,2,0
2020-05-22,North Goa,6,6,0, 0,0
2020-05-22,South Goa,48,10,0,2,9
2020-05-23,North Goa,6,6,0, 0,0
2020-05-23,South Goa,49,10,0,1,0
2020-05-24,North Goa,6,6,0, 0,0
2020-05-24,South Goa,60,10,0,11,0
2020-05-25,North Goa,6,6,0, 0,0
2020-05-25,South Goa,60,13,0, 0,3
2020-05-25,Unknown,1,0,0,1,0
2020-05-26,North Goa,6,6,0, 0,0
2020-05-26,South Goa,60,13,0, 0,0
2020-05-26,Unknown,1,9,0, 0,9
2020-05-27,North Goa,6,6,0, 0,0
2020-05-27,South Goa,60,13,0, 0,0
2020-05-27,Unknown,2,18,0,1,9
2020-05-28,North Goa,6,6,0, 0,0
2020-05-28,South Goa,60,13,0, 0,0
2020-05-28,Unknown,3,19,0,1,1
2020-05-29,North Goa,6,6,0, 0,0
2020-05-29,South Goa,60,13,0, 0,0
2020-05-29,Unknown,3,22,0, 0,3
2020-05-30,North Goa,6,6,0, 0,0
2020-05-30,South Goa,61,13,0,1,0
2020-05-30,Unknown,3,23,0, 0,1
2020-05-31,North Goa,6,6,0, 0,0
2020-05-31,South Goa,62,13,0,1,0
2020-05-31,Unknown,3,25,0, 0,2
2020-06-01,North Goa,6,6,0, 0,0
2020-06-01,South Goa,64,13,0,2,0
2020-06-01,Unknown,3,31,0, 0,6
2020-06-02,North Goa,6,6,0, 0,0
2020-06-02,South Goa,70,13,0,6,0
2020-06-02,Unknown,3,38,0, 0,7
2020-06-03,North Goa,6,6,0, 0,0
2020-06-03,South Goa,117,13,0,47,0
2020-06-03,Unknown,3,38,0, 0,0
2020-06-04,North Goa,6,6,0, 0,0
2020-06-04,South Goa,157,13,0,40,0
2020-06-04,Unknown,3,38,0, 0,0
2020-06-05,North Goa,6,6,0, 0,0
2020-06-05,South Goa,187,13,0,30,0
2020-06-05,Unknown,3,46,0, 0,8
2020-06-06,North Goa,6,6,0, 0,0
2020-06-06,South Goa,249,13,0,62,0
2020-06-06,Unknown,12,46,0,9,0
2020-06-07,North Goa,6,6,0, 0,0
2020-06-07,South Goa,279,13,0,30,0
2020-06-07,Unknown,15,46,0,3,0
2020-06-08,North Goa,6,6,0, 0,0
2020-06-08,South Goa,324,61,0,45,48
2020-06-08,Unknown,0,0,0,-15,-46
2020-06-09,North Goa,6,6,0, 0,0
2020-06-09,South Goa,353,61,0,29,0
2020-06-10,North Goa,6,6,0, 0,0
2020-06-10,Other State,4,0,0,4,0
2020-06-10,South Goa,377,61,0,24,0
2020-06-11,North Goa,6,6,0, 0,0
2020-06-11,Other State,4,0,0, 0,0
2020-06-11,South Goa,377,61,0, 0,0
2020-06-11,Unknown,30,0,0,30,0
2020-06-12,North Goa,6,6,0, 0,0
2020-06-12,Other State,4,0,0, 0,0
2020-06-12,South Goa,377,61,0, 0,0
2020-06-12,Unknown,76,2,0,46,2
2020-06-13,North Goa,6,6,0, 0,0
2020-06-13,Other State,4,0,0, 0,0
2020-06-13,South Goa,377,61,0, 0,0
2020-06-13,Unknown,136,3,0,60,1
2020-06-14,North Goa,6,6,0, 0,0
2020-06-14,Other State,4,0,0, 0,0
2020-06-14,South Goa,377,61,0, 0,0
2020-06-14,Unknown,177,7,0,41,4
2020-06-15,North Goa,6,6,0, 0,0
2020-06-15,Other State,4,0,0, 0,0
2020-06-15,South Goa,377,61,0, 0,0
2020-06-15,Unknown,205,18,0,28,11
2020-06-16,North Goa,6,6,0, 0,0
2020-06-16,Other State,4,0,0, 0,0
2020-06-16,South Goa,377,61,0, 0,0
2020-06-16,Unknown,242,18,0,37,0
2020-06-17,North Goa,6,6,0, 0,0
2020-06-17,Other State,4,0,0, 0,0
2020-06-17,South Goa,377,61,0, 0,0
2020-06-17,Unknown,269,29,0,27,11
2020-06-18,North Goa,6,6,0, 0,0
2020-06-18,Other State,4,0,0, 0,0
2020-06-18,South Goa,377,61,0, 0,0
2020-06-18,Unknown,318,42,0,49,13
2020-06-19,North Goa,6,6,0, 0,0
2020-06-19,Other State,4,0,0, 0,0
2020-06-19,South Goa,377,61,0, 0,0
2020-06-19,Unknown,338,51,0,20,9
2020-06-20,North Goa,6,6,0, 0,0
2020-06-20,Other State,4,0,0, 0,0
2020-06-20,South Goa,377,61,0, 0,0
2020-06-20,Unknown,367,62,0,29,11
2020-06-21,North Goa,6,6,0, 0,0
2020-06-21,Other State,4,0,0, 0,0
2020-06-21,South Goa,377,61,0, 0,0
2020-06-21,Unknown,431,68,0,64,6
2020-06-22,North Goa,6,6,1, 0,0
2020-06-22,Other State,4,0,0, 0,0
2020-06-22,South Goa,377,61,0, 0,0
2020-06-22,Unknown,477,85,0,46,17
2020-06-23,North Goa,6,6,1, 0,0
2020-06-23,Other State,4,0,0, 0,0
2020-06-23,South Goa,377,61,0, 0,0
2020-06-23,Unknown,522,138,1,45,53
2020-06-24,North Goa,6,6,1, 0,0
2020-06-24,Other State,4,0,0, 0,0
2020-06-24,South Goa,377,61,0, 0,0
2020-06-24,Unknown,564,222,1,42,84
2020-06-25,North Goa,6,6,1, 0,0
2020-06-25,Other State,4,0,0, 0,0
2020-06-25,South Goa,377,61,0, 0,0
2020-06-25,Unknown,608,268,1,44,46
2020-06-26,North Goa,52,6,1,6,0
2020-06-26,Other State,4,0,0, 0,0
2020-06-26,South Goa,734,164,1,14,15
2020-06-26,Unknown,249,200,0,24,20
2020-06-27,North Goa,63,6,1,11,0
2020-06-27,Other State,4,0,0, 0,0
2020-06-27,South Goa,765,164,1,31,0
2020-06-27,Unknown,296,250,0,47,50
2020-06-28,North Goa,63,12,1,3,6
2020-06-28,Other State,106,9,0,6,0
2020-06-28,South Goa,780,205,2,22,10
2020-06-28,Unknown,249,252,0,39,42
2020-06-29,North Goa,72,28,1,9,16
2020-06-29,Other State,113,9,0,7,0
2020-06-29,South Goa,794,212,2,14,7
2020-06-29,Unknown,272,275,0,23,23
2020-06-30,North Goa,90,28,1,18,0
2020-06-30,Other State,116,9,0,3,0
2020-06-30,South Goa,795,242,2,1,30
2020-06-30,Unknown,314,317,0,42,42
2020-07-01,North Goa,107,28,2,17,0
2020-07-01,Other State,125,9,0,9,0
2020-07-01,South Goa,799,275,2,4,33
2020-07-01,Unknown,356,358,0,42,41
2020-07-02,North Goa,128,38,2,21,10
2020-07-02,Other State,125,9,0, 0,0
2020-07-02,South Goa,832,289,2,33,14
2020-07-02,Unknown,397,398,0,41,40
2020-07-03,North Goa,161,39,2,33,1
2020-07-03,Other State,125,9,0, 0,0
2020-07-03,South Goa,861,294,2,29,5
2020-07-03,Unknown,429,430,0,32,32
2020-07-04,North Goa,217,46,2,56,7
2020-07-04,Other State,125,17,0, 0,8
2020-07-04,South Goa,880,305,4,19,11
2020-07-04,Unknown,462,457,0,33,27
2020-07-05,North Goa,283,92,2,51,8
2020-07-05,Other State,126,17,0,1,0
2020-07-05,South Goa,932,407,5,7,85
2020-07-05,Unknown,420,420,0,18,18
2020-07-06,North Goa,309,101,2,26,9
2020-07-06,Other State,130,17,0,4,0
2020-07-06,South Goa,957,526,5,25,119
2020-07-06,Unknown,417,417,0,-3,-3
2020-07-07,North Goa,349,102,3,40,1
2020-07-07,Other State,133,17,0,3,0
2020-07-07,South Goa,966,582,5,9,56
2020-07-07,Unknown,455,455,0,38,38
