date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Ahmedabad,2181,140,104, 0,0
2020-04-26,Anand,49,14,3, 0,0
2020-04-26,Aravalli,18,0,1, 0,0
2020-04-26,Banaskantha,28,1,0, 0,0
2020-04-26,Bharuch,29,14,2, 0,0
2020-04-26,Bhavnagar,40,18,5, 0,0
2020-04-26,Botad,12,0,1, 0,0
2020-04-26,Chhota Udaipur,13,3,0, 0,0
2020-04-26,Dahod,4,1,0, 0,0
2020-04-26,Dang,1,0,0, 0,0
2020-04-26,Gandhinagar,25,12,2, 0,0
2020-04-26,Gir Somnath,3,2,0, 0,0
2020-04-26,Jamnagar,1,0,1, 0,0
2020-04-26,Kheda,6,1,0, 0,0
2020-04-26,Kutch,6,3,1, 0,0
2020-04-26,Mahisagar,10,0,0, 0,0
2020-04-26,Mehsana,7,2,0, 0,0
2020-04-26,Morbi,1,0,0, 0,0
2020-04-26,Narmada,12,0,0, 0,0
2020-04-26,Navsari,3,0,0, 0,0
2020-04-26,Panchmahal,17,0,2, 0,0
2020-04-26,Patan,17,11,1, 0,0
2020-04-26,Porbandar,3,3,0, 0,0
2020-04-26,Rajkot,45,14,0, 0,0
2020-04-26,Sabarkantha,3,2,0, 0,0
2020-04-26,Surat,526,16,15, 0,0
2020-04-26,Surendranagar,1,0,0, 0,0
2020-04-26,Tapi,1,0,0, 0,0
2020-04-26,Vadodara,234,56,12, 0,0
2020-04-26,Valsad,5,0,1, 0,0
2020-04-27,Ahmedabad,2379,212,109,198,72
2020-04-27,Anand,51,15,3,2,1
2020-04-27,Aravalli,18,0,1, 0,0
2020-04-27,Banaskantha,28,1,1, 0,0
2020-04-27,Bharuch,29,14,2, 0,0
2020-04-27,Bhavnagar,40,19,5, 0,1
2020-04-27,Botad,13,0,1,1,0
2020-04-27,Chhota Udaipur,13,3,0, 0,0
2020-04-27,Dahod,4,1,0, 0,0
2020-04-27,Dang,2,0,0,1,0
2020-04-27,Gandhinagar,30,12,2,5,0
2020-04-27,Gir Somnath,3,2,0, 0,0
2020-04-27,Jamnagar,1,0,1, 0,0
2020-04-27,Kheda,6,1,0, 0,0
2020-04-27,Kutch,6,3,1, 0,0
2020-04-27,Mahisagar,10,0,0, 0,0
2020-04-27,Mehsana,7,2,0, 0,0
2020-04-27,Morbi,1,1,0, 0,1
2020-04-27,Narmada,12,1,0, 0,1
2020-04-27,Navsari,3,0,0, 0,0
2020-04-27,Panchmahal,20,0,2,3,0
2020-04-27,Patan,17,11,1, 0,0
2020-04-27,Porbandar,3,3,0, 0,0
2020-04-27,Rajkot,46,15,0,1,1
2020-04-27,Sabarkantha,3,2,0, 0,0
2020-04-27,Surat,556,20,19,30,4
2020-04-27,Surendranagar,1,0,0, 0,0
2020-04-27,Tapi,1,0,0, 0,0
2020-04-27,Vadodara,240,56,13,6,0
2020-04-27,Valsad,5,0,1, 0,0
2020-04-28,Ahmedabad,2543,241,128,164,29
2020-04-28,Anand,60,18,3,9,3
2020-04-28,Aravalli,18,0,1, 0,0
2020-04-28,Banaskantha,28,1,1, 0,0
2020-04-28,Bharuch,31,14,2,2,0
2020-04-28,Bhavnagar,41,20,5,1,1
2020-04-28,Botad,19,2,1,6,2
2020-04-28,Chhota Udaipur,13,5,0, 0,2
2020-04-28,Dahod,4,1,0, 0,0
2020-04-28,Dang,2,0,0, 0,0
2020-04-28,Gandhinagar,36,12,2,6,0
2020-04-28,Gir Somnath,3,2,0, 0,0
2020-04-28,Jamnagar,1,0,1, 0,0
2020-04-28,Kheda,6,1,0, 0,0
2020-04-28,Kutch,6,4,1, 0,1
2020-04-28,Mahisagar,10,0,0, 0,0
2020-04-28,Mehsana,7,2,0, 0,0
2020-04-28,Morbi,1,1,0, 0,0
2020-04-28,Narmada,12,1,0, 0,0
2020-04-28,Navsari,3,0,0, 0,0
2020-04-28,Panchmahal,20,0,2, 0,0
2020-04-28,Patan,17,11,1, 0,0
2020-04-28,Porbandar,3,3,0, 0,0
2020-04-28,Rajkot,55,15,0,9,0
2020-04-28,Sabarkantha,3,2,0, 0,0
2020-04-28,Surat,570,20,19,14,0
2020-04-28,Surendranagar,1,0,0, 0,0
