date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Chamba,6,4,0, 0,0
2020-04-26,Hamirpur,2,0,0, 0,0
2020-04-26,Kangra,5,3,1, 0,0
2020-04-26,Sirmaur,2,1,0, 0,0
2020-04-26,Solan,9,3,1, 0,0
2020-04-26,Una,16,11,0, 0,0
2020-04-27,Chamba,6,4,0, 0,0
2020-04-27,Hamirpur,2,0,0, 0,0
2020-04-27,Kangra,5,4,1, 0,1
2020-04-27,Sirmaur,2,2,0, 0,1
2020-04-27,Solan,9,3,1, 0,0
2020-04-27,Una,16,12,0, 0,1
2020-04-28,Chamba,6,4,0, 0,0
2020-04-28,Hamirpur,2,0,0, 0,0
2020-04-28,Kangra,5,4,1, 0,0
2020-04-28,Sirmaur,2,2,0, 0,0
2020-04-28,Solan,9,3,1, 0,0
2020-04-28,Una,16,12,0, 0,0
2020-04-29,Chamba,6,4,0, 0,0
2020-04-29,Hamirpur,2,0,0, 0,0
2020-04-29,Kangra,5,4,1, 0,0
2020-04-29,Sirmaur,2,2,0, 0,0
2020-04-29,Solan,9,3,1, 0,0
2020-04-29,Una,16,12,0, 0,0
2020-04-30,Chamba,6,5,0, 0,1
2020-04-30,Hamirpur,2,0,0, 0,0
2020-04-30,Kangra,5,4,1, 0,0
2020-04-30,Sirmaur,2,1,0, 0,-1
2020-04-30,Solan,9,5,1, 0,2
2020-04-30,Una,16,13,0, 0,1
2020-05-01,Chamba,6,5,0, 0,0
2020-05-01,Hamirpur,2,2,0, 0,2
2020-05-01,Kangra,5,4,1, 0,0
2020-05-01,Sirmaur,2,1,0, 0,0
2020-05-01,Solan,9,5,1, 0,0
2020-05-01,Una,16,13,0, 0,0
2020-05-02,Chamba,6,6,0, 0,1
2020-05-02,Hamirpur,2,2,0, 0,0
2020-05-02,Kangra,5,4,1, 0,0
2020-05-02,Sirmaur,2,1,0, 0,0
2020-05-02,Solan,9,5,1, 0,0
2020-05-02,Una,16,15,0, 0,2
2020-05-03,Chamba,6,6,0, 0,0
2020-05-03,Hamirpur,2,2,0, 0,0
2020-05-03,Kangra,5,4,1, 0,0
2020-05-03,Sirmaur,2,1,0, 0,0
2020-05-03,Solan,9,5,1, 0,0
2020-05-03,Una,16,16,0, 0,1
2020-05-04,Chamba,6,6,0, 0,0
2020-05-04,Hamirpur,2,2,0, 0,0
2020-05-04,Kangra,5,4,1, 0,0
2020-05-04,Mandi,1,0,0,1,0
2020-05-04,Sirmaur,2,1,0, 0,0
2020-05-04,Solan,9,5,1, 0,0
2020-05-04,Una,16,16,0, 0,0
2020-05-05,Chamba,6,6,0, 0,0
2020-05-05,Hamirpur,2,2,0, 0,0
