date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Ambala,13,10,1, 0,0
2020-04-26,Bhiwani,3,2,0, 0,0
2020-04-26,Charkhi Dadri,1,1,0, 0,0
2020-04-26,Faridabad,45,29,0, 0,0
2020-04-26,Fatehabad,1,1,0, 0,0
2020-04-26,Gurugram,51,35,0, 0,0
2020-04-26,Hisar,4,2,0, 0,0
2020-04-26,Italians,14,14,0, 0,0
2020-04-26,Jind,2,2,0, 0,0
2020-04-26,Kaithal,2,2,0, 0,0
2020-04-26,Karnal,6,5,1, 0,0
2020-04-26,Kurukshetra,2,2,0, 0,0
2020-04-26,Nuh,57,39,0, 0,0
2020-04-26,Palwal,34,29,0, 0,0
2020-04-26,Panchkula,18,10,0, 0,0
2020-04-26,Panipat,12,5,0, 0,0
2020-04-26,Rohtak,4,0,1, 0,0
2020-04-26,Sirsa,4,4,0, 0,0
2020-04-26,Sonipat,20,4,0, 0,0
2020-04-26,Yamunanagar,3,3,0, 0,0
2020-04-27,Ambala,14,10,1,1,0
2020-04-27,Bhiwani,3,2,0, 0,0
2020-04-27,Charkhi Dadri,1,1,0, 0,0
2020-04-27,Faridabad,46,37,0,1,8
2020-04-27,Fatehabad,1,1,0, 0,0
2020-04-27,Gurugram,51,36,0, 0,1
2020-04-27,Hisar,4,2,0, 0,0
2020-04-27,Italians,14,14,0, 0,0
2020-04-27,Jhajjar,1,0,0,1,0
2020-04-27,Jind,2,2,0, 0,0
2020-04-27,Kaithal,2,2,0, 0,0
2020-04-27,Karnal,6,5,1, 0,0
2020-04-27,Kurukshetra,2,2,0, 0,0
2020-04-27,Nuh,57,44,0, 0,5
2020-04-27,Palwal,34,29,0, 0,0
2020-04-27,Panchkula,18,10,0, 0,0
2020-04-27,Panipat,12,5,0, 0,0
2020-04-27,Rohtak,4,0,1, 0,0
2020-04-27,Sirsa,4,4,0, 0,0
2020-04-27,Sonipat,22,-3,0,2,-7
2020-04-27,Unknown,0,7,0, 0,7
2020-04-27,Yamunanagar,3,3,0, 0,0
2020-04-28,Ambala,14,10,1, 0,0
2020-04-28,Bhiwani,3,2,0, 0,0
2020-04-28,Charkhi Dadri,1,1,0, 0,0
2020-04-28,Faridabad,46,40,0, 0,3
2020-04-28,Fatehabad,1,1,0, 0,0
2020-04-28,Gurugram,51,36,0, 0,0
2020-04-28,Hisar,4,2,0, 0,0
2020-04-28,Italians,14,14,0, 0,0
2020-04-28,Jhajjar,5,0,0,4,0
2020-04-28,Jind,2,2,0, 0,0
2020-04-28,Kaithal,2,2,0, 0,0
2020-04-28,Karnal,6,5,1, 0,0
2020-04-28,Kurukshetra,2,2,0, 0,0
2020-04-28,Nuh,57,46,0, 0,2
2020-04-28,Palwal,34,32,0, 0,3
2020-04-28,Panchkula,18,13,0, 0,3
2020-04-28,Panipat,13,5,0,1,0
2020-04-28,Rohtak,4,0,1, 0,0
2020-04-28,Sirsa,4,4,0, 0,0
2020-04-28,Sonipat,24,-3,0,2,0
2020-04-28,Unknown,0,7,0, 0,0
2020-04-28,Yamunanagar,3,3,0, 0,0
2020-04-29,Ambala,14,10,1, 0,0
2020-04-29,Bhiwani,3,2,0, 0,0
2020-04-29,Charkhi Dadri,1,1,0, 0,0
2020-04-29,Faridabad,46,41,0, 0,1
2020-04-29,Fatehabad,1,1,0, 0,0
2020-04-29,Gurugram,51,36,0, 0,0
2020-04-29,Hisar,4,2,0, 0,0
2020-04-29,Italians,14,14,0, 0,0
2020-04-29,Jhajjar,6,0,0,1,0
2020-04-29,Jind,2,2,0, 0,0
2020-04-29,Kaithal,2,2,0, 0,0
2020-04-29,Karnal,6,5,1, 0,0
2020-04-29,Kurukshetra,2,2,0, 0,0
2020-04-29,Nuh,58,46,0,1,0
2020-04-29,Palwal,34,32,0, 0,0
2020-04-29,Panchkula,18,13,0, 0,0
2020-04-29,Panipat,13,5,0, 0,0
2020-04-29,Rohtak,4,0,1, 0,0
2020-04-29,Sirsa,4,4,0, 0,0
2020-04-29,Sonipat,25,-3,0,1,0
2020-04-29,Unknown,0,7,0, 0,0
2020-04-29,Yamunanagar,3,3,0, 0,0
2020-04-30,Ambala,14,10,1, 0,0
2020-04-30,Bhiwani,3,2,0, 0,0
2020-04-30,Charkhi Dadri,1,1,0, 0,0
2020-04-30,Faridabad,53,41,1,7,0
2020-04-30,Fatehabad,1,1,0, 0,0
2020-04-30,Gurugram,54,38,0,3,2
2020-04-30,Hisar,4,2,0, 0,0
2020-04-30,Italians,14,14,0, 0,0
2020-04-30,Jhajjar,24,0,0,18,0
2020-04-30,Jind,2,2,0, 0,0
2020-04-30,Kaithal,2,2,0, 0,0
2020-04-30,Karnal,6,5,1, 0,0
2020-04-30,Kurukshetra,2,2,0, 0,0
2020-04-30,Nuh,58,50,0, 0,4
2020-04-30,Palwal,34,32,0, 0,0
2020-04-30,Panchkula,18,17,0, 0,4
2020-04-30,Panipat,13,5,0, 0,0
2020-04-30,Rohtak,4,0,1, 0,0
2020-04-30,Sirsa,4,4,0, 0,0
2020-04-30,Sonipat,25,-3,0, 0,0
2020-04-30,Unknown,0,7,0, 0,0
2020-04-30,Yamunanagar,3,3,0, 0,0
2020-05-01,Ambala,14,11,1, 0,1
2020-05-01,Bhiwani,3,2,0, 0,0
2020-05-01,Charkhi Dadri,1,1,0, 0,0
2020-05-01,Faridabad,61,42,1,8,1
2020-05-01,Fatehabad,1,1,0, 0,0
2020-05-01,Gurugram,57,38,0,3,0
2020-05-01,Hisar,4,2,0, 0,0
2020-05-01,Italians,14,14,0, 0,0
2020-05-01,Jhajjar,28,0,0,4,0
2020-05-01,Jind,2,2,0, 0,0
2020-05-01,Kaithal,2,2,0, 0,0
2020-05-01,Karnal,6,5,1, 0,0
2020-05-01,Kurukshetra,2,2,0, 0,0
2020-05-01,Nuh,58,52,0, 0,2
2020-05-01,Palwal,34,32,0, 0,0
2020-05-01,Panchkula,18,17,0, 0,0
2020-05-01,Panipat,13,5,0, 0,0
