date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Anantnag,48,0,0, 0,0
2020-04-26,Bandipora,124,23,1, 0,0
2020-04-26,Baramulla,62,17,3, 0,0
2020-04-26,Budgam,14,9,0, 0,0
2020-04-26,Ganderbal,14,2,0, 0,0
2020-04-26,Jammu,26,14,0, 0,0
2020-04-26,Kathua,1,0,0, 0,0
2020-04-26,Kishtwar,1,1,0, 0,0
2020-04-26,Kulgam,6,0,0, 0,0
2020-04-26,Kupwara,47,8,0, 0,0
2020-04-26,Pulwama,3,3,0, 0,0
2020-04-26,Rajouri,4,3,0, 0,0
2020-04-26,Ramban,1,0,0, 0,0
2020-04-26,Samba,4,0,0, 0,0
2020-04-26,Shopiyan,63,11,0, 0,0
2020-04-26,Srinagar,85,37,1, 0,0
2020-04-26,Udhampur,20,9,1, 0,0
2020-04-27,Anantnag,54,0,1,6,0
2020-04-27,Bandipora,127,24,1,3,1
2020-04-27,Baramulla,67,21,3,5,4
2020-04-27,Budgam,15,9,0,1,0
2020-04-27,Ganderbal,14,5,0, 0,3
2020-04-27,Jammu,26,15,0, 0,1
2020-04-27,Kathua,1,0,0, 0,0
2020-04-27,Kishtwar,1,1,0, 0,0
2020-04-27,Kulgam,6,0,0, 0,0
2020-04-27,Kupwara,48,9,0,1,1
2020-04-27,Pulwama,3,3,0, 0,0
2020-04-27,Rajouri,4,3,0, 0,0
2020-04-27,Ramban,1,0,0, 0,0
2020-04-27,Reasi,1,0,0,1,0
2020-04-27,Samba,4,0,0, 0,0
2020-04-27,Shopiyan,68,13,0,5,2
2020-04-27,Srinagar,86,50,1,1,13
2020-04-27,Udhampur,20,11,1, 0,2
2020-04-28,Anantnag,62,0,1,8,0
2020-04-28,Bandipora,127,24,1, 0,0
2020-04-28,Baramulla,72,21,3,5,0
2020-04-28,Budgam,15,9,0, 0,0
2020-04-28,Ganderbal,14,5,0, 0,0
2020-04-28,Jammu,26,18,0, 0,3
2020-04-28,Kathua,1,0,0, 0,0
2020-04-28,Kishtwar,1,1,0, 0,0
2020-04-28,Kulgam,6,0,0, 0,0
2020-04-28,Kupwara,49,9,0,1,0
2020-04-28,Pulwama,5,3,0,2,0
2020-04-28,Rajouri,4,3,0, 0,0
2020-04-28,Ramban,1,0,0, 0,0
2020-04-28,Reasi,1,0,0, 0,0
2020-04-28,Samba,4,4,0, 0,4
2020-04-28,Shopiyan,71,13,0,3,0
2020-04-28,Srinagar,86,50,2, 0,0
2020-04-28,Udhampur,20,16,1, 0,5
2020-04-29,Anantnag,71,0,1,9,0
2020-04-29,Bandipora,127,24,1, 0,0
2020-04-29,Baramulla,73,21,3,1,0
2020-04-29,Budgam,19,9,0,4,0
2020-04-29,Ganderbal,14,5,0, 0,0
2020-04-29,Jammu,26,23,0, 0,5
2020-04-29,Kathua,1,0,0, 0,0
2020-04-29,Kishtwar,1,1,0, 0,0
2020-04-29,Kulgam,7,0,0,1,0
2020-04-29,Kupwara,49,19,0, 0,10
2020-04-29,Pulwama,5,3,0, 0,0
2020-04-29,Rajouri,4,3,0, 0,0
2020-04-29,Ramban,1,0,0, 0,0
2020-04-29,Reasi,1,0,0, 0,0
2020-04-29,Samba,4,4,0, 0,0
2020-04-29,Shopiyan,71,13,0, 0,0
2020-04-29,Srinagar,87,51,2,1,1
2020-04-29,Udhampur,20,16,1, 0,0
2020-04-30,Anantnag,83,0,1,12,0
2020-04-30,Bandipora,127,24,1, 0,0
2020-04-30,Baramulla,84,21,3,11,0
2020-04-30,Budgam,20,10,0,1,1
2020-04-30,Ganderbal,14,5,0, 0,0
2020-04-30,Jammu,26,26,0, 0,3
2020-04-30,Kathua,1,0,0, 0,0
2020-04-30,Kishtwar,1,1,0, 0,0
2020-04-30,Kulgam,11,2,0,4,2
2020-04-30,Kupwara,49,19,0, 0,0
2020-04-30,Pulwama,7,3,0,2,0
2020-04-30,Rajouri,4,3,0, 0,0
2020-04-30,Ramban,1,0,0, 0,0
2020-04-30,Reasi,1,0,0, 0,0
2020-04-30,Samba,4,4,0, 0,0
2020-04-30,Shopiyan,72,13,0,1,0
2020-04-30,Srinagar,89,68,2,2,17
2020-04-30,Udhampur,20,17,1, 0,1
2020-05-01,Anantnag,95,0,1,12,0
2020-05-01,Bandipora,128,35,1,1,11
2020-05-01,Baramulla,85,26,3,1,5
2020-05-01,Budgam,21,11,0,1,1
2020-05-01,Ganderbal,14,13,0, 0,8
2020-05-01,Jammu,26,26,0, 0,0
2020-05-01,Kathua,1,0,0, 0,0
2020-05-01,Kishtwar,1,1,0, 0,0
2020-05-01,Kulgam,11,3,0, 0,1
2020-05-01,Kupwara,55,19,0,6,0
2020-05-01,Pulwama,7,3,0, 0,0
2020-05-01,Rajouri,4,3,0, 0,0
2020-05-01,Ramban,1,0,0, 0,0
2020-05-01,Reasi,1,0,0, 0,0
2020-05-01,Samba,4,4,0, 0,0
2020-05-01,Shopiyan,74,17,0,2,4
2020-05-01,Srinagar,91,69,2,2,1
2020-05-01,Udhampur,20,17,1, 0,0
2020-05-02,Anantnag,99,1,1,4,1
2020-05-02,Bandipora,128,36,1, 0,1
2020-05-02,Baramulla,88,26,3,3,0
2020-05-02,Budgam,21,11,0, 0,0
2020-05-02,Ganderbal,14,14,0, 0,1
2020-05-02,Jammu,26,26,0, 0,0
2020-05-02,Kathua,1,0,0, 0,0
2020-05-02,Kishtwar,1,1,0, 0,0
2020-05-02,Kulgam,11,3,0, 0,0
2020-05-02,Kupwara,55,21,0, 0,2
2020-05-02,Pulwama,7,3,0, 0,0
2020-05-02,Rajouri,4,3,0, 0,0
2020-05-02,Ramban,1,0,0, 0,0
2020-05-02,Reasi,1,0,0, 0,0
2020-05-02,Samba,6,4,0,2,0
2020-05-02,Shopiyan,77,19,0,3,2
2020-05-02,Srinagar,106,69,2,15,0
