date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Bagalkote,24,6,1, 0,0
2020-04-26,Ballari,13,5,0, 0,0
2020-04-26,Belagavi,52,6,1, 0,0
2020-04-26,Bengaluru Rural,6,5,0, 0,0
2020-04-26,Bengaluru Urban,129,53,5, 0,0
2020-04-26,Bidar,14,8,0, 0,0
2020-04-26,Chikkaballapura,18,11,2, 0,0
2020-04-26,Chitradurga,1,1,0, 0,0
2020-04-26,Dakshina Kannada,13,6,2, 0,0
2020-04-26,Davanagere,2,2,0, 0,0
2020-04-26,Dharwad,9,2,0, 0,0
2020-04-26,Gadag,4,0,1, 0,0
2020-04-26,Kalaburagi,38,7,4, 0,0
2020-04-26,Kodagu,1,1,0, 0,0
2020-04-26,Mandya,16,4,0, 0,0
2020-04-26,Mysuru,87,36,0, 0,0
2020-04-26,Other State,20,15,0, 0,0
2020-04-26,Tumakuru,3,1,1, 0,0
2020-04-26,Udupi,3,3,0, 0,0
2020-04-26,Uttara Kannada,11,10,0, 0,0
2020-04-26,Vijayapura,39,0,2, 0,0
2020-04-27,Bagalkote,26,6,1,2,0
2020-04-27,Ballari,13,5,0, 0,0
2020-04-27,Belagavi,52,6,1, 0,0
2020-04-27,Bengaluru Rural,6,5,0, 0,0
2020-04-27,Bengaluru Urban,130,53,5,1,0
2020-04-27,Bidar,14,8,0, 0,0
2020-04-27,Chikkaballapura,18,11,2, 0,0
2020-04-27,Chitradurga,1,1,0, 0,0
2020-04-27,Dakshina Kannada,15,6,2,2,0
2020-04-27,Davanagere,2,2,0, 0,0
2020-04-27,Dharwad,9,2,0, 0,0
2020-04-27,Gadag,4,0,1, 0,0
2020-04-27,Kalaburagi,38,7,5, 0,0
2020-04-27,Kodagu,1,1,0, 0,0
2020-04-27,Mandya,18,4,0,2,0
2020-04-27,Mysuru,87,41,0, 0,5
2020-04-27,Other State,20,15,0, 0,0
2020-04-27,Tumakuru,3,1,1, 0,0
2020-04-27,Udupi,3,3,0, 0,0
2020-04-27,Uttara Kannada,11,10,0, 0,0
2020-04-27,Vijayapura,41,6,2,2,6
2020-04-28,Bagalkote,29,6,1,3,0
2020-04-28,Ballari,13,5,0, 0,0
