date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered 
26-04-2020,Bagalkote,24,6,1,0,0
26-04-2020,Ballari,13,5,0,0,0
26-04-2020,Belagavi,52,6,1,0,0
26-04-2020,Bengaluru Rural,6,5,0,0,0
26-04-2020,Bengaluru Urban,129,53,5,0,0
26-04-2020,Bidar,14,8,0,0,0
26-04-2020,Chikkaballapura,18,11,2,0,0
26-04-2020,Chitradurga,1,1,0,0,0
26-04-2020,Dakshina Kannada,13,6,2,0,0
26-04-2020,Davanagere,2,2,0,0,0
26-04-2020,Dharwad,9,2,0,0,0
26-04-2020,Gadag,4,0,1,0,0
26-04-2020,Kalaburagi,38,7,4,0,0
26-04-2020,Kodagu,1,1,0,0,0
26-04-2020,Mandya,16,4,0,0,0
26-04-2020,Mysuru,87,36,0,0,0
26-04-2020,Other State,20,15,0,0,0
26-04-2020,Tumakuru,3,1,1,0,0
26-04-2020,Udupi,3,3,0,0,0
26-04-2020,Uttara Kannada,11,10,0,0,0
26-04-2020,Vijayapura,39,0,2,0,0
27-04-2020,Bagalkote,26,6,1,2,0
27-04-2020,Ballari,13,5,0,0,0
27-04-2020,Belagavi,52,6,1,0,0
27-04-2020,Bengaluru Rural,6,5,0,0,0
27-04-2020,Bengaluru Urban,130,53,5,1,0
27-04-2020,Bidar,14,8,0,0,0
27-04-2020,Chikkaballapura,18,11,2,0,0
27-04-2020,Chitradurga,1,1,0,0,0
27-04-2020,Dakshina Kannada,15,6,2,2,0
27-04-2020,Davanagere,2,2,0,0,0
27-04-2020,Dharwad,9,2,0,0,0
27-04-2020,Gadag,4,0,1,0,0
27-04-2020,Kalaburagi,38,7,5,0,0
27-04-2020,Kodagu,1,1,0,0,0
27-04-2020,Mandya,18,4,0,2,0
27-04-2020,Mysuru,87,41,0,0,5
27-04-2020,Other State,20,15,0,0,0
27-04-2020,Tumakuru,3,1,1,0,0
27-04-2020,Udupi,3,3,0,0,0
27-04-2020,Uttara Kannada,11,10,0,0,0
27-04-2020,Vijayapura,41,6,2,2,6
28-04-2020,Bagalkote,29,6,1,3,0
28-04-2020,Ballari,13,5,0,0,0
28-04-2020,Belagavi,52,6,1,0,0
28-04-2020,Bengaluru Rural,6,6,0,0,1
28-04-2020,Bengaluru Urban,131,58,5,1,5
28-04-2020,Bidar,14,8,0,0,0
28-04-2020,Chikkaballapura,18,11,2,0,0
28-04-2020,Chitradurga,1,1,0,0,0
28-04-2020,Dakshina Kannada,15,6,2,0,0
28-04-2020,Davanagere,2,2,0,0,0
28-04-2020,Dharwad,9,2,0,0,0
28-04-2020,Gadag,5,0,1,1,0
