date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Alappuzha,5,5,0, 0,0
2020-04-26,Ernakulam,24,21,1, 0,0
2020-04-26,Idukki,20,10,0, 0,0
2020-04-26,Kannur,111,55,1, 0,0
2020-04-26,Kasaragod,175,161,0, 0,0
2020-04-26,Kollam,14,5,0, 0,0
2020-04-26,Kottayam,14,3,0, 0,0
2020-04-26,Kozhikode,24,13,0, 0,0
2020-04-26,Malappuram,22,19,1, 0,0
2020-04-26,Palakkad,12,7,0, 0,0
2020-04-26,Pathanamthitta,17,14,0, 0,0
2020-04-26,Thiruvananthapuram,15,13,1, 0,0
2020-04-26,Thrissur,13,13,0, 0,0
2020-04-26,Wayanad,3,3,0, 0,0
2020-04-27,Alappuzha,5,5,0, 0,0
2020-04-27,Ernakulam,24,22,1, 0,1
2020-04-27,Idukki,24,10,0,4,0
2020-04-27,Kannur,112,61,1,1,6
2020-04-27,Kasaragod,175,161,0, 0,0
2020-04-27,Kollam,14,5,0, 0,0
2020-04-27,Kottayam,20,3,0,6,0
2020-04-27,Kozhikode,24,17,0, 0,4
2020-04-27,Malappuram,23,20,1,1,1
2020-04-27,Palakkad,13,7,0,1,0
2020-04-27,Pathanamthitta,17,14,0, 0,0
2020-04-27,Thiruvananthapuram,15,14,1, 0,1
2020-04-27,Thrissur,13,13,0, 0,0
2020-04-27,Wayanad,3,3,0, 0,0
2020-04-28,Alappuzha,5,5,0, 0,0
2020-04-28,Ernakulam,24,22,1, 0,0
2020-04-28,Idukki,24,10,0, 0,0
2020-04-28,Kannur,115,63,1,3,2
2020-04-28,Kasaragod,176,163,0,1,2
2020-04-28,Kollam,14,5,0, 0,0
2020-04-28,Kottayam,20,3,0, 0,0
2020-04-28,Kozhikode,24,17,0, 0,0
2020-04-28,Malappuram,23,20,1, 0,0
2020-04-28,Palakkad,13,7,0, 0,0
2020-04-28,Pathanamthitta,17,14,0, 0,0
2020-04-28,Thiruvananthapuram,15,14,1, 0,0
2020-04-28,Thrissur,13,13,0, 0,0
2020-04-28,Wayanad,3,3,0, 0,0
2020-04-29,Alappuzha,5,5,0, 0,0
2020-04-29,Ernakulam,24,22,1, 0,0
2020-04-29,Idukki,24,10,0, 0,0
2020-04-29,Kannur,115,66,1, 0,3
2020-04-29,Kasaragod,178,166,0,2,3
2020-04-29,Kollam,20,5,0,6,0
2020-04-29,Kottayam,20,3,0, 0,0
2020-04-29,Kozhikode,24,20,0, 0,3
2020-04-29,Malappuram,23,20,1, 0,0
2020-04-29,Palakkad,13,7,0, 0,0
2020-04-29,Pathanamthitta,17,15,0, 0,1
2020-04-29,Thiruvananthapuram,17,14,1,2,0
2020-04-29,Thrissur,13,13,0, 0,0
2020-04-29,Wayanad,3,3,0, 0,0
2020-04-30,Alappuzha,5,5,0, 0,0
2020-04-30,Ernakulam,24,22,1, 0,0
2020-04-30,Idukki,24,10,0, 0,0
2020-04-30,Kannur,115,68,1, 0,2
2020-04-30,Kasaragod,179,168,0,1,2
2020-04-30,Kollam,20,8,0, 0,3
2020-04-30,Kottayam,20,3,0, 0,0
2020-04-30,Kozhikode,24,21,0, 0,1
2020-04-30,Malappuram,24,21,1,1,1
2020-04-30,Palakkad,13,11,0, 0,4
2020-04-30,Pathanamthitta,17,16,0, 0,1
2020-04-30,Thiruvananthapuram,17,14,1, 0,0
2020-04-30,Thrissur,13,13,0, 0,0
2020-04-30,Wayanad,3,3,0, 0,0
2020-05-01,Alappuzha,5,5,0, 0,0
2020-05-01,Ernakulam,24,23,1, 0,1
2020-05-01,Idukki,24,10,0, 0,0
2020-05-01,Kannur,115,72,1, 0,4
2020-05-01,Kasaragod,179,172,0, 0,4
2020-05-01,Kollam,20,8,0, 0,0
2020-05-01,Kottayam,20,3,0, 0,0
2020-05-01,Kozhikode,24,21,0, 0,0
2020-05-01,Malappuram,24,21,1, 0,0
2020-05-01,Palakkad,13,11,0, 0,0
2020-05-01,Pathanamthitta,17,16,0, 0,0
2020-05-01,Thiruvananthapuram,17,14,1, 0,0
2020-05-01,Thrissur,13,13,0, 0,0
2020-05-01,Wayanad,3,3,0, 0,0
2020-05-02,Alappuzha,5,5,0, 0,0
2020-05-02,Ernakulam,24,23,1, 0,0
2020-05-02,Idukki,24,12,0, 0,2
2020-05-02,Kannur,116,78,1,1,6
2020-05-02,Kasaragod,179,172,0, 0,0
