date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Kargil,5,4,0, 0,0
2020-04-26,Leh,15,12,0, 0,0
2020-04-27,Kargil,5,4,0, 0,0
2020-04-27,Leh,15,12,0, 0,0
2020-04-28,Kargil,7,4,0,2,0
2020-04-28,Leh,15,12,0, 0,0
2020-04-29,Kargil,7,4,0, 0,0
2020-04-29,Leh,15,13,0, 0,1
2020-04-30,Kargil,7,4,0, 0,0
2020-04-30,Leh,15,13,0, 0,0
2020-05-01,Kargil,7,4,0, 0,0
2020-05-01,Leh,15,13,0, 0,0
2020-05-02,Kargil,8,4,0,1,0
2020-05-02,Leh,15,13,0, 0,0
2020-05-03,Kargil,9,4,0,1,0
2020-05-03,Leh,33,13,0,18,0
2020-05-04,Kargil,9,4,0, 0,0
2020-05-04,Leh,33,13,0, 0,0
2020-05-05,Kargil,9,4,0, 0,0
2020-05-05,Leh,33,13,0, 0,0
2020-05-06,Kargil,9,4,0, 0,0
2020-05-06,Leh,33,13,0, 0,0
2020-05-07,Kargil,9,4,0, 0,0
2020-05-07,Leh,33,13,0, 0,0
2020-05-08,Kargil,9,4,0, 0,0
2020-05-08,Leh,33,14,0, 0,1
2020-05-09,Kargil,9,4,0, 0,0
2020-05-09,Leh,33,14,0, 0,0
2020-05-10,Kargil,9,7,0, 0,3
2020-05-10,Leh,33,14,0, 0,0
2020-05-11,Kargil,9,7,0, 0,0
2020-05-11,Leh,33,15,0, 0,1
2020-05-12,Kargil,9,7,0, 0,0
2020-05-12,Leh,33,15,0, 0,0
2020-05-13,Kargil,9,7,0, 0,0
2020-05-13,Leh,34,15,0,1,0
2020-05-14,Kargil,9,7,0, 0,0
2020-05-14,Leh,34,15,0, 0,0
2020-05-15,Kargil,9,9,0, 0,2
2020-05-15,Leh,34,15,0, 0,0
2020-05-16,Kargil,9,9,0, 0,0
2020-05-16,Leh,34,15,0, 0,0
2020-05-17,Kargil,9,9,0, 0,0
2020-05-17,Leh,34,15,0, 0,0
2020-05-18,Kargil,9,9,0, 0,0
2020-05-18,Leh,34,34,0, 0,19
2020-05-19,Kargil,9,9,0, 0,0
2020-05-19,Leh,34,34,0, 0,0
2020-05-20,Kargil,9,9,0, 0,0
2020-05-20,Leh,35,34,0,1,0
2020-05-21,Kargil,9,9,0, 0,0
2020-05-21,Leh,35,34,0, 0,0
2020-05-22,Kargil,11,9,0,2,0
2020-05-22,Leh,35,34,0, 0,0
2020-05-23,Kargil,14,9,0,3,0
2020-05-23,Leh,35,34,0, 0,0
2020-05-24,Kargil,17,9,0,3,0
2020-05-24,Leh,35,34,0, 0,0
2020-05-25,Kargil,18,9,0,1,0
2020-05-25,Leh,35,34,0, 0,0
2020-05-26,Kargil,18,9,0, 0,0
2020-05-26,Leh,35,34,0, 0,0
2020-05-27,Kargil,18,9,0, 0,0
2020-05-27,Leh,36,34,0,1,0
2020-05-28,Kargil,35,9,0,17,0
2020-05-28,Leh,39,34,0,3,0
2020-05-29,Kargil,35,9,0, 0,0
2020-05-29,Leh,39,34,0, 0,0
2020-05-30,Kargil,36,9,0,1,0
2020-05-30,Leh,41,34,0,2,0
2020-05-31,Kargil,36,13,0, 0,4
2020-05-31,Leh,41,34,0, 0,0
2020-06-01,Kargil,36,13,0, 0,0
2020-06-01,Leh,41,34,0, 0,0
2020-06-02,Kargil,39,13,0,3,0
2020-06-02,Leh,42,34,1,1,0
2020-06-03,Kargil,46,13,0,7,0
2020-06-03,Leh,44,35,1,2,1
2020-06-04,Kargil,49,13,0,3,0
2020-06-04,Leh,45,35,1,1,0
2020-06-05,Kargil,51,13,0,2,0
2020-06-05,Leh,46,35,1,1,0
2020-06-06,Kargil,53,13,0,2,0
2020-06-06,Leh,46,37,1, 0,2
2020-06-07,Kargil,54,13,0,1,0
2020-06-07,Leh,49,37,1,3,0
2020-06-08,Kargil,54,13,0, 0,0
2020-06-08,Leh,49,37,1, 0,0
2020-06-09,Kargil,54,13,0, 0,0
2020-06-09,Leh,54,37,1,5,0
2020-06-10,Kargil,54,13,0, 0,0
2020-06-10,Leh,61,37,1,7,0
2020-06-11,Kargil,54,17,0, 0,4
2020-06-11,Leh,81,37,1,20,0
2020-06-12,Kargil,123,21,0,69,4
2020-06-12,Leh,116,37,1,35,0
2020-06-13,Kargil,321,21,0,198,0
2020-06-13,Leh,116,47,1, 0,10
2020-06-14,Kargil,425,21,0,104,0
2020-06-14,Leh,124,59,1,8,12
2020-06-15,Kargil,428,22,0,3,1
2020-06-15,Leh,127,60,1,3,1
2020-06-16,Kargil,478,25,0,50,3
2020-06-16,Leh,171,60,1,44,0
2020-06-17,Kargil,505,26,0,27,1
2020-06-17,Leh,182,66,1,11,6
2020-06-18,Kargil,505,29,0, 0,3
2020-06-18,Leh,182,66,1, 0,0
2020-06-19,Kargil,555,29,0,50,0
2020-06-19,Leh,189,66,1,7,0
2020-06-20,Kargil,623,51,0,68,22
2020-06-20,Leh,213,66,1,24,0
2020-06-21,Kargil,623,68,0, 0,17
2020-06-21,Leh,214,66,1,1,0
2020-06-22,Kargil,625,68,0,2,0
2020-06-22,Leh,222,68,1,8,2
2020-06-23,Kargil,690,68,0,65,0
2020-06-23,Leh,242,80,1,20,12
2020-06-24,Kargil,690,187,0, 0,119
2020-06-24,Leh,242,87,1, 0,7
2020-06-25,Kargil,690,255,0, 0,68
2020-06-25,Leh,242,103,1, 0,16
2020-06-26,Kargil,692,330,0,2,75
2020-06-26,Leh,254,137,1,3,34
2020-06-27,Kargil,701,400,0,9,70
2020-06-27,Leh,259,154,1,5,17
2020-06-28,Kargil,701,432,0, 0,32
2020-06-28,Leh,262,154,1,3,0
2020-06-29,Kargil,702,453,0,1,21
2020-06-29,Leh,262,163,1, 0,9
2020-06-30,Kargil,702,485,0, 0,32
