date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Ahmednagar,36,22,2, 0,0
2020-04-26,Akola,29,7,1, 0,0
2020-04-26,Amravati,20,4,1, 0,0
2020-04-26,Aurangabad,50,22,5, 0,0
2020-04-26,Beed,1,1,0, 0,0
2020-04-26,Buldhana,21,14,1, 0,0
2020-04-26,Chandrapur,2,2,0, 0,0
2020-04-26,Dhule,25,0,3, 0,0
2020-04-26,Gondia,1,1,0, 0,0
2020-04-26,Hingoli,8,1,0, 0,0
2020-04-26,Jalgaon,19,1,4, 0,0
2020-04-26,Jalna,2,0,0, 0,0
2020-04-26,Kolhapur,10,4,0, 0,0
2020-04-26,Latur,9,8,1, 0,0
2020-04-26,Mumbai,5407,641,204, 0,0
2020-04-26,Nagpur,107,20,1, 0,0
2020-04-26,Nanded,1,0,0, 0,0
2020-04-26,Nandurbar,11,0,1, 0,0
2020-04-26,Nashik,131,2,12, 0,0
2020-04-26,Osmanabad,3,3,0, 0,0
2020-04-26,Other State,25,0,2, 0,0
2020-04-26,Palghar,141,35,4, 0,0
2020-04-26,Parbhani,1,0,0, 0,0
2020-04-26,Pune,1052,210,76, 0,0
2020-04-26,Raigad,57,20,1, 0,0
2020-04-26,Ratnagiri,8,5,1, 0,0
2020-04-26,Sangli,27,25,1, 0,0
2020-04-26,Satara,29,3,2, 0,0
2020-04-26,Sindhudurg,1,1,0, 0,0
2020-04-26,Solapur,47,0,5, 0,0
2020-04-26,Thane,738,125,14, 0,0
2020-04-26,Washim,1,1,0, 0,0
2020-04-26,Yavatmal,48,10,0, 0,0
2020-04-27,Ahmednagar,42,23,2,6,1
2020-04-27,Akola,29,8,1, 0,1
2020-04-27,Amravati,22,4,7,2,0
2020-04-27,Aurangabad,52,22,6,2,0
2020-04-27,Beed,1,1,0, 0,0
2020-04-27,Bhandara,1,0,0,1,0
2020-04-27,Buldhana,21,15,1, 0,1
2020-04-27,Chandrapur,2,2,0, 0,0
2020-04-27,Dhule,25,0,3, 0,0
2020-04-27,Gondia,1,1,0, 0,0
2020-04-27,Hingoli,8,1,0, 0,0
2020-04-27,Jalgaon,20,1,5,1,0
2020-04-27,Jalna,2,0,0, 0,0
2020-04-27,Kolhapur,11,4,0,1,0
2020-04-27,Latur,10,8,1,1,0
2020-04-27,Mumbai,5776,711,219,369,70
2020-04-27,Nagpur,127,20,1,20,0
2020-04-27,Nanded,3,0,0,2,0
2020-04-27,Nandurbar,11,0,1, 0,0
2020-04-27,Nashik,146,5,12,15,3
2020-04-27,Osmanabad,3,3,0, 0,0
2020-04-27,Other State,25,0,2, 0,0
2020-04-27,Palghar,146,36,4,5,1
2020-04-27,Parbhani,1,0,0, 0,0
2020-04-27,Pune,1099,221,80,47,11
2020-04-27,Raigad,61,21,1,4,1
2020-04-27,Ratnagiri,8,5,1, 0,0
2020-04-27,Sangli,27,25,1, 0,0
2020-04-27,Satara,29,4,2, 0,1
2020-04-27,Sindhudurg,1,1,0, 0,0
2020-04-27,Solapur,65,0,5,18,0
2020-04-27,Thane,752,129,14,14,4
2020-04-27,Washim,1,1,0, 0,0
2020-04-27,Yavatmal,62,10,0,14,0
2020-04-28,Ahmednagar,42,23,2, 0,0
2020-04-28,Akola,34,8,1,5,0
2020-04-28,Amravati,28,4,7,6,0
2020-04-28,Aurangabad,90,22,6,38,0
2020-04-28,Beed,1,1,0, 0,0
2020-04-28,Bhandara,1,0,0, 0,0
2020-04-28,Buldhana,21,17,1, 0,2
2020-04-28,Chandrapur,2,2,0, 0,0
2020-04-28,Dhule,25,0,3, 0,0
2020-04-28,Gondia,1,1,0, 0,0
2020-04-28,Hingoli,15,1,0,7,0
2020-04-28,Jalgaon,40,1,9,20,0
2020-04-28,Jalna,2,0,0, 0,0
2020-04-28,Kolhapur,12,4,0,1,0
2020-04-28,Latur,12,8,1,2,0
2020-04-28,Mumbai,6169,798,244,393,87
2020-04-28,Nagpur,135,20,1,8,0
2020-04-28,Nanded,3,0,0, 0,0
2020-04-28,Nandurbar,11,0,1, 0,0
2020-04-28,Nashik,195,6,12,49,1
2020-04-28,Osmanabad,3,3,0, 0,0
2020-04-28,Other State,25,0,2, 0,0
2020-04-28,Palghar,164,36,4,18,0
2020-04-28,Parbhani,1,0,0, 0,0
2020-04-28,Pune,1174,233,82,75,12
2020-04-28,Raigad,66,21,1,5,0
2020-04-28,Ratnagiri,8,5,1, 0,0
2020-04-28,Sangli,27,25,1, 0,0
2020-04-28,Satara,32,5,2,3,1
2020-04-28,Sindhudurg,1,1,0, 0,0
2020-04-28,Solapur,82,0,5,17,0
2020-04-28,Thane,824,132,14,72,3
2020-04-28,Washim,1,1,0, 0,0
2020-04-28,Yavatmal,71,10,0,9,0
2020-04-29,Ahmednagar,42,23,2, 0,0
2020-04-29,Akola,39,8,1,5,0
2020-04-29,Amravati,28,4,7, 0,0
2020-04-29,Aurangabad,105,22,7,15,0
2020-04-29,Beed,1,1,0, 0,0
2020-04-29,Bhandara,1,0,0, 0,0
2020-04-29,Buldhana,21,17,1, 0,0
2020-04-29,Chandrapur,2,2,0, 0,0
2020-04-29,Dhule,25,0,3, 0,0
2020-04-29,Gondia,1,1,0, 0,0
2020-04-29,Hingoli,15,1,0, 0,0
2020-04-29,Jalgaon,40,1,9, 0,0
2020-04-29,Jalna,2,0,0, 0,0
2020-04-29,Kolhapur,12,4,0, 0,0
2020-04-29,Latur,12,8,1, 0,0
2020-04-29,Mumbai,6644,936,270,475,138
2020-04-29,Nagpur,138,35,1,3,15
2020-04-29,Nanded,3,0,0, 0,0
2020-04-29,Nandurbar,11,0,1, 0,0
2020-04-29,Nashik,195,6,12, 0,0
2020-04-29,Osmanabad,3,3,0, 0,0
2020-04-29,Other State,25,0,2, 0,0
2020-04-29,Palghar,169,40,4,5,4
2020-04-29,Parbhani,1,1,0, 0,1
2020-04-29,Pune,1192,244,85,18,11
2020-04-29,Raigad,69,23,2,3,2
2020-04-29,Ratnagiri,8,5,1, 0,0
2020-04-29,Sangli,29,25,1,2,0
2020-04-29,Satara,32,8,2, 0,3
2020-04-29,Sindhudurg,2,1,0,1,0
2020-04-29,Solapur,85,0,6,3,0
2020-04-29,Thane,882,163,14,58,31
2020-04-29,Washim,2,1,0,1,0
2020-04-29,Yavatmal,79,10,0,8,0
2020-04-30,Ahmednagar,42,23,2, 0,0
2020-04-30,Akola,39,8,1, 0,0
2020-04-30,Amravati,28,4,7, 0,0
2020-04-30,Aurangabad,131,22,7,26,0
2020-04-30,Beed,1,1,0, 0,0
2020-04-30,Bhandara,1,0,0, 0,0
2020-04-30,Buldhana,21,17,1, 0,0
2020-04-30,Chandrapur,2,2,0, 0,0
2020-04-30,Dhule,25,0,3, 0,0
2020-04-30,Gondia,1,1,0, 0,0
2020-04-30,Hingoli,15,1,0, 0,0
2020-04-30,Jalgaon,40,1,9, 0,0
2020-04-30,Jalna,2,1,0, 0,1
2020-04-30,Kolhapur,14,4,0,2,0
2020-04-30,Latur,12,8,1, 0,0
2020-04-30,Mumbai,7061,1092,290,417,156
2020-04-30,Nagpur,139,37,2,1,2
2020-04-30,Nanded,3,0,0, 0,0
2020-04-30,Nandurbar,11,0,1, 0,0
2020-04-30,Nashik,197,6,12,2,0
2020-04-30,Osmanabad,3,3,0, 0,0
2020-04-30,Other State,26,0,2,1,0
2020-04-30,Palghar,169,46,4, 0,6
2020-04-30,Parbhani,2,1,0,1,0
2020-04-30,Pune,1248,248,88,56,4
2020-04-30,Raigad,71,24,3,2,1
2020-04-30,Ratnagiri,8,5,1, 0,0
2020-04-30,Sangli,29,25,1, 0,0
2020-04-30,Satara,32,9,2, 0,1
2020-04-30,Sindhudurg,2,1,0, 0,0
2020-04-30,Solapur,99,0,6,14,0
2020-04-30,Thane,943,172,16,61,9
2020-04-30,Washim,2,1,0, 0,0
2020-04-30,Yavatmal,79,10,0, 0,0
2020-05-01,Ahmednagar,42,23,2, 0,0
2020-05-01,Akola,39,8,1, 0,0
2020-05-01,Amravati,28,4,7, 0,0
2020-05-01,Aurangabad,161,22,8,30,0
2020-05-01,Beed,1,1,0, 0,0
2020-05-01,Bhandara,1,0,0, 0,0
2020-05-01,Buldhana,21,19,1, 0,2
2020-05-01,Chandrapur,3,2,0,1,0
2020-05-01,Dhule,26,0,3,1,0
2020-05-01,Gondia,1,1,0, 0,0
2020-05-01,Hingoli,22,1,0,7,0
2020-05-01,Jalgaon,44,1,12,4,0
2020-05-01,Jalna,3,1,0,1,0
2020-05-01,Kolhapur,15,5,0,1,1
2020-05-01,Latur,12,8,1, 0,0
2020-05-01,Mumbai,7812,1134,296,751,42
2020-05-01,Nagpur,139,37,2, 0,0
2020-05-01,Nanded,4,0,1,1,0
2020-05-01,Nandurbar,11,0,1, 0,0
2020-05-01,Nashik,242,6,12,45,0
