date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,East Khasi Hills,12,0,1, 0,0
2020-04-27,East Khasi Hills,12,0,1, 0,0
2020-04-28,East Khasi Hills,12,0,1, 0,0
2020-04-29,East Khasi Hills,12,0,1, 0,0
2020-04-30,East Khasi Hills,12,0,1, 0,0
2020-05-01,East Khasi Hills,12,10,1, 0,10
2020-05-02,East Khasi Hills,12,10,1, 0,0
2020-05-03,East Khasi Hills,12,10,1, 0,0
2020-05-04,East Khasi Hills,12,10,1, 0,0
2020-05-05,East Khasi Hills,12,10,1, 0,0
2020-05-06,East Khasi Hills,12,10,1, 0,0
2020-05-07,East Khasi Hills,12,10,1, 0,0
2020-05-08,East Khasi Hills,12,10,1, 0,0
2020-05-09,East Khasi Hills,13,10,1,1,0
2020-05-10,East Khasi Hills,13,10,1, 0,0
2020-05-11,East Khasi Hills,13,10,1, 0,0
2020-05-12,East Khasi Hills,13,10,1, 0,0
2020-05-13,East Khasi Hills,13,11,1, 0,1
2020-05-14,East Khasi Hills,13,11,1, 0,0
2020-05-15,East Khasi Hills,13,11,1, 0,0
2020-05-16,East Khasi Hills,13,11,1, 0,0
2020-05-17,East Khasi Hills,13,11,1, 0,0
2020-05-18,East Khasi Hills,13,12,1, 0,1
2020-05-19,East Khasi Hills,13,12,1, 0,0
2020-05-20,East Khasi Hills,13,12,1, 0,0
2020-05-20,West Garo Hills,1,0,0,1,0
2020-05-21,East Khasi Hills,13,12,1, 0,0
2020-05-21,West Garo Hills,1,0,0, 0,0
2020-05-22,East Khasi Hills,13,12,1, 0,0
2020-05-22,West Garo Hills,1,0,0, 0,0
2020-05-23,East Khasi Hills,13,12,1, 0,0
2020-05-23,West Garo Hills,1,0,0, 0,0
2020-05-24,East Khasi Hills,13,12,1, 0,0
2020-05-24,West Garo Hills,1,0,0, 0,0
2020-05-25,East Khasi Hills,13,12,1, 0,0
2020-05-25,North Garo Hills,1,0,0,1,0
2020-05-25,West Garo Hills,1,0,0, 0,0
2020-05-26,East Khasi Hills,18,12,1,5,0
2020-05-26,North Garo Hills,1,0,0, 0,0
2020-05-26,West Garo Hills,1,0,0, 0,0
2020-05-27,East Khasi Hills,18,12,1, 0,0
2020-05-27,North Garo Hills,1,0,0, 0,0
2020-05-27,West Garo Hills,1,0,0, 0,0
2020-05-28,East Khasi Hills,18,12,1, 0,0
2020-05-28,North Garo Hills,1,0,0, 0,0
2020-05-28,West Garo Hills,2,0,0,1,0
2020-05-29,East Khasi Hills,19,12,1,1,0
2020-05-29,North Garo Hills,1,0,0, 0,0
2020-05-29,South West Garo Hills,3,0,0,3,0
2020-05-29,West Garo Hills,3,0,0,1,0
2020-05-29,West Khasi Hills,1,0,0,1,0
2020-05-30,East Khasi Hills,19,12,1, 0,0
2020-05-30,North Garo Hills,1,0,0, 0,0
2020-05-30,South West Garo Hills,3,0,0, 0,0
2020-05-30,West Garo Hills,3,0,0, 0,0
2020-05-30,West Khasi Hills,1,0,0, 0,0
2020-05-31,East Khasi Hills,19,12,1, 0,0
2020-05-31,North Garo Hills,1,0,0, 0,0
2020-05-31,South West Garo Hills,3,0,0, 0,0
2020-05-31,West Garo Hills,3,0,0, 0,0
2020-05-31,West Khasi Hills,1,0,0, 0,0
2020-06-01,East Khasi Hills,19,12,1, 0,0
2020-06-01,North Garo Hills,1,0,0, 0,0
2020-06-01,South West Garo Hills,4,0,0,1,0
2020-06-01,West Garo Hills,3,0,0, 0,0
2020-06-01,West Khasi Hills,1,0,0, 0,0
2020-06-02,East Khasi Hills,19,12,1, 0,0
2020-06-02,North Garo Hills,1,0,0, 0,0
2020-06-02,South West Garo Hills,4,0,0, 0,0
2020-06-02,West Garo Hills,5,0,0,2,0
2020-06-02,West Khasi Hills,1,0,0, 0,0
2020-06-03,East Khasi Hills,21,13,1,2,1
2020-06-03,North Garo Hills,1,0,0, 0,0
2020-06-03,South West Garo Hills,4,0,0, 0,0
2020-06-03,West Garo Hills,5,0,0, 0,0
2020-06-03,West Jaintia Hills,1,0,0,1,0
2020-06-03,West Khasi Hills,1,0,0, 0,0
2020-06-04,East Khasi Hills,21,13,1, 0,0
2020-06-04,North Garo Hills,1,0,0, 0,0
2020-06-04,South West Garo Hills,4,0,0, 0,0
2020-06-04,West Garo Hills,5,0,0, 0,0
2020-06-04,West Jaintia Hills,1,0,0, 0,0
2020-06-04,West Khasi Hills,1,0,0, 0,0
2020-06-05,East Khasi Hills,21,13,1, 0,0
2020-06-05,North Garo Hills,1,0,0, 0,0
2020-06-05,South West Garo Hills,4,0,0, 0,0
2020-06-05,West Garo Hills,5,0,0, 0,0
2020-06-05,West Jaintia Hills,1,0,0, 0,0
2020-06-05,West Khasi Hills,1,0,0, 0,0
2020-06-06,East Khasi Hills,21,13,1, 0,0
2020-06-06,North Garo Hills,1,0,0, 0,0
2020-06-06,South West Garo Hills,4,0,0, 0,0
2020-06-06,West Garo Hills,5,0,0, 0,0
2020-06-06,West Jaintia Hills,1,0,0, 0,0
2020-06-06,West Khasi Hills,1,0,0, 0,0
2020-06-07,East Khasi Hills,24,13,1,3,0
2020-06-07,North Garo Hills,1,0,0, 0,0
2020-06-07,South West Garo Hills,4,0,0, 0,0
2020-06-07,West Garo Hills,5,0,0, 0,0
2020-06-07,West Jaintia Hills,1,0,0, 0,0
2020-06-07,West Khasi Hills,1,0,0, 0,0
