date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Imphal East,1,1,0, 0,0
2020-04-26,Imphal West,1,1,0, 0,0
2020-04-27,Imphal East,1,1,0, 0,0
2020-04-27,Imphal West,1,1,0, 0,0
2020-04-28,Imphal East,1,1,0, 0,0
2020-04-28,Imphal West,1,1,0, 0,0
2020-04-29,Imphal East,1,1,0, 0,0
2020-04-29,Imphal West,1,1,0, 0,0
2020-04-30,Imphal East,1,1,0, 0,0
2020-04-30,Imphal West,1,1,0, 0,0
2020-05-01,Imphal East,1,1,0, 0,0
2020-05-01,Imphal West,1,1,0, 0,0
2020-05-02,Imphal East,1,1,0, 0,0
2020-05-02,Imphal West,1,1,0, 0,0
2020-05-03,Imphal East,1,1,0, 0,0
2020-05-03,Imphal West,1,1,0, 0,0
2020-05-04,Imphal East,1,1,0, 0,0
2020-05-04,Imphal West,1,1,0, 0,0
2020-05-05,Imphal East,1,1,0, 0,0
2020-05-05,Imphal West,1,1,0, 0,0
2020-05-06,Imphal East,1,1,0, 0,0
2020-05-06,Imphal West,1,1,0, 0,0
2020-05-07,Imphal East,1,1,0, 0,0
2020-05-07,Imphal West,1,1,0, 0,0
2020-05-08,Imphal East,1,1,0, 0,0
2020-05-08,Imphal West,1,1,0, 0,0
2020-05-09,Imphal East,1,1,0, 0,0
2020-05-09,Imphal West,1,1,0, 0,0
2020-05-10,Imphal East,1,1,0, 0,0
2020-05-10,Imphal West,1,1,0, 0,0
2020-05-11,Imphal East,1,1,0, 0,0
2020-05-11,Imphal West,1,1,0, 0,0
2020-05-12,Imphal East,1,1,0, 0,0
2020-05-12,Imphal West,1,1,0, 0,0
2020-05-13,Imphal East,1,1,0, 0,0
2020-05-13,Imphal West,1,1,0, 0,0
2020-05-14,Imphal East,2,1,0,1,0
2020-05-14,Imphal West,1,1,0, 0,0
2020-05-15,Imphal East,2,1,0, 0,0
2020-05-15,Imphal West,1,1,0, 0,0
2020-05-16,Churachandpur,1,0,0,1,0
2020-05-16,Imphal East,3,1,0,1,0
2020-05-16,Imphal West,3,1,0,2,0
2020-05-17,Churachandpur,1,0,0, 0,0
2020-05-17,Imphal East,3,1,0, 0,0
2020-05-17,Imphal West,3,1,0, 0,0
2020-05-18,Churachandpur,1,0,0, 0,0
2020-05-18,Imphal East,3,1,0, 0,0
2020-05-18,Imphal West,3,1,0, 0,0
2020-05-19,Churachandpur,1,0,0, 0,0
2020-05-19,Imphal East,3,1,0, 0,0
2020-05-19,Imphal West,5,1,0,2,0
2020-05-20,Churachandpur,16,0,0,15,0
2020-05-20,Imphal East,3,1,0, 0,0
2020-05-20,Imphal West,6,1,0,1,0
2020-05-21,Churachandpur,16,0,0, 0,0
2020-05-21,Imphal East,3,1,0, 0,0
2020-05-21,Imphal West,6,1,0, 0,0
2020-05-22,Churachandpur,16,0,0, 0,0
2020-05-22,Imphal East,3,1,0, 0,0
2020-05-22,Imphal West,7,1,0,1,0
2020-05-23,Churachandpur,16,0,0, 0,0
2020-05-23,Imphal East,3,1,0, 0,0
2020-05-23,Imphal West,7,1,0, 0,0
2020-05-23,Unknown,3,0,0,3,0
2020-05-24,Churachandpur,16,0,0, 0,0
2020-05-24,Imphal East,3,1,0, 0,0
2020-05-24,Imphal West,7,1,0, 0,0
2020-05-24,Unknown,6,2,0,3,2
2020-05-25,Churachandpur,17,0,0,1,0
2020-05-25,Imphal East,3,1,0, 0,0
2020-05-25,Imphal West,7,1,0, 0,0
2020-05-25,Noney,1,0,0,1,0
2020-05-25,Unknown,8,2,0,2,0
2020-05-26,Churachandpur,17,0,0, 0,0
2020-05-26,Imphal East,3,1,0, 0,0
2020-05-26,Imphal West,10,1,0,3,0
2020-05-26,Noney,1,0,0, 0,0
2020-05-26,Unknown,8,2,0, 0,0
2020-05-27,Churachandpur,17,0,0, 0,0
2020-05-27,Imphal East,3,1,0, 0,0
2020-05-27,Imphal West,10,1,0, 0,0
2020-05-27,Noney,1,0,0, 0,0
2020-05-27,Unknown,13,2,0,5,0
2020-05-28,Churachandpur,17,0,0, 0,0
2020-05-28,Imphal East,3,1,0, 0,0
2020-05-28,Imphal West,10,1,0, 0,0
2020-05-28,Noney,1,0,0, 0,0
2020-05-28,Unknown,24,2,0,11,0
2020-05-29,Churachandpur,17,0,0, 0,0
2020-05-29,Imphal East,3,1,0, 0,0
2020-05-29,Imphal West,13,1,0,3,0
2020-05-29,Kamjong,0,2,0, 0,2
2020-05-29,Noney,1,0,0, 0,0
2020-05-29,Unknown,25,2,0,1,0
2020-05-30,Churachandpur,17,0,0, 0,0
2020-05-30,Imphal East,3,1,0, 0,0
2020-05-30,Imphal West,14,1,0,1,0
2020-05-30,Kamjong,0,2,0, 0,0
2020-05-30,Noney,1,0,0, 0,0
2020-05-30,Unknown,25,2,0, 0,0
2020-05-31,Chandel,1,0,0,1,0
2020-05-31,Churachandpur,18,2,0,1,2
2020-05-31,Imphal East,6,1,0,3,0
2020-05-31,Imphal West,15,1,0,1,0
2020-05-31,Kamjong,0,2,0, 0,0
2020-05-31,Noney,3,0,0,2,0
2020-05-31,Thoubal,0,2,0, 0,2
2020-05-31,Ukhrul,3,0,0,3,0
2020-05-31,Unknown,25,3,0, 0,1
2020-06-01,Bishnupur,2,0,0,2,0
2020-06-01,Chandel,1,0,0, 0,0
2020-06-01,Churachandpur,18,2,0, 0,0
2020-06-01,Imphal East,6,1,0, 0,0
2020-06-01,Imphal West,16,1,0,1,0
2020-06-01,Kamjong,1,2,0,1,0
2020-06-01,Noney,3,0,0, 0,0
2020-06-01,Senapati,2,0,0,2,0
2020-06-01,Thoubal,3,2,0,3,0
2020-06-01,Ukhrul,3,0,0, 0,0
2020-06-01,Unknown,28,3,0,3,0
2020-06-02,Bishnupur,2,0,0, 0,0
2020-06-02,Chandel,1,0,0, 0,0
2020-06-02,Churachandpur,18,2,0, 0,0
2020-06-02,Imphal East,10,1,0,4,0
2020-06-02,Imphal West,18,1,0,2,0
2020-06-02,Kamjong,1,2,0, 0,0
2020-06-02,Noney,3,0,0, 0,0
2020-06-02,Senapati,2,0,0, 0,0
2020-06-02,Thoubal,3,2,0, 0,0
2020-06-02,Ukhrul,3,0,0, 0,0
2020-06-02,Unknown,28,6,0, 0,3
2020-06-03,Bishnupur,3,0,0,1,0
2020-06-03,Chandel,1,0,0, 0,0
2020-06-03,Churachandpur,19,3,0,1,1
2020-06-03,Imphal East,10,12,0, 0,11
2020-06-03,Imphal West,18,1,0, 0,0
2020-06-03,Kakching,2,0,0,2,0
2020-06-03,Kamjong,2,2,0,1,0
2020-06-03,Noney,3,0,0, 0,0
2020-06-03,Senapati,5,0,0,3,0
2020-06-03,Tamenglong,4,0,0,4,0
2020-06-03,Tengnoupal,4,0,0,4,0
2020-06-03,Thoubal,4,2,0,1,0
2020-06-03,Ukhrul,5,0,0,2,0
2020-06-03,Unknown,28,18,0, 0,12
2020-06-04,Bishnupur,4,0,0,1,0
2020-06-04,Chandel,2,0,0,1,0
2020-06-04,Churachandpur,21,3,0,2,0
2020-06-04,Imphal East,10,12,0, 0,0
2020-06-04,Imphal West,18,1,0, 0,0
2020-06-04,Kakching,2,0,0, 0,0
2020-06-04,Kamjong,2,2,0, 0,0
2020-06-04,Kangpokpi,5,0,0,5,0
2020-06-04,Noney,3,0,0, 0,0
2020-06-04,Senapati,5,0,0, 0,0
2020-06-04,Tamenglong,5,0,0,1,0
2020-06-04,Tengnoupal,7,0,0,3,0
2020-06-04,Thoubal,4,2,0, 0,0
2020-06-04,Ukhrul,5,0,0, 0,0
2020-06-04,Unknown,31,18,0,3,0
2020-06-05,Bishnupur,4,0,0, 0,0
2020-06-05,Chandel,2,0,0, 0,0
2020-06-05,Churachandpur,21,3,0, 0,0
2020-06-05,Imphal East,10,12,0, 0,0
2020-06-05,Imphal West,26,1,0,8,0
2020-06-05,Kakching,2,0,0, 0,0
2020-06-05,Kamjong,2,2,0, 0,0
2020-06-05,Kangpokpi,5,0,0, 0,0
2020-06-05,Noney,3,0,0, 0,0
2020-06-05,Senapati,5,0,0, 0,0
2020-06-05,Tamenglong,5,0,0, 0,0
2020-06-05,Tengnoupal,7,0,0, 0,0
2020-06-05,Thoubal,4,2,0, 0,0
2020-06-05,Ukhrul,5,0,0, 0,0
2020-06-05,Unknown,31,18,0, 0,0
2020-06-06,Bishnupur,4,1,0, 0,1
2020-06-06,Chandel,2,0,0, 0,0
2020-06-06,Churachandpur,29,3,0,8,0
2020-06-06,Imphal East,10,12,0, 0,0
2020-06-06,Imphal West,26,5,0, 0,4
2020-06-06,Kakching,2,0,0, 0,0
2020-06-06,Kamjong,2,2,0, 0,0
2020-06-06,Kangpokpi,19,0,0,14,0
2020-06-06,Noney,3,1,0, 0,1
2020-06-06,Pherzawl,3,0,0,3,0
2020-06-06,Senapati,5,0,0, 0,0
2020-06-06,Tamenglong,5,1,0, 0,1
2020-06-06,Tengnoupal,7,0,0, 0,0
2020-06-06,Thoubal,4,4,0, 0,2
2020-06-06,Ukhrul,5,2,0, 0,2
2020-06-06,Unknown,31,21,0, 0,3
2020-06-07,Bishnupur,4,1,0, 0,0
2020-06-07,Chandel,2,0,0, 0,0
2020-06-07,Churachandpur,29,3,0, 0,0
2020-06-07,Imphal East,10,12,0, 0,0
2020-06-07,Imphal West,27,5,0,1,0
2020-06-07,Kakching,2,0,0, 0,0
2020-06-07,Kamjong,2,2,0, 0,0
2020-06-07,Kangpokpi,22,0,0,3,0
2020-06-07,Noney,3,1,0, 0,0
2020-06-07,Pherzawl,3,0,0, 0,0
2020-06-07,Senapati,5,0,0, 0,0
2020-06-07,Tamenglong,5,1,0, 0,0
2020-06-07,Tengnoupal,7,0,0, 0,0
2020-06-07,Thoubal,10,4,0,6,0
2020-06-07,Ukhrul,10,2,0,5,0
2020-06-07,Unknown,31,21,0, 0,0
2020-06-08,Bishnupur,40,1,0,36,0
2020-06-08,Chandel,2,0,0, 0,0
2020-06-08,Churachandpur,41,3,0,12,0
2020-06-08,Imphal East,10,12,0, 0,0
2020-06-08,Imphal West,42,5,0,15,0
2020-06-08,Kakching,22,0,0,20,0
2020-06-08,Kamjong,10,2,0,8,0
2020-06-08,Kangpokpi,23,0,0,1,0
2020-06-08,Noney,4,1,0,1,0
2020-06-08,Pherzawl,3,0,0, 0,0
