date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Agar Malwa,11,0,1, 0,0
2020-04-26,Alirajpur,3,0,0, 0,0
2020-04-26,Barwani,24,7,0, 0,0
2020-04-26,Betul,1,0,0, 0,0
2020-04-26,Bhopal,415,104,9, 0,0
2020-04-26,Chhindwara,5,0,1, 0,0
2020-04-26,Dewas,23,4,6, 0,0
2020-04-26,Dhar,36,0,1, 0,0
2020-04-26,Dindori,1,0,0, 0,0
2020-04-26,Gwalior,4,2,0, 0,0
2020-04-26,Hoshangabad,32,9,2, 0,0
2020-04-26,Indore,1176,107,57, 0,0
2020-04-26,Jabalpur,59,7,1, 0,0
2020-04-26,Khandwa,36,12,1, 0,0
2020-04-26,Khargone,61,12,6, 0,0
2020-04-26,Mandsaur,9,0,1, 0,0
2020-04-26,Morena,13,13,0, 0,0
2020-04-26,Other Region,2,0,0, 0,0
2020-04-26,Raisen,28,1,0, 0,0
2020-04-26,Ratlam,13,0,0, 0,0
2020-04-26,Sagar,5,1,0, 0,0
2020-04-26,Shajapur,6,1,0, 0,0
2020-04-26,Sheopur,4,2,0, 0,0
2020-04-26,Shivpuri,2,2,0, 0,0
2020-04-26,Tikamgarh,2,0,0, 0,0
2020-04-26,Ujjain,106,5,17, 0,0
2020-04-26,Vidisha,13,13,0, 0,0
2020-04-27,Agar Malwa,11,0,1, 0,0
2020-04-27,Alirajpur,3,0,0, 0,0
2020-04-27,Barwani,24,10,0, 0,3
2020-04-27,Betul,1,0,0, 0,0
2020-04-27,Bhopal,428,139,12,13,35
2020-04-27,Chhindwara,5,0,1, 0,0
2020-04-27,Dewas,24,5,6,1,1
2020-04-27,Dhar,36,0,1, 0,0
2020-04-27,Dindori,1,0,0, 0,0
2020-04-27,Gwalior,4,2,0, 0,0
2020-04-27,Harda,1,0,0,1,0
2020-04-27,Hoshangabad,33,9,2,1,0
2020-04-27,Indore,1207,123,60,31,16
2020-04-27,Jabalpur,69,7,1,10,0
2020-04-27,Khandwa,36,12,1, 0,0
2020-04-27,Khargone,61,12,6, 0,0
2020-04-27,Mandsaur,9,0,2, 0,0
2020-04-27,Morena,13,13,0, 0,0
2020-04-27,Other Region,2,0,0, 0,0
2020-04-27,Raisen,33,1,0,5,0
2020-04-27,Ratlam,13,0,0, 0,0
2020-04-27,Sagar,5,1,0, 0,0
2020-04-27,Shajapur,6,1,0, 0,0
2020-04-27,Sheopur,4,2,0, 0,0
2020-04-27,Shivpuri,2,2,0, 0,0
2020-04-27,Tikamgarh,2,0,0, 0,0
2020-04-27,Ujjain,119,5,17,13,0
2020-04-27,Vidisha,13,13,0, 0,0
2020-04-28,Agar Malwa,11,0,1, 0,0
2020-04-28,Alirajpur,3,0,0, 0,0
2020-04-28,Ashoknagar,1,0,1,1,0
2020-04-28,Barwani,24,14,0, 0,4
2020-04-28,Betul,1,0,0, 0,0
2020-04-28,Bhopal,458,139,13,30,0
2020-04-28,Burhanpur,1,0,0,1,0
2020-04-28,Chhindwara,5,0,1, 0,0
2020-04-28,Dewas,23,6,7,-1,1
2020-04-28,Dhar,40,0,1,4,0
2020-04-28,Dindori,1,0,0, 0,0
2020-04-28,Gwalior,4,2,0, 0,0
2020-04-28,Harda,1,0,0, 0,0
2020-04-28,Hoshangabad,34,9,2,1,0
2020-04-28,Indore,1372,134,63,165,11
2020-04-28,Jabalpur,70,7,1,1,0
2020-04-28,Khandwa,36,12,1, 0,0
2020-04-28,Khargone,61,12,6, 0,0
2020-04-28,Mandsaur,9,0,2, 0,0
2020-04-28,Morena,13,13,0, 0,0
2020-04-28,Other Region,2,0,0, 0,0
2020-04-28,Raisen,45,1,1,12,0
2020-04-28,Ratlam,13,0,0, 0,0
2020-04-28,Rewa,2,0,0,2,0
2020-04-28,Sagar,5,1,0, 0,0
2020-04-28,Shahdol,2,0,0,2,0
2020-04-28,Shajapur,6,1,0, 0,0
2020-04-28,Sheopur,4,2,0, 0,0
2020-04-28,Shivpuri,2,2,0, 0,0
2020-04-28,Tikamgarh,2,0,0, 0,0
2020-04-28,Ujjain,123,5,20,4,0
2020-04-28,Vidisha,13,13,0, 0,0
2020-04-29,Agar Malwa,12,0,1,1,0
2020-04-29,Alirajpur,3,0,0, 0,0
2020-04-29,Ashoknagar,1,0,1, 0,0
2020-04-29,Barwani,24,14,0, 0,0
2020-04-29,Betul,1,0,0, 0,0
2020-04-29,Bhopal,483,162,14,25,23
2020-04-29,Burhanpur,1,0,0, 0,0
2020-04-29,Chhindwara,5,2,1, 0,2
2020-04-29,Dewas,24,6,7,1,0
2020-04-29,Dhar,48,0,1,8,0
2020-04-29,Dindori,1,0,0, 0,0
2020-04-29,Gwalior,4,2,0, 0,0
2020-04-29,Harda,1,0,0, 0,0
2020-04-29,Hoshangabad,35,14,2,1,5
2020-04-29,Indore,1476,177,65,104,43
2020-04-29,Jabalpur,78,7,1,8,0
2020-04-29,Khandwa,46,12,3,10,0
2020-04-29,Khargone,70,22,7,9,10
2020-04-29,Mandsaur,9,0,2, 0,0
2020-04-29,Morena,13,13,0, 0,0
2020-04-29,Other Region,2,0,0, 0,0
2020-04-29,Raisen,47,1,2,2,0
2020-04-29,Ratlam,13,0,0, 0,0
2020-04-29,Rewa,2,0,0, 0,0
2020-04-29,Sagar,5,1,0, 0,0
2020-04-29,Shahdol,2,0,0, 0,0
2020-04-29,Shajapur,6,4,0, 0,3
2020-04-29,Sheopur,4,4,0, 0,2
2020-04-29,Shivpuri,2,2,0, 0,0
2020-04-29,Tikamgarh,2,0,0, 0,0
2020-04-29,Ujjain,127,5,23,4,0
2020-04-29,Vidisha,13,13,0, 0,0
2020-04-30,Agar Malwa,12,0,1, 0,0
2020-04-30,Alirajpur,3,0,0, 0,0
2020-04-30,Ashoknagar,1,0,1, 0,0
2020-04-30,Barwani,26,14,0,2,0
2020-04-30,Betul,1,0,0, 0,0
2020-04-30,Bhopal,508,162,15,25,0
2020-04-30,Burhanpur,1,0,0, 0,0
2020-04-30,Chhindwara,5,2,1, 0,0
2020-04-30,Dewas,24,7,7, 0,1
2020-04-30,Dhar,48,1,1, 0,1
2020-04-30,Dindori,1,0,0, 0,0
2020-04-30,Gwalior,4,2,0, 0,0
2020-04-30,Harda,1,0,0, 0,0
2020-04-30,Hoshangabad,35,14,3, 0,0
2020-04-30,Indore,1486,177,68,10,0
2020-04-30,Jabalpur,85,7,1,7,0
2020-04-30,Khandwa,46,31,4, 0,19
2020-04-30,Khargone,70,22,7, 0,0
2020-04-30,Mandsaur,9,0,2, 0,0
2020-04-30,Morena,13,13,0, 0,0
2020-04-30,Other Region,2,0,0, 0,0
2020-04-30,Raisen,55,1,2,8,0
2020-04-30,Ratlam,14,0,0,1,0
2020-04-30,Rewa,2,0,0, 0,0
2020-04-30,Sagar,5,1,0, 0,0
2020-04-30,Shahdol,3,0,0,1,0
2020-04-30,Shajapur,6,4,0, 0,0
2020-04-30,Sheopur,4,4,0, 0,0
2020-04-30,Shivpuri,2,2,0, 0,0
2020-04-30,Tikamgarh,2,0,0, 0,0
2020-04-30,Ujjain,138,5,24,11,0
2020-04-30,Vidisha,13,13,0, 0,0
2020-05-01,Agar Malwa,12,0,1, 0,0
2020-05-01,Alirajpur,3,0,0, 0,0
2020-05-01,Anuppur,2,0,0,2,0
2020-05-01,Ashoknagar,1,0,1, 0,0
2020-05-01,Barwani,26,18,0, 0,4
2020-05-01,Betul,1,0,0, 0,0
2020-05-01,Bhopal,526,183,15,18,21
2020-05-01,Burhanpur,1,0,0, 0,0
2020-05-01,Chhindwara,5,2,1, 0,0
2020-05-01,Dewas,26,7,7,2,0
2020-05-01,Dhar,49,1,1,1,0
2020-05-01,Dindori,1,0,0, 0,0
2020-05-01,Gwalior,5,2,0,1,0
2020-05-01,Harda,3,0,0,2,0
2020-05-01,Hoshangabad,35,17,3, 0,3
2020-05-01,Indore,1515,177,72,29,0
2020-05-01,Jabalpur,87,7,1,2,0
2020-05-01,Khandwa,46,31,6, 0,0
2020-05-01,Khargone,73,22,7,3,0
2020-05-01,Mandsaur,24,1,2,15,1
2020-05-01,Morena,14,13,0,1,0
2020-05-01,Other Region,2,0,0, 0,0
2020-05-01,Raisen,57,1,2,2,0
2020-05-01,Ratlam,16,11,0,2,11
2020-05-01,Rewa,2,0,0, 0,0
2020-05-01,Sagar,5,1,0, 0,0
2020-05-01,Shahdol,3,0,0, 0,0
2020-05-01,Shajapur,7,6,1,1,2
2020-05-01,Sheopur,4,4,0, 0,0
2020-05-01,Shivpuri,2,2,0, 0,0
2020-05-01,Tikamgarh,2,0,0, 0,0
2020-05-01,Ujjain,147,5,25,9,0
2020-05-01,Vidisha,13,13,0, 0,0
2020-05-02,Agar Malwa,12,0,1, 0,0
2020-05-02,Alirajpur,3,0,0, 0,0
2020-05-02,Anuppur,2,0,0, 0,0
2020-05-02,Ashoknagar,1,0,1, 0,0
2020-05-02,Barwani,26,20,0, 0,2
2020-05-02,Betul,1,0,0, 0,0
2020-05-02,Bhopal,526,212,15, 0,29
2020-05-02,Burhanpur,18,0,0,17,0
2020-05-02,Chhindwara,5,2,1, 0,0
2020-05-02,Dewas,26,11,7, 0,4
2020-05-02,Dhar,51,10,1,2,9
2020-05-02,Dindori,1,0,0, 0,0
2020-05-02,Gwalior,5,2,0, 0,0
2020-05-02,Harda,3,0,0, 0,0
2020-05-02,Hoshangabad,35,19,4, 0,2
2020-05-02,Indore,1545,229,74,30,52
2020-05-02,Jabalpur,92,9,1,5,2
2020-05-02,Katni,1,0,0,1,0
2020-05-02,Khandwa,47,31,6,1,0
2020-05-02,Khargone,77,22,7,4,0
2020-05-02,Mandsaur,35,1,3,11,0
2020-05-02,Morena,16,13,0,2,0
2020-05-02,Other Region,2,0,0, 0,0
2020-05-02,Raisen,57,1,2, 0,0
2020-05-02,Ratlam,16,11,0, 0,0
2020-05-02,Rewa,2,0,0, 0,0
2020-05-02,Sagar,5,1,0, 0,0
2020-05-02,Shahdol,3,0,0, 0,0
2020-05-02,Shajapur,7,6,1, 0,0
2020-05-02,Sheopur,4,4,0, 0,0
2020-05-02,Shivpuri,2,2,0, 0,0
2020-05-02,Tikamgarh,2,0,0, 0,0
2020-05-02,Ujjain,147,5,27, 0,0
2020-05-02,Vidisha,13,13,0, 0,0
2020-05-03,Agar Malwa,12,0,1, 0,0
2020-05-03,Alirajpur,3,1,0, 0,1
2020-05-03,Anuppur,2,0,0, 0,0
2020-05-03,Ashoknagar,1,0,1, 0,0
2020-05-03,Barwani,26,22,0, 0,2
2020-05-03,Betul,1,1,0, 0,1
2020-05-03,Bhopal,532,237,15,6,25
2020-05-03,Burhanpur,18,0,0, 0,0
2020-05-03,Chhindwara,5,2,1, 0,0
2020-05-03,Dewas,26,11,7, 0,0
2020-05-03,Dhar,55,11,1,4,1
2020-05-03,Dindori,1,0,0, 0,0
2020-05-03,Gwalior,5,2,0, 0,0
2020-05-03,Harda,3,0,0, 0,0
2020-05-03,Hoshangabad,36,19,4,1,0
2020-05-03,Indore,1568,350,76,23,121
2020-05-03,Jabalpur,96,10,1,4,1
2020-05-03,Katni,0,0,0,-1,0
2020-05-03,Khandwa,47,32,6, 0,1
2020-05-03,Khargone,77,24,7, 0,2
2020-05-03,Mandsaur,36,5,3,1,4
2020-05-03,Morena,16,13,0, 0,0
2020-05-03,Niwari,1,0,0,1,0
2020-05-03,Other Region,2,0,0, 0,0
