date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Aizawl,1,0,0, 0,0
2020-04-27,Aizawl,1,0,0, 0,0
2020-04-28,Aizawl,1,0,0, 0,0
2020-04-29,Aizawl,1,0,0, 0,0
2020-04-30,Aizawl,1,0,0, 0,0
2020-05-01,Aizawl,1,0,0, 0,0
2020-05-02,Aizawl,1,0,0, 0,0
2020-05-03,Aizawl,1,0,0, 0,0
2020-05-04,Aizawl,1,0,0, 0,0
2020-05-05,Aizawl,1,1,0, 0,1
2020-05-06,Aizawl,1,1,0, 0,0
2020-05-07,Aizawl,1,1,0, 0,0
2020-05-08,Aizawl,1,1,0, 0,0
2020-05-09,Aizawl,1,1,0, 0,0
2020-05-10,Aizawl,1,1,0, 0,0
2020-05-11,Aizawl,1,1,0, 0,0
2020-05-12,Aizawl,1,1,0, 0,0
2020-05-13,Aizawl,1,1,0, 0,0
2020-05-14,Aizawl,1,1,0, 0,0
2020-05-15,Aizawl,1,1,0, 0,0
2020-05-16,Aizawl,1,1,0, 0,0
2020-05-17,Aizawl,1,1,0, 0,0
2020-05-18,Aizawl,1,1,0, 0,0
2020-05-19,Aizawl,1,1,0, 0,0
2020-05-20,Aizawl,1,1,0, 0,0
2020-05-21,Aizawl,1,1,0, 0,0
2020-05-22,Aizawl,1,1,0, 0,0
2020-05-23,Aizawl,1,1,0, 0,0
2020-05-24,Aizawl,1,1,0, 0,0
2020-05-25,Aizawl,1,1,0, 0,0
2020-05-26,Aizawl,1,1,0, 0,0
2020-05-27,Aizawl,1,1,0, 0,0
2020-05-28,Aizawl,1,1,0, 0,0
2020-05-29,Aizawl,1,1,0, 0,0
2020-05-30,Aizawl,1,1,0, 0,0
2020-05-31,Aizawl,1,1,0, 0,0
2020-06-01,Aizawl,1,1,0, 0,0
2020-06-02,Aizawl,13,1,0,12,0
2020-06-03,Aizawl,14,1,0,1,0
2020-06-04,Aizawl,14,1,0, 0,0
2020-06-04,Lunglei,1,0,0,1,0
2020-06-04,Mamit,1,0,0,1,0
2020-06-04,Saitual,1,0,0,1,0
2020-06-05,Aizawl,20,1,0,6,0
2020-06-05,Lunglei,2,0,0,1,0
2020-06-05,Mamit,1,0,0, 0,0
2020-06-05,Saitual,1,0,0, 0,0
2020-06-06,Aizawl,20,1,0, 0,0
2020-06-06,Lunglei,2,0,0, 0,0
2020-06-06,Mamit,1,0,0, 0,0
2020-06-06,Saitual,1,0,0, 0,0
2020-06-07,Aizawl,21,1,0,1,0
2020-06-07,Lawngtlai,2,0,0,2,0
2020-06-07,Lunglei,2,0,0, 0,0
2020-06-07,Mamit,8,0,0,7,0
2020-06-07,Saitual,1,0,0, 0,0
2020-06-08,Aizawl,21,1,0, 0,0
2020-06-08,Champhai,5,0,0,5,0
2020-06-08,Khawzawl,2,0,0,2,0
2020-06-08,Lawngtlai,2,0,0, 0,0
2020-06-08,Lunglei,2,0,0, 0,0
2020-06-08,Mamit,8,0,0, 0,0
2020-06-08,Saiha,1,0,0,1,0
2020-06-08,Saitual,1,0,0, 0,0
2020-06-09,Aizawl,12,1,0,-9,0
2020-06-09,Champhai,5,0,0, 0,0
2020-06-09,Khawzawl,2,0,0, 0,0
2020-06-09,Kolasib,11,0,0,11,0
2020-06-09,Lawngtlai,3,0,0,1,0
2020-06-09,Lunglei,45,0,0,43,0
2020-06-09,Mamit,8,0,0, 0,0
2020-06-09,Saiha,1,0,0, 0,0
2020-06-09,Saitual,1,0,0, 0,0
2020-06-10,Aizawl,13,1,0,1,0
2020-06-10,Champhai,5,0,0, 0,0
2020-06-10,Khawzawl,2,0,0, 0,0
2020-06-10,Kolasib,11,0,0, 0,0
2020-06-10,Lawngtlai,4,0,0,1,0
2020-06-10,Lunglei,45,0,0, 0,0
2020-06-10,Mamit,8,0,0, 0,0
2020-06-10,Saiha,1,0,0, 0,0
2020-06-10,Saitual,3,0,0,2,0
2020-06-10,Serchhip,1,0,0,1,0
2020-06-11,Aizawl,21,1,0,8,0
2020-06-11,Champhai,5,0,0, 0,0
2020-06-11,Khawzawl,2,0,0, 0,0
2020-06-11,Kolasib,11,0,0, 0,0
2020-06-11,Lawngtlai,4,0,0, 0,0
2020-06-11,Lunglei,45,0,0, 0,0
2020-06-11,Mamit,9,0,0,1,0
2020-06-11,Saiha,1,0,0, 0,0
2020-06-11,Saitual,3,0,0, 0,0
2020-06-11,Serchhip,1,0,0, 0,0
2020-06-12,Aizawl,22,1,0,1,0
2020-06-12,Champhai,5,0,0, 0,0
2020-06-12,Khawzawl,2,0,0, 0,0
