date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-05-25,Dimapur,2,0,0,2,0
2020-05-25,Kohima,1,0,0,1,0
2020-05-26,Dimapur,2,0,0, 0,0
2020-05-26,Kohima,2,0,0,1,0
2020-05-27,Dimapur,6,0,0,4,0
2020-05-27,Kohima,3,0,0,1,0
2020-05-28,Dimapur,12,0,0,6,0
2020-05-28,Kohima,5,0,0,2,0
2020-05-28,Tuensang,1,0,0,1,0
2020-05-29,Dimapur,14,0,0,2,0
2020-05-29,Kohima,9,0,0,4,0
2020-05-29,Tuensang,2,0,0,1,0
2020-05-30,Dimapur,22,0,0,8,0
2020-05-30,Kohima,12,0,0,3,0
2020-05-30,Tuensang,2,0,0, 0,0
2020-05-31,Dimapur,25,0,0,3,0
2020-05-31,Kohima,16,0,0,4,0
2020-05-31,Tuensang,2,0,0, 0,0
2020-06-01,Dimapur,25,0,0, 0,0
2020-06-01,Kohima,16,0,0, 0,0
2020-06-01,Tuensang,2,0,0, 0,0
2020-06-02,Dimapur,31,0,0,6,0
2020-06-02,Kohima,16,0,0, 0,0
2020-06-02,Tuensang,2,0,0, 0,0
2020-06-03,Dimapur,31,0,0, 0,0
2020-06-03,Kohima,16,0,0, 0,0
2020-06-03,Tuensang,2,0,0, 0,0
2020-06-03,Unknown,9,0,0,9,0
2020-06-04,Dimapur,57,0,0,26,0
2020-06-04,Kohima,17,0,0,1,0
2020-06-04,Peren,1,0,0,1,0
2020-06-04,Tuensang,5,0,0,3,0
2020-06-04,Unknown,0,0,0,-9,0
2020-06-05,Dimapur,57,0,0, 0,0
2020-06-05,Kohima,17,0,0, 0,0
2020-06-05,Peren,1,0,0, 0,0
2020-06-05,Tuensang,5,0,0, 0,0
2020-06-05,Unknown,27,0,0,27,0
2020-06-06,Dimapur,9,8,0,-48,8
2020-06-06,Kiphire,4,0,0,4,0
2020-06-06,Kohima,5,0,0,-12,0
2020-06-06,Mon,23,0,0,23,0
2020-06-06,Peren,53,0,0,52,0
2020-06-06,Phek,1,0,0,1,0
2020-06-06,Tuensang,7,0,0,2,0
2020-06-06,Unknown,0,0,0,-27,0
2020-06-06,Wokha,5,0,0,5,0
2020-06-07,Dimapur,20,8,0,11,0
