date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Balasore,10,0,0, 0,0
2020-04-26,Bhadrak,16,2,0, 0,0
2020-04-26,Cuttack,1,1,0, 0,0
2020-04-26,Dhenkanal,1,1,0, 0,0
2020-04-26,Jajpur,18,1,0, 0,0
2020-04-26,Kalahandi,2,2,0, 0,0
2020-04-26,Kendrapara,2,1,0, 0,0
2020-04-26,Khordha,46,23,1, 0,0
2020-04-26,Puri,1,1,0, 0,0
2020-04-26,Sundargarh,6,3,0, 0,0
2020-04-27,Balasore,16,0,0,6,0
2020-04-27,Bhadrak,19,2,0,3,0
2020-04-27,Cuttack,1,1,0, 0,0
2020-04-27,Dhenkanal,1,1,0, 0,0
2020-04-27,Jajpur,19,1,0,1,0
2020-04-27,Kalahandi,2,2,0, 0,0
2020-04-27,Kendrapara,2,1,0, 0,0
2020-04-27,Khordha,46,25,1, 0,2
2020-04-27,Koraput,1,0,0,1,0
2020-04-27,Puri,1,1,0, 0,0
2020-04-27,Sundargarh,10,3,0,4,0
2020-04-28,Balasore,16,0,0, 0,0
2020-04-28,Bhadrak,19,2,0, 0,0
2020-04-28,Cuttack,1,1,0, 0,0
2020-04-28,Dhenkanal,1,1,0, 0,0
2020-04-28,Jajpur,19,1,0, 0,0
2020-04-28,Kalahandi,2,2,0, 0,0
2020-04-28,Kendrapara,2,1,0, 0,0
2020-04-28,Khordha,46,26,1, 0,1
2020-04-28,Koraput,1,0,0, 0,0
2020-04-28,Puri,1,1,0, 0,0
2020-04-28,Sundargarh,10,3,0, 0,0
2020-04-29,Balasore,19,0,0,3,0
2020-04-29,Bhadrak,19,2,0, 0,0
2020-04-29,Cuttack,1,1,0, 0,0
2020-04-29,Deogarh,1,0,0,1,0
2020-04-29,Dhenkanal,1,1,0, 0,0
2020-04-29,Jajpur,19,1,0, 0,0
2020-04-29,Jharsuguda,1,0,0,1,0
2020-04-29,Kalahandi,2,2,0, 0,0
2020-04-29,Kendrapara,2,1,0, 0,0
2020-04-29,Kendujhar,1,0,0,1,0
2020-04-29,Khordha,47,27,1,1,1
2020-04-29,Koraput,1,0,0, 0,0
2020-04-29,Puri,1,1,0, 0,0
2020-04-29,Sundargarh,10,3,0, 0,0
2020-04-30,Balasore,20,0,0,1,0
2020-04-30,Bhadrak,19,2,0, 0,0
2020-04-30,Cuttack,1,1,0, 0,0
2020-04-30,Deogarh,1,0,0, 0,0
2020-04-30,Dhenkanal,1,1,0, 0,0
2020-04-30,Jajpur,36,1,0,17,0
2020-04-30,Jharsuguda,1,0,0, 0,0
2020-04-30,Kalahandi,2,2,0, 0,0
2020-04-30,Kendrapara,2,1,0, 0,0
2020-04-30,Kendujhar,1,0,0, 0,0
2020-04-30,Khordha,47,27,1, 0,0
2020-04-30,Koraput,1,0,0, 0,0
2020-04-30,Puri,1,1,0, 0,0
2020-04-30,Sundargarh,10,5,0, 0,2
2020-05-01,Balangir,2,0,0,2,0
