date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Amritsar,14,1,2, 0,0
2020-04-26,Barnala,2,1,1, 0,0
2020-04-26,Faridkot,3,1,0, 0,0
2020-04-26,Fatehgarh Sahib,2,2,0, 0,0
2020-04-26,Ferozepur,1,0,0, 0,0
2020-04-26,Gurdaspur,1,0,1, 0,0
2020-04-26,Hoshiarpur,7,5,1, 0,0
2020-04-26,Jalandhar,78,7,3, 0,0
2020-04-26,Kapurthala,3,2,1, 0,0
2020-04-26,Ludhiana,18,4,4, 0,0
2020-04-26,Mansa,13,3,0, 0,0
2020-04-26,Moga,4,4,0, 0,0
2020-04-26,Pathankot,25,9,1, 0,0
2020-04-26,Patiala,61,1,0, 0,0
2020-04-26,Rupnagar,3,2,1, 0,0
2020-04-26,S.A.S. Nagar,63,22,2, 0,0
2020-04-26,Sangrur,3,2,0, 0,0
2020-04-26,Shahid Bhagat Singh Nagar,20,18,1, 0,0
2020-04-26,Sri Muktsar Sahib,1,0,0, 0,0
2020-04-27,Amritsar,14,6,2, 0,5
2020-04-27,Barnala,2,1,1, 0,0
2020-04-27,Faridkot,3,1,0, 0,0
2020-04-27,Fatehgarh Sahib,2,2,0, 0,0
2020-04-27,Ferozepur,1,0,0, 0,0
2020-04-27,Gurdaspur,1,0,1, 0,0
2020-04-27,Hoshiarpur,7,5,1, 0,0
2020-04-27,Jalandhar,78,7,3, 0,0
2020-04-27,Kapurthala,6,2,1,3,0
2020-04-27,Ludhiana,18,6,4, 0,2
2020-04-27,Mansa,13,3,0, 0,0
2020-04-27,Moga,4,4,0, 0,0
2020-04-27,Pathankot,25,9,1, 0,0
2020-04-27,Patiala,61,2,1, 0,1
2020-04-27,Rupnagar,3,2,1, 0,0
2020-04-27,S.A.S. Nagar,63,28,2, 0,6
2020-04-27,Sangrur,3,2,0, 0,0
2020-04-27,Shahid Bhagat Singh Nagar,20,18,1, 0,0
2020-04-27,Sri Muktsar Sahib,1,0,0, 0,0
2020-04-27,Tarn Taran,5,0,0,5,0
2020-04-28,Amritsar,14,6,2, 0,0
2020-04-28,Barnala,2,1,1, 0,0
2020-04-28,Faridkot,3,1,0, 0,0
2020-04-28,Fatehgarh Sahib,2,2,0, 0,0
2020-04-28,Ferozepur,1,0,0, 0,0
2020-04-28,Gurdaspur,1,0,1, 0,0
2020-04-28,Hoshiarpur,8,5,1,1,0
2020-04-28,Jalandhar,85,7,3,7,0
2020-04-28,Kapurthala,6,2,1, 0,0
2020-04-28,Ludhiana,18,6,4, 0,0
2020-04-28,Mansa,13,3,0, 0,0
2020-04-28,Moga,4,4,0, 0,0
2020-04-28,Pathankot,25,9,1, 0,0
