date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Mahe,1,1,0, 0,0
2020-04-26,Puducherry,7,3,0, 0,0
2020-04-27,Mahe,1,1,0, 0,0
2020-04-27,Puducherry,7,4,0, 0,1
2020-04-28,Mahe,1,1,0, 0,0
2020-04-28,Puducherry,7,4,0, 0,0
2020-04-29,Mahe,1,1,0, 0,0
2020-04-29,Puducherry,7,4,0, 0,0
2020-04-30,Mahe,1,1,0, 0,0
2020-04-30,Puducherry,7,4,0, 0,0
2020-05-01,Mahe,1,1,0, 0,0
2020-05-01,Puducherry,7,4,0, 0,0
2020-05-02,Mahe,2,1,0,1,0
2020-05-02,Puducherry,7,4,0, 0,0
2020-05-03,Mahe,2,1,0, 0,0
2020-05-03,Puducherry,7,5,0, 0,1
2020-05-04,Mahe,2,1,0, 0,0
2020-05-04,Puducherry,7,5,0, 0,0
2020-05-05,Mahe,2,1,0, 0,0
2020-05-05,Puducherry,7,5,0, 0,0
2020-05-06,Mahe,2,1,0, 0,0
2020-05-06,Puducherry,7,5,0, 0,0
2020-05-07,Mahe,2,1,0, 0,0
2020-05-07,Puducherry,7,5,0, 0,0
2020-05-08,Mahe,2,2,0, 0,1
2020-05-08,Puducherry,8,6,0,1,1
2020-05-09,Mahe,2,2,0, 0,0
2020-05-09,Puducherry,8,6,0, 0,0
2020-05-10,Karaikal,1,0,0,1,0
2020-05-10,Mahe,2,2,0, 0,0
2020-05-10,Puducherry,9,7,0,1,1
2020-05-11,Karaikal,1,0,0, 0,0
2020-05-11,Mahe,2,2,0, 0,0
2020-05-11,Puducherry,9,7,0, 0,0
2020-05-12,Karaikal,1,0,0, 0,0
2020-05-12,Mahe,2,2,0, 0,0
2020-05-12,Puducherry,9,7,0, 0,0
2020-05-13,Karaikal,1,0,0, 0,0
2020-05-13,Mahe,2,2,0, 0,0
2020-05-13,Puducherry,10,7,0,1,0
2020-05-14,Karaikal,1,0,0, 0,0
2020-05-14,Mahe,2,2,0, 0,0
2020-05-14,Puducherry,13,7,0,3,0
2020-05-15,Karaikal,1,0,0, 0,0
2020-05-15,Mahe,2,2,0, 0,0
2020-05-15,Puducherry,13,7,0, 0,0
2020-05-16,Karaikal,2,0,0,1,0
2020-05-16,Mahe,2,2,0, 0,0
2020-05-16,Puducherry,13,7,0, 0,0
2020-05-17,Karaikal,2,0,0, 0,0
2020-05-17,Mahe,2,2,0, 0,0
2020-05-17,Puducherry,13,7,0, 0,0
2020-05-18,Karaikal,2,0,0, 0,0
2020-05-18,Mahe,2,2,0, 0,0
2020-05-18,Puducherry,13,7,0, 0,0
2020-05-19,Karaikal,2,1,0, 0,1
2020-05-19,Mahe,2,2,0, 0,0
2020-05-19,Puducherry,18,7,0,5,0
2020-05-20,Karaikal,2,1,0, 0,0
2020-05-20,Mahe,3,2,0,1,0
2020-05-20,Puducherry,18,7,0, 0,0
2020-05-21,Karaikal,2,1,0, 0,0
2020-05-21,Mahe,3,2,0, 0,0
2020-05-21,Puducherry,18,7,0, 0,0
2020-05-22,Karaikal,2,1,0, 0,0
2020-05-22,Mahe,4,2,0,1,0
2020-05-22,Puducherry,20,7,0,2,0
2020-05-23,Karaikal,2,1,0, 0,0
2020-05-23,Mahe,4,2,0, 0,0
2020-05-23,Puducherry,20,7,0, 0,0
2020-05-24,Karaikal,2,2,0, 0,1
2020-05-24,Mahe,4,2,0, 0,0
