date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Ajmer,123,5,0, 0,0
2020-04-26,Alwar,7,4,1, 0,0
2020-04-26,Banswara,62,21,0, 0,0
2020-04-26,Barmer,2,1,0, 0,0
2020-04-26,Bharatpur,110,5,1, 0,0
2020-04-26,Bhilwara,33,30,2, 0,0
2020-04-26,Bikaner,37,32,1, 0,0
2020-04-26,Chittorgarh,1,0,0, 0,0
2020-04-26,Churu,14,11,0, 0,0
2020-04-26,Dausa,21,7,0, 0,0
2020-04-26,Dholpur,5,1,0, 0,0
2020-04-26,Dungarpur,6,5,0, 0,0
2020-04-26,Evacuees,61,25,0, 0,0
2020-04-26,Hanumangarh,11,2,0, 0,0
2020-04-26,Italians,2,2,0, 0,0
2020-04-26,Jaipur,808,222,21, 0,0
2020-04-26,Jaisalmer,34,26,0, 0,0
2020-04-26,Jhalawar,30,16,0, 0,0
2020-04-26,Jhunjhunu,42,32,0, 0,0
2020-04-26,Jodhpur,364,50,5, 0,0
2020-04-26,Karauli,3,2,0, 0,0
2020-04-26,Kota,158,80,4, 0,0
2020-04-26,Nagaur,113,7,1, 0,0
2020-04-26,Other State,0,2,2, 0,0
2020-04-26,Pali,2,2,0, 0,0
2020-04-26,Pratapgarh,2,2,0, 0,0
2020-04-26,Rajsamand,1,0,0, 0,0
2020-04-26,Sawai Madhopur,8,0,0, 0,0
2020-04-26,Sikar,5,1,2, 0,0
2020-04-26,Tonk,115,32,1, 0,0
2020-04-26,Udaipur,5,4,0, 0,0
2020-04-27,Ajmer,124,5,0,1,0
2020-04-27,Alwar,7,5,1, 0,1
2020-04-27,Banswara,62,31,0, 0,10
2020-04-27,Barmer,2,1,0, 0,0
2020-04-27,Bharatpur,110,5,2, 0,0
2020-04-27,Bhilwara,35,30,2,2,0
2020-04-27,Bikaner,37,36,1, 0,4
2020-04-27,Chittorgarh,8,0,0,7,0
2020-04-27,Churu,14,13,0, 0,2
2020-04-27,Dausa,21,7,0, 0,0
2020-04-27,Dholpur,5,1,0, 0,0
2020-04-27,Dungarpur,6,5,0, 0,0
2020-04-27,Evacuees,61,34,0, 0,9
2020-04-27,Hanumangarh,11,2,0, 0,0
2020-04-27,Italians,2,2,0, 0,0
2020-04-27,Jaipur,833,244,27,25,22
2020-04-27,Jaisalmer,35,30,0,1,4
2020-04-27,Jhalawar,40,16,0,10,0
2020-04-27,Jhunjhunu,42,40,0, 0,8
2020-04-27,Jodhpur,375,81,6,11,31
2020-04-27,Karauli,3,2,0, 0,0
2020-04-27,Kota,165,98,5,7,18
2020-04-27,Nagaur,116,9,1,3,2
2020-04-27,Other State,0,2,2, 0,0
2020-04-27,Pali,3,2,0,1,0
2020-04-27,Pratapgarh,2,2,0, 0,0
2020-04-27,Rajsamand,1,0,0, 0,0
2020-04-27,Sawai Madhopur,8,0,0, 0,0
2020-04-27,Sikar,5,2,2, 0,1
2020-04-27,Tonk,123,35,1,8,3
2020-04-27,Udaipur,6,4,0,1,0
2020-04-28,Ajmer,135,5,0,11,0
2020-04-28,Alwar,7,5,1, 0,0
2020-04-28,Banswara,63,31,0,1,0
2020-04-28,Barmer,2,1,0, 0,0
2020-04-28,Bharatpur,110,5,2, 0,0
2020-04-28,Bhilwara,35,30,2, 0,0
2020-04-28,Bikaner,37,36,1, 0,0
2020-04-28,Chittorgarh,8,0,0, 0,0
2020-04-28,Churu,14,13,0, 0,0
2020-04-28,Dausa,21,7,0, 0,0
2020-04-28,Dholpur,9,1,0,4,0
2020-04-28,Dungarpur,6,5,0, 0,0
2020-04-28,Evacuees,61,34,0, 0,0
2020-04-28,Hanumangarh,11,2,0, 0,0
2020-04-28,Italians,2,2,0, 0,0
2020-04-28,Jaipur,859,273,27,26,29
2020-04-28,Jaisalmer,35,30,0, 0,0
2020-04-28,Jhalawar,40,20,0, 0,4
2020-04-28,Jhunjhunu,42,33,0, 0,-7
2020-04-28,Jodhpur,400,81,6,25,0
2020-04-28,Karauli,3,2,0, 0,0
2020-04-28,Kota,189,98,7,24,0
2020-04-28,Nagaur,117,9,1,1,0
2020-04-28,Other State,0,2,2, 0,0
2020-04-28,Pali,3,2,0, 0,0
2020-04-28,Pratapgarh,2,2,0, 0,0
2020-04-28,Rajsamand,1,0,0, 0,0
2020-04-28,Sawai Madhopur,8,0,0, 0,0
2020-04-28,Sikar,6,2,2,1,0
2020-04-28,Tonk,131,35,1,8,0
2020-04-28,Udaipur,7,4,0,1,0
2020-04-29,Ajmer,146,13,0,11,8
2020-04-29,Alwar,7,5,1, 0,0
2020-04-29,Banswara,64,31,0,1,0
2020-04-29,Barmer,2,1,0, 0,0
2020-04-29,Bharatpur,111,6,2,1,1
2020-04-29,Bhilwara,37,30,2,2,0
2020-04-29,Bikaner,37,36,1, 0,0
2020-04-29,Chittorgarh,16,0,0,8,0
2020-04-29,Churu,14,14,0, 0,1
2020-04-29,Dausa,21,8,0, 0,1
2020-04-29,Dholpur,11,1,0,2,0
2020-04-29,Dungarpur,6,5,0, 0,0
2020-04-29,Evacuees,61,34,0, 0,0
2020-04-29,Hanumangarh,11,5,0, 0,3
2020-04-29,Italians,2,2,0, 0,0
2020-04-29,Jaipur,881,283,30,22,10
2020-04-29,Jaisalmer,35,30,0, 0,0
2020-04-29,Jhalawar,40,20,0, 0,0
2020-04-29,Jhunjhunu,42,33,0, 0,0
2020-04-29,Jodhpur,413,103,6,13,22
2020-04-29,Karauli,3,2,0, 0,0
2020-04-29,Kota,192,98,7,3,0
2020-04-29,Nagaur,118,9,1,1,0
2020-04-29,Other State,2,0,2,2,-2
2020-04-29,Pali,12,2,0,9,0
2020-04-29,Pratapgarh,2,2,0, 0,0
2020-04-29,Rajsamand,1,0,0, 0,0
2020-04-29,Sawai Madhopur,8,0,0, 0,0
2020-04-29,Sikar,6,2,2, 0,0
2020-04-29,Tonk,131,35,1, 0,0
2020-04-29,Udaipur,8,4,0,1,0
2020-04-30,Ajmer,150,13,0,4,0
2020-04-30,Alwar,9,5,1,2,0
2020-04-30,Banswara,66,31,0,2,0
2020-04-30,Baran,1,0,0,1,0
2020-04-30,Barmer,2,1,0, 0,0
2020-04-30,Bharatpur,111,6,2, 0,0
2020-04-30,Bhilwara,37,30,2, 0,0
2020-04-30,Bikaner,37,36,1, 0,0
2020-04-30,Chittorgarh,19,0,1,3,0
2020-04-30,Churu,14,14,0, 0,0
2020-04-30,Dausa,21,8,0, 0,0
2020-04-30,Dholpur,12,1,0,1,0
2020-04-30,Dungarpur,6,5,0, 0,0
2020-04-30,Evacuees,61,34,0, 0,0
2020-04-30,Hanumangarh,11,10,0, 0,5
2020-04-30,Italians,2,2,0, 0,0
2020-04-30,Jaipur,907,321,32,26,38
2020-04-30,Jaisalmer,35,30,0, 0,0
2020-04-30,Jhalawar,40,20,0, 0,0
2020-04-30,Jhunjhunu,42,33,0, 0,0
2020-04-30,Jodhpur,510,120,6,97,17
2020-04-30,Karauli,3,2,0, 0,0
2020-04-30,Kota,197,109,7,5,11
2020-04-30,Nagaur,118,13,1, 0,4
2020-04-30,Other State,2,0,2, 0,0
2020-04-30,Pali,12,2,0, 0,0
2020-04-30,Pratapgarh,2,2,0, 0,0
2020-04-30,Rajsamand,1,0,0, 0,0
2020-04-30,Sawai Madhopur,8,4,0, 0,4
2020-04-30,Sikar,6,2,2, 0,0
2020-04-30,Tonk,134,35,1,3,0
2020-04-30,Udaipur,8,4,0, 0,0
2020-05-01,Ajmer,161,14,0,11,1
2020-05-01,Alwar,9,5,1, 0,0
2020-05-01,Banswara,66,41,0, 0,10
2020-05-01,Baran,1,0,0, 0,0
2020-05-01,Barmer,2,1,0, 0,0
2020-05-01,Bharatpur,111,86,2, 0,80
2020-05-01,Bhilwara,37,30,2, 0,0
2020-05-01,Bikaner,37,36,1, 0,0
2020-05-01,Chittorgarh,26,0,1,7,0
2020-05-01,Churu,14,14,0, 0,0
2020-05-01,Dausa,21,8,0, 0,0
2020-05-01,Dholpur,12,1,0, 0,0
2020-05-01,Dungarpur,6,5,0, 0,0
2020-05-01,Evacuees,61,52,0, 0,18
2020-05-01,Hanumangarh,11,10,0, 0,0
2020-05-01,Italians,2,2,0, 0,0
2020-05-01,Jaipur,928,350,34,21,29
2020-05-01,Jaisalmer,35,30,0, 0,0
2020-05-01,Jhalawar,40,28,0, 0,8
2020-05-01,Jhunjhunu,42,36,0, 0,3
2020-05-01,Jodhpur,545,124,7,35,4
2020-05-01,Karauli,3,2,0, 0,0
2020-05-01,Kota,204,125,7,7,16
2020-05-01,Nagaur,118,13,2, 0,0
2020-05-01,Other State,2,0,2, 0,0
2020-05-01,Pali,12,2,0, 0,0
2020-05-01,Pratapgarh,2,2,0, 0,0
2020-05-01,Rajsamand,2,0,0,1,0
2020-05-01,Sawai Madhopur,8,4,0, 0,0
2020-05-01,Sikar,6,2,2, 0,0
2020-05-01,Tonk,134,89,1, 0,54
2020-05-01,Udaipur,8,4,0, 0,0
2020-05-02,Ajmer,165,14,1,4,0
