date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-05-23,South Sikkim,1,0,0,1,0
2020-05-24,South Sikkim,1,0,0, 0,0
2020-05-25,South Sikkim,1,0,0, 0,0
2020-05-26,South Sikkim,1,0,0, 0,0
2020-05-27,South Sikkim,1,0,0, 0,0
2020-05-28,South Sikkim,1,0,0, 0,0
2020-05-29,South Sikkim,1,0,0, 0,0
2020-05-30,South Sikkim,1,0,0, 0,0
2020-05-31,South Sikkim,1,0,0, 0,0
2020-06-01,South Sikkim,1,0,0, 0,0
2020-06-02,South Sikkim,1,0,0, 0,0
2020-06-03,East Sikkim,1,0,0,1,0
2020-06-03,South Sikkim,1,0,0, 0,0
2020-06-04,East Sikkim,1,0,0, 0,0
2020-06-04,South Sikkim,1,0,0, 0,0
2020-06-05,East Sikkim,2,0,0,1,0
2020-06-05,South Sikkim,1,0,0, 0,0
2020-06-06,East Sikkim,3,0,0,1,0
2020-06-06,South Sikkim,1,0,0, 0,0
2020-06-06,West Sikkim,3,0,0,3,0
2020-06-07,East Sikkim,3,0,0, 0,0
2020-06-07,South Sikkim,1,0,0, 0,0
2020-06-07,West Sikkim,3,0,0, 0,0
2020-06-08,East Sikkim,3,0,0, 0,0
2020-06-08,South Sikkim,1,0,0, 0,0
2020-06-08,West Sikkim,3,0,0, 0,0
2020-06-09,East Sikkim,3,3,0, 0,3
2020-06-09,South Sikkim,3,0,0,2,0
2020-06-09,Unknown,3,0,0,3,0
2020-06-09,West Sikkim,4,0,0,1,0
2020-06-10,East Sikkim,3,3,0, 0,0
2020-06-10,South Sikkim,3,0,0, 0,0
2020-06-10,Unknown,3,0,0, 0,0
2020-06-10,West Sikkim,4,0,0, 0,0
2020-06-11,East Sikkim,3,3,0, 0,0
2020-06-11,South Sikkim,3,0,0, 0,0
2020-06-11,Unknown,3,0,0, 0,0
2020-06-11,West Sikkim,4,0,0, 0,0
2020-06-12,East Sikkim,17,3,0,14,0
2020-06-12,South Sikkim,3,0,0, 0,0
2020-06-12,Unknown,39,0,0,36,0
2020-06-12,West Sikkim,4,0,0, 0,0
2020-06-13,East Sikkim,27,4,0,10,1
2020-06-13,South Sikkim,23,0,0,20,0
2020-06-13,Unknown,0,0,0,-39,0
2020-06-13,West Sikkim,13,0,0,9,0
2020-06-14,East Sikkim,20,4,0,-7,0
2020-06-14,South Sikkim,27,0,0,4,0
2020-06-14,Unknown,1,0,0,1,0
2020-06-14,West Sikkim,20,0,0,7,0
2020-06-15,East Sikkim,20,4,0, 0,0
