date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Adilabad,21,8,0, 0,0
2020-04-26,Bhadradri Kothagudem,4,4,0, 0,0
2020-04-26,Hyderabad,540,151,18, 0,0
2020-04-26,Jagtial,3,2,0, 0,0
2020-04-26,Jangaon,3,1,0, 0,0
2020-04-26,Jayashankar Bhupalapally,3,0,0, 0,0
2020-04-26,Jogulamba Gadwal,45,9,1, 0,0
2020-04-26,Kamareddy,12,8,0, 0,0
2020-04-26,Karimnagar,19,15,0, 0,0
2020-04-26,Khammam,8,1,0, 0,0
2020-04-26,Komaram Bheem,7,0,0, 0,0
2020-04-26,Mahabubabad,1,1,0, 0,0
2020-04-26,Mahabubnagar,11,8,0, 0,0
2020-04-26,Mancherial,1,0,1, 0,0
2020-04-26,Medak,5,3,0, 0,0
2020-04-26,Medchal Malkajgiri,22,3,1, 0,0
2020-04-26,Mulugu,2,2,0, 0,0
2020-04-26,Nagarkurnool,2,2,0, 0,0
2020-04-26,Nalgonda,17,11,0, 0,0
2020-04-26,Narayanpet,1,0,1, 0,0
2020-04-26,Nirmal,20,11,0, 0,0
2020-04-26,Nizamabad,61,27,0, 0,0
2020-04-26,Peddapalli,2,1,0, 0,0
2020-04-26,Rajanna Sircilla,3,0,0, 0,0
2020-04-26,Ranga Reddy,33,10,2, 0,0
2020-04-26,Sangareddy,7,5,0, 0,0
2020-04-26,Siddipet,1,1,0, 0,0
2020-04-26,Suryapet,83,4,0, 0,0
2020-04-26,Vikarabad,37,6,1, 0,0
2020-04-26,Warangal Urban,27,22,0, 0,0
2020-04-27,Adilabad,21,8,0, 0,0
2020-04-27,Bhadradri Kothagudem,4,4,0, 0,0
2020-04-27,Hyderabad,542,151,18,2,0
2020-04-27,Jagtial,3,2,0, 0,0
2020-04-27,Jangaon,3,1,0, 0,0
2020-04-27,Jayashankar Bhupalapally,3,0,0, 0,0
2020-04-27,Jogulamba Gadwal,45,9,1, 0,0
2020-04-27,Kamareddy,12,8,0, 0,0
2020-04-27,Karimnagar,19,15,0, 0,0
2020-04-27,Khammam,8,1,0, 0,0
2020-04-27,Komaram Bheem,7,0,0, 0,0
2020-04-27,Mahabubabad,1,1,0, 0,0
2020-04-27,Mahabubnagar,11,8,0, 0,0
2020-04-27,Mancherial,1,0,1, 0,0
2020-04-27,Medak,5,3,0, 0,0
2020-04-27,Medchal Malkajgiri,22,3,1, 0,0
2020-04-27,Mulugu,2,2,0, 0,0
2020-04-27,Nagarkurnool,2,2,0, 0,0
2020-04-27,Nalgonda,17,11,0, 0,0
2020-04-27,Narayanpet,1,0,1, 0,0
2020-04-27,Nirmal,20,11,0, 0,0
2020-04-27,Nizamabad,61,27,0, 0,0
2020-04-27,Peddapalli,2,1,0, 0,0
2020-04-27,Rajanna Sircilla,3,0,0, 0,0
2020-04-27,Ranga Reddy,33,10,2, 0,0
2020-04-27,Sangareddy,7,5,0, 0,0
2020-04-27,Siddipet,1,1,0, 0,0
2020-04-27,Suryapet,83,4,0, 0,0
2020-04-27,Unknown,0,16,0, 0,16
2020-04-27,Vikarabad,37,6,1, 0,0
2020-04-27,Warangal Urban,27,22,0, 0,0
2020-04-28,Adilabad,21,8,0, 0,0
2020-04-28,Bhadradri Kothagudem,4,4,0, 0,0
2020-04-28,Hyderabad,548,151,18,6,0
2020-04-28,Jagtial,3,2,0, 0,0
2020-04-28,Jangaon,3,1,0, 0,0
2020-04-28,Jayashankar Bhupalapally,3,0,0, 0,0
2020-04-28,Jogulamba Gadwal,45,9,1, 0,0
