date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Ariyalur,5,2,0, 0,0
2020-04-26,Chengalpattu,55,40,2, 0,0
2020-04-26,Chennai,528,161,12, 0,0
2020-04-26,Coimbatore,141,94,0, 0,0
2020-04-26,Cuddalore,26,18,0, 0,0
2020-04-26,Dharmapuri,1,0,0, 0,0
2020-04-26,Dindigul,80,62,1, 0,0
2020-04-26,Erode,70,64,1, 0,0
2020-04-26,Kallakurichi,6,3,0, 0,0
2020-04-26,Kancheepuram,18,7,1, 0,0
2020-04-26,Kanyakumari,16,6,0, 0,0
2020-04-26,Karur,41,41,0, 0,0
2020-04-26,Madurai,75,8,2, 0,0
2020-04-26,Nagapattinam,44,28,0, 0,0
2020-04-26,Namakkal,59,45,0, 0,0
2020-04-26,Nilgiris,9,9,0, 0,0
2020-04-26,Perambalur,7,1,0, 0,0
2020-04-26,Pudukkottai,1,0,0, 0,0
2020-04-26,Ramanathapuram,15,7,0, 0,0
2020-04-26,Ranipet,38,32,0, 0,0
2020-04-26,Salem,31,6,0, 0,0
2020-04-26,Sivaganga,12,0,0, 0,0
2020-04-26,Tenkasi,35,2,0, 0,0
2020-04-26,Thanjavur,54,23,0, 0,0
2020-04-26,Theni,44,35,1, 0,0
2020-04-26,Thiruvallur,54,14,0, 0,0
2020-04-26,Thiruvarur,30,8,0, 0,0
2020-04-26,Thoothukkudi,27,23,2, 0,0
2020-04-26,Tiruchirappalli,51,42,0, 0,0
2020-04-26,Tirunelveli,65,53,0, 0,0
2020-04-26,Tirupathur,18,17,0, 0,0
2020-04-26,Tiruppur,112,83,0, 0,0
2020-04-26,Tiruvannamalai,11,10,0, 0,0
2020-04-26,Unknown,0,25,-1, 0,0
2020-04-26,Vellore,23,13,1, 0,0
2020-04-26,Viluppuram,51,22,2, 0,0
2020-04-26,Virudhunagar,32,16,0, 0,0
2020-04-27,Ariyalur,5,2,0, 0,0
2020-04-27,Chengalpattu,55,40,2, 0,0
2020-04-27,Chennai,575,195,12,47,34
2020-04-27,Coimbatore,141,120,0, 0,26
2020-04-27,Cuddalore,26,18,0, 0,0
2020-04-27,Dharmapuri,1,0,0, 0,0
2020-04-27,Dindigul,80,62,1, 0,0
2020-04-27,Erode,70,64,1, 0,0
2020-04-27,Kallakurichi,6,3,0, 0,0
2020-04-27,Kancheepuram,18,7,1, 0,0
2020-04-27,Kanyakumari,16,6,0, 0,0
2020-04-27,Karur,41,41,0, 0,0
2020-04-27,Madurai,79,8,2,4,0
2020-04-27,Nagapattinam,44,28,0, 0,0
2020-04-27,Namakkal,59,45,0, 0,0
2020-04-27,Nilgiris,9,9,0, 0,0
2020-04-27,Perambalur,7,1,0, 0,0
2020-04-27,Pudukkottai,1,0,0, 0,0
2020-04-27,Ramanathapuram,15,7,0, 0,0
2020-04-27,Ranipet,38,32,0, 0,0
2020-04-27,Salem,31,6,0, 0,0
2020-04-27,Sivaganga,12,10,0, 0,10
2020-04-27,Tenkasi,35,2,0, 0,0
2020-04-27,Thanjavur,54,23,0, 0,0
2020-04-27,Theni,44,36,1, 0,1
2020-04-27,Thiruvallur,54,14,0, 0,0
2020-04-27,Thiruvarur,30,14,0, 0,6
2020-04-27,Thoothukkudi,27,25,1, 0,2
2020-04-27,Tiruchirappalli,51,42,0, 0,0
2020-04-27,Tirunelveli,65,53,0, 0,0
2020-04-27,Tirupathur,18,17,0, 0,0
2020-04-27,Tiruppur,112,83,0, 0,0
2020-04-27,Tiruvannamalai,11,10,0, 0,0
2020-04-27,Unknown,0,0,0, 0,-25
2020-04-27,Vellore,23,13,1, 0,0
2020-04-27,Viluppuram,52,22,2,1,0
2020-04-27,Virudhunagar,32,16,0, 0,0
2020-04-28,Ariyalur,5,2,0, 0,0
2020-04-28,Chengalpattu,67,40,2,12,0
2020-04-28,Chennai,678,195,13,103,0
2020-04-28,Coimbatore,141,120,0, 0,0
2020-04-28,Cuddalore,26,18,0, 0,0
2020-04-28,Dharmapuri,1,0,0, 0,0
2020-04-28,Dindigul,80,62,1, 0,0
2020-04-28,Erode,70,64,1, 0,0
2020-04-28,Kallakurichi,9,3,0,3,0
2020-04-28,Kancheepuram,19,7,1,1,0
2020-04-28,Kanyakumari,16,6,0, 0,0
2020-04-28,Karur,41,41,0, 0,0
2020-04-28,Madurai,79,36,2, 0,28
2020-04-28,Nagapattinam,44,28,0, 0,0
2020-04-28,Namakkal,61,45,0,2,0
2020-04-28,Nilgiris,9,9,0, 0,0
2020-04-28,Perambalur,7,1,0, 0,0
2020-04-28,Pudukkottai,1,0,0, 0,0
2020-04-28,Ramanathapuram,15,7,0, 0,0
2020-04-28,Ranipet,38,32,0, 0,0
2020-04-28,Salem,31,16,0, 0,10
2020-04-28,Sivaganga,12,10,0, 0,0
2020-04-28,Tenkasi,35,2,0, 0,0
2020-04-28,Thanjavur,54,24,0, 0,1
2020-04-28,Theni,44,36,1, 0,0
2020-04-28,Thiruvallur,54,29,0, 0,15
2020-04-28,Thiruvarur,30,14,0, 0,0
2020-04-28,Thoothukkudi,27,25,1, 0,0
2020-04-28,Tiruchirappalli,51,42,0, 0,0
2020-04-28,Tirunelveli,65,53,0, 0,0
2020-04-28,Tirupathur,18,17,0, 0,0
2020-04-28,Tiruppur,112,83,0, 0,0
2020-04-28,Tiruvannamalai,11,10,0, 0,0
2020-04-28,Vellore,23,13,1, 0,0
2020-04-28,Viluppuram,52,22,2, 0,0
2020-04-28,Virudhunagar,32,16,0, 0,0
2020-04-29,Ariyalur,5,4,0, 0,2
2020-04-29,Chengalpattu,71,43,2,4,3
2020-04-29,Chennai,772,210,15,94,15
2020-04-29,Coimbatore,141,121,0, 0,1
2020-04-29,Cuddalore,26,18,0, 0,0
2020-04-29,Dharmapuri,1,0,0, 0,0
2020-04-29,Dindigul,80,66,1, 0,4
2020-04-29,Erode,70,69,1, 0,5
2020-04-29,Kallakurichi,9,3,0, 0,0
2020-04-29,Kancheepuram,22,9,1,3,2
