date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Gomati,1,1,0, 0,0
2020-04-26,North Tripura,1,1,0, 0,0
2020-04-27,Gomati,1,1,0, 0,0
2020-04-27,North Tripura,1,1,0, 0,0
2020-04-28,Gomati,1,1,0, 0,0
2020-04-28,North Tripura,1,1,0, 0,0
2020-04-29,Gomati,1,1,0, 0,0
2020-04-29,North Tripura,1,1,0, 0,0
2020-04-30,Gomati,2,1,0,1,0
2020-04-30,North Tripura,1,1,0, 0,0
2020-05-01,Gomati,2,1,0, 0,0
2020-05-01,North Tripura,1,1,0, 0,0
2020-05-02,Dhalai,2,0,0,2,0
2020-05-02,Gomati,2,1,0, 0,0
2020-05-02,North Tripura,1,1,0, 0,0
2020-05-03,Dhalai,14,0,0,12,0
2020-05-03,Gomati,2,1,0, 0,0
2020-05-03,North Tripura,1,1,0, 0,0
2020-05-04,Dhalai,27,0,0,13,0
2020-05-04,Gomati,2,1,0, 0,0
2020-05-04,North Tripura,1,1,0, 0,0
2020-05-05,Dhalai,40,0,0,13,0
2020-05-05,Gomati,2,1,0, 0,0
2020-05-05,North Tripura,1,1,0, 0,0
2020-05-06,Dhalai,62,0,0,22,0
2020-05-06,Gomati,2,1,0, 0,0
2020-05-06,North Tripura,1,1,0, 0,0
2020-05-07,Dhalai,86,0,0,24,0
2020-05-07,Gomati,2,1,0, 0,0
2020-05-07,North Tripura,1,1,0, 0,0
2020-05-08,Dhalai,116,0,0,30,0
2020-05-08,Gomati,2,1,0, 0,0
2020-05-08,North Tripura,1,1,0, 0,0
2020-05-09,Dhalai,132,0,0,16,0
2020-05-09,Gomati,2,1,0, 0,0
2020-05-09,North Tripura,2,1,0,1,0
2020-05-10,Dhalai,148,0,0,16,0
2020-05-10,Gomati,2,1,0, 0,0
2020-05-10,North Tripura,2,1,0, 0,0
2020-05-11,Dhalai,148,0,0, 0,0
2020-05-11,Gomati,2,1,0, 0,0
2020-05-11,North Tripura,2,1,0, 0,0
2020-05-12,Dhalai,150,0,0,2,0
2020-05-12,Gomati,2,1,0, 0,0
2020-05-12,North Tripura,2,1,0, 0,0
2020-05-13,Dhalai,151,0,0,1,0
2020-05-13,Gomati,2,1,0, 0,0
2020-05-13,North Tripura,2,1,0, 0,0
2020-05-14,Dhalai,152,27,0,1,27
2020-05-14,Gomati,2,1,0, 0,0
2020-05-14,North Tripura,2,1,0, 0,0
2020-05-15,Dhalai,152,40,0, 0,13
2020-05-15,Gomati,2,1,0, 0,0
2020-05-15,North Tripura,2,1,0, 0,0
2020-05-16,Dhalai,160,62,0,8,22
2020-05-16,Gomati,2,1,0, 0,0
2020-05-16,Khowai,1,0,0,1,0
2020-05-16,North Tripura,4,1,0,2,0
2020-05-17,Dhalai,158,83,0,-2,21
2020-05-17,Gomati,2,1,0, 0,0
2020-05-17,Khowai,1,0,0, 0,0
2020-05-17,North Tripura,4,1,0, 0,0
2020-05-18,Dhalai,158,87,0, 0,4
2020-05-18,Gomati,2,1,0, 0,0
2020-05-18,Khowai,1,0,0, 0,0
2020-05-18,North Tripura,4,1,0, 0,0
2020-05-19,Dhalai,162,114,0,4,27
2020-05-19,Gomati,2,1,0, 0,0
2020-05-19,Khowai,1,0,0, 0,0
2020-05-19,North Tripura,4,1,0, 0,0
2020-05-19,Unknown,4,0,0,4,0
2020-05-20,Dhalai,162,114,0, 0,0
2020-05-20,Gomati,2,1,0, 0,0
2020-05-20,Khowai,1,0,0, 0,0
2020-05-20,North Tripura,4,1,0, 0,0
2020-05-20,Unknown,4,0,0, 0,0
2020-05-21,Dhalai,162,146,0, 0,32
2020-05-21,Gomati,2,1,0, 0,0
2020-05-21,Khowai,1,0,0, 0,0
2020-05-21,North Tripura,4,1,0, 0,0
2020-05-21,Sipahijala,2,0,0,2,0
2020-05-21,Unknown,4,0,0, 0,0
2020-05-22,Dhalai,162,150,0, 0,4
2020-05-22,Gomati,2,1,0, 0,0
2020-05-22,Khowai,1,0,0, 0,0
2020-05-22,North Tripura,4,1,0, 0,0
2020-05-22,Sipahijala,2,0,0, 0,0
2020-05-22,Unknown,4,0,0, 0,0
2020-05-23,Dhalai,164,150,0,2,0
2020-05-23,Gomati,6,1,0,4,0
2020-05-23,Khowai,2,0,0,1,0
2020-05-23,North Tripura,5,1,0,1,0
2020-05-23,Sipahijala,5,0,0,3,0
2020-05-23,South Tripura,2,0,0,2,0
2020-05-23,Unknown,0,0,0,-4,0
2020-05-23,Unokoti,1,0,0,1,0
2020-05-23,West Tripura,6,0,0,6,0
2020-05-24,Dhalai,164,160,0, 0,10
2020-05-24,Gomati,6,1,0, 0,0
2020-05-24,Khowai,2,1,0, 0,1
2020-05-24,North Tripura,5,3,0, 0,2
2020-05-24,Sipahijala,5,0,0, 0,0
2020-05-24,South Tripura,2,0,0, 0,0
2020-05-24,Unknown,3,0,0,3,0
2020-05-24,Unokoti,1,0,0, 0,0
2020-05-24,West Tripura,6,0,0, 0,0
2020-05-25,Dhalai,164,160,0, 0,0
2020-05-25,Gomati,6,1,0, 0,0
2020-05-25,Khowai,2,1,0, 0,0
2020-05-25,North Tripura,5,3,0, 0,0
2020-05-25,Sipahijala,5,0,0, 0,0
2020-05-25,South Tripura,2,0,0, 0,0
2020-05-25,Unknown,7,0,0,4,0
2020-05-25,Unokoti,1,0,0, 0,0
2020-05-25,West Tripura,6,0,0, 0,0
2020-05-26,Dhalai,165,160,0,1,0
2020-05-26,Gomati,7,1,0,1,0
2020-05-26,Khowai,12,1,0,10,0
2020-05-26,North Tripura,7,3,0,2,0
2020-05-26,Sipahijala,5,0,0, 0,0
2020-05-26,South Tripura,4,0,0,2,0
2020-05-26,Unknown,23,0,0,16,0
2020-05-26,Unokoti,1,0,0, 0,0
2020-05-26,West Tripura,8,0,0,2,0
2020-05-27,Dhalai,165,160,0, 0,0
2020-05-27,Gomati,28,1,0,21,0
2020-05-27,Khowai,13,1,0,1,0
2020-05-27,North Tripura,8,3,0,1,0
2020-05-27,Sipahijala,5,0,0, 0,0
2020-05-27,South Tripura,4,0,0, 0,0
2020-05-27,Unknown,10,0,0,-13,0
2020-05-27,Unokoti,1,0,0, 0,0
2020-05-27,West Tripura,8,0,0, 0,0
2020-05-28,Dhalai,165,162,0, 0,2
2020-05-28,Gomati,28,1,0, 0,0
2020-05-28,Khowai,13,1,0, 0,0
2020-05-28,North Tripura,8,3,0, 0,0
2020-05-28,Sipahijala,5,0,0, 0,0
2020-05-28,South Tripura,4,0,0, 0,0
2020-05-28,Unknown,12,0,0,2,0
2020-05-28,Unokoti,1,0,0, 0,0
2020-05-28,West Tripura,8,0,0, 0,0
2020-05-29,Dhalai,165,162,0, 0,0
2020-05-29,Gomati,28,1,0, 0,0
2020-05-29,Khowai,13,1,0, 0,0
2020-05-29,North Tripura,8,3,0, 0,0
2020-05-29,Sipahijala,5,0,0, 0,0
2020-05-29,South Tripura,4,0,0, 0,0
2020-05-29,Unknown,22,0,0,10,0
2020-05-29,Unokoti,1,0,0, 0,0
2020-05-29,West Tripura,8,0,0, 0,0
2020-05-30,Dhalai,171,163,0,6,1
2020-05-30,Gomati,31,2,0,3,1
2020-05-30,Khowai,14,1,0,1,0
2020-05-30,North Tripura,8,3,0, 0,0
2020-05-30,Sipahijala,23,2,0,18,2
2020-05-30,South Tripura,5,0,0,1,0
2020-05-30,Unknown,0,0,0,-22,0
2020-05-30,Unokoti,2,1,0,1,1
2020-05-30,West Tripura,17,0,0,9,0
2020-05-31,Dhalai,175,163,0,4,0
2020-05-31,Gomati,37,2,0,6,0
2020-05-31,Khowai,14,1,0, 0,0
2020-05-31,North Tripura,9,4,0,1,1
2020-05-31,Sipahijala,50,2,0,27,0
2020-05-31,South Tripura,8,0,0,3,0
2020-05-31,Unokoti,4,1,0,2,0
2020-05-31,West Tripura,19,0,0,2,0
2020-06-01,Dhalai,175,163,0, 0,0
2020-06-01,Gomati,41,2,0,4,0
2020-06-01,Khowai,16,1,0,2,0
2020-06-01,North Tripura,9,4,0, 0,0
2020-06-01,Sipahijala,101,2,0,51,0
2020-06-01,South Tripura,13,0,0,5,0
2020-06-01,Unokoti,45,1,0,41,0
2020-06-01,West Tripura,23,0,0,4,0
2020-06-02,Dhalai,194,163,0,19,0
2020-06-02,Gomati,51,2,0,10,0
2020-06-02,Khowai,16,1,0, 0,0
2020-06-02,North Tripura,9,4,0, 0,0
2020-06-02,Sipahijala,102,2,0,1,0
2020-06-02,South Tripura,30,0,0,17,0
2020-06-02,Unokoti,47,1,0,2,0
2020-06-02,West Tripura,22,0,0,-1,0
2020-06-03,Dhalai,194,163,0, 0,0
2020-06-03,Gomati,76,2,0,25,0
2020-06-03,Khowai,23,1,0,7,0
2020-06-03,North Tripura,10,4,0,1,0
2020-06-03,Sipahijala,180,2,0,78,0
