date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Agra,372,49,10, 0,0
2020-04-26,Aligarh,13,0,1, 0,0
2020-04-26,Amroha,25,0,0, 0,0
2020-04-26,Auraiya,10,0,0, 0,0
2020-04-26,Ayodhya,1,0,0, 0,0
2020-04-26,Azamgarh,8,3,0, 0,0
2020-04-26,Baghpat,15,1,0, 0,0
2020-04-26,Bahraich,9,0,0, 0,0
2020-04-26,Balrampur,1,0,0, 0,0
2020-04-26,Banda,3,0,0, 0,0
2020-04-26,Barabanki,1,1,0, 0,0
2020-04-26,Bareilly,6,6,0, 0,0
2020-04-26,Basti,23,5,1, 0,0
2020-04-26,Bhadohi,1,0,0, 0,0
2020-04-26,Bijnor,29,0,0, 0,0
2020-04-26,Budaun,14,1,0, 0,0
2020-04-26,Bulandshahr,38,5,1, 0,0
2020-04-26,Etah,3,0,0, 0,0
2020-04-26,Etawah,2,0,0, 0,0
2020-04-26,Firozabad,83,3,1, 0,0
2020-04-26,Gautam Buddha Nagar,117,71,0, 0,0
2020-04-26,Ghaziabad,58,16,0, 0,0
2020-04-26,Ghazipur,6,5,0, 0,0
2020-04-26,Gonda,1,0,0, 0,0
2020-04-26,Hapur,25,0,0, 0,0
2020-04-26,Hardoi,2,2,0, 0,0
2020-04-26,Hathras,4,4,0, 0,0
2020-04-26,Jalaun,1,0,0, 0,0
2020-04-26,Jaunpur,5,4,0, 0,0
2020-04-26,Kannauj,7,0,0, 0,0
2020-04-26,Kanpur Nagar,170,7,3, 0,0
2020-04-26,Kasganj,3,0,0, 0,0
2020-04-26,Kaushambi,2,2,0, 0,0
2020-04-26,Lakhimpur Kheri,4,4,0, 0,0
2020-04-26,Lucknow,194,30,1, 0,0
2020-04-26,Maharajganj,6,6,0, 0,0
2020-04-26,Mainpuri,5,0,0, 0,0
2020-04-26,Mathura,10,0,0, 0,0
2020-04-26,Mau,1,0,0, 0,0
2020-04-26,Meerut,89,36,5, 0,0
2020-04-26,Mirzapur,3,0,0, 0,0
2020-04-26,Moradabad,101,1,6, 0,0
2020-04-26,Muzaffarnagar,18,3,0, 0,0
2020-04-26,Pilibhit,2,2,0, 0,0
2020-04-26,Pratapgarh,6,6,0, 0,0
2020-04-26,Prayagraj,4,1,0, 0,0
2020-04-26,Rae Bareli,43,0,0, 0,0
2020-04-26,Rampur,20,4,0, 0,0
2020-04-26,Saharanpur,181,10,0, 0,0
2020-04-26,Sambhal,13,0,0, 0,0
2020-04-26,Sant Kabir Nagar,21,0,0, 0,0
2020-04-26,Shahjahanpur,1,1,0, 0,0
2020-04-26,Shamli,27,18,0, 0,0
2020-04-26,Shrawasti,5,0,0, 0,0
2020-04-26,Sitapur,20,12,0, 0,0
2020-04-26,Sultanpur,3,0,0, 0,0
2020-04-26,Unnao,1,0,0, 0,0
2020-04-26,Varanasi,37,8,1, 0,0
2020-04-27,Agra,384,52,10,12,3
2020-04-27,Aligarh,23,0,1,10,0
2020-04-27,Amroha,25,5,0, 0,5
2020-04-27,Auraiya,10,0,0, 0,0
2020-04-27,Ayodhya,1,0,0, 0,0
2020-04-27,Azamgarh,8,3,0, 0,0
2020-04-27,Baghpat,15,11,0, 0,10
2020-04-27,Bahraich,9,0,0, 0,0
2020-04-27,Balrampur,1,0,0, 0,0
2020-04-27,Banda,3,0,0, 0,0
2020-04-27,Barabanki,1,1,0, 0,0
