date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Almora,1,1,0, 0,0
2020-04-26,Dehradun,28,14,0, 0,0
2020-04-26,Haridwar,7,0,0, 0,0
2020-04-26,Nainital,10,6,0, 0,0
2020-04-26,Pauri Garhwal,1,1,0, 0,0
2020-04-26,Udham Singh Nagar,4,4,0, 0,0
2020-04-27,Almora,1,1,0, 0,0
2020-04-27,Dehradun,28,14,0, 0,0
2020-04-27,Haridwar,7,0,0, 0,0
2020-04-27,Nainital,10,6,0, 0,0
2020-04-27,Pauri Garhwal,1,1,0, 0,0
2020-04-27,Udham Singh Nagar,4,4,0, 0,0
2020-04-28,Almora,1,1,0, 0,0
2020-04-28,Dehradun,31,14,0,3,0
2020-04-28,Haridwar,7,0,0, 0,0
2020-04-28,Nainital,10,6,0, 0,0
2020-04-28,Pauri Garhwal,1,1,0, 0,0
2020-04-28,Udham Singh Nagar,4,4,0, 0,0
2020-04-29,Almora,1,1,0, 0,0
2020-04-29,Dehradun,31,16,0, 0,2
2020-04-29,Haridwar,7,0,0, 0,0
2020-04-29,Nainital,10,6,0, 0,0
2020-04-29,Pauri Garhwal,1,1,0, 0,0
2020-04-29,Udham Singh Nagar,5,4,0,1,0
2020-04-30,Almora,1,1,0, 0,0
2020-04-30,Dehradun,31,17,0, 0,1
2020-04-30,Haridwar,7,5,0, 0,5
2020-04-30,Nainital,10,8,0, 0,2
2020-04-30,Pauri Garhwal,1,1,0, 0,0
2020-04-30,Udham Singh Nagar,7,4,0,2,0
2020-05-01,Almora,1,1,0, 0,0
2020-05-01,Dehradun,31,18,1, 0,1
2020-05-01,Haridwar,7,5,0, 0,0
2020-05-01,Nainital,10,8,0, 0,0
2020-05-01,Pauri Garhwal,1,1,0, 0,0
2020-05-01,Udham Singh Nagar,7,4,0, 0,0
2020-05-02,Almora,1,1,0, 0,0
2020-05-02,Dehradun,33,20,1,2,2
2020-05-02,Haridwar,7,5,0, 0,0
2020-05-02,Nainital,10,8,0, 0,0
2020-05-02,Pauri Garhwal,1,1,0, 0,0
2020-05-02,Udham Singh Nagar,7,4,0, 0,0
2020-05-03,Almora,1,1,0, 0,0
2020-05-03,Dehradun,33,20,1, 0,0
2020-05-03,Haridwar,7,5,0, 0,0
2020-05-03,Nainital,10,8,0, 0,0
2020-05-03,Pauri Garhwal,1,1,0, 0,0
2020-05-03,Udham Singh Nagar,8,4,0,1,0
2020-05-04,Almora,1,1,0, 0,0
2020-05-04,Dehradun,33,20,1, 0,0
2020-05-04,Haridwar,7,5,0, 0,0
2020-05-04,Nainital,10,8,0, 0,0
2020-05-04,Pauri Garhwal,1,1,0, 0,0
2020-05-04,Udham Singh Nagar,8,4,0, 0,0
2020-05-05,Almora,1,1,0, 0,0
2020-05-05,Dehradun,34,20,1,1,0
2020-05-05,Haridwar,7,5,0, 0,0
2020-05-05,Nainital,10,8,0, 0,0
2020-05-05,Pauri Garhwal,1,1,0, 0,0
2020-05-05,Udham Singh Nagar,8,4,0, 0,0
2020-05-06,Almora,1,1,0, 0,0
2020-05-06,Dehradun,34,20,1, 0,0
2020-05-06,Haridwar,7,5,0, 0,0
2020-05-06,Nainital,10,8,0, 0,0
2020-05-06,Pauri Garhwal,1,1,0, 0,0
2020-05-06,Udham Singh Nagar,8,4,0, 0,0
2020-05-07,Almora,1,1,0, 0,0
2020-05-07,Dehradun,34,20,1, 0,0
2020-05-07,Haridwar,7,5,0, 0,0
2020-05-07,Nainital,10,8,0, 0,0
2020-05-07,Pauri Garhwal,1,1,0, 0,0
2020-05-07,Udham Singh Nagar,8,4,0, 0,0
2020-05-08,Almora,1,1,0, 0,0
2020-05-08,Dehradun,34,26,1, 0,6
2020-05-08,Haridwar,8,5,0,1,0
2020-05-08,Nainital,10,8,0, 0,0
2020-05-08,Pauri Garhwal,1,1,0, 0,0
2020-05-08,Udham Singh Nagar,9,4,0,1,0
2020-05-09,Almora,1,1,0, 0,0
2020-05-09,Dehradun,34,26,1, 0,0
2020-05-09,Haridwar,7,5,0,-1,0
2020-05-09,Nainital,10,9,0, 0,1
2020-05-09,Pauri Garhwal,1,1,0, 0,0
2020-05-09,Udham Singh Nagar,13,4,0,4,0
2020-05-09,Uttarkashi,1,0,0,1,0
2020-05-10,Almora,1,1,0, 0,0
2020-05-10,Dehradun,35,26,1,1,0
2020-05-10,Haridwar,7,5,0, 0,0
2020-05-10,Nainital,10,9,0, 0,0
2020-05-10,Pauri Garhwal,1,1,0, 0,0
2020-05-10,Udham Singh Nagar,13,4,0, 0,0
2020-05-10,Uttarkashi,1,0,0, 0,0
2020-05-11,Almora,1,1,0, 0,0
2020-05-11,Dehradun,35,26,1, 0,0
2020-05-11,Haridwar,7,5,0, 0,0
2020-05-11,Nainital,10,9,0, 0,0
2020-05-11,Pauri Garhwal,1,1,0, 0,0
2020-05-11,Udham Singh Nagar,13,4,0, 0,0
2020-05-11,Uttarkashi,1,0,0, 0,0
