date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Darjeeling,4,0,0, 0,0
2020-04-26,Hooghly,12,0,0, 0,0
2020-04-26,Howrah,79,0,0, 0,0
2020-04-26,Jalpaiguri,5,0,0, 0,0
2020-04-26,Kalimpong,7,0,0, 0,0
2020-04-26,Kolkata,184,0,0, 0,0
2020-04-26,Murshidabad,2,0,0, 0,0
2020-04-26,Nadia,6,0,0, 0,0
2020-04-26,North 24 Parganas,47,0,0, 0,0
2020-04-26,Paschim Bardhaman,7,0,0, 0,0
2020-04-26,Purba Bardhaman,1,0,0, 0,0
2020-04-26,Purba Medinipur,22,0,0, 0,0
2020-04-26,South 24 Parganas,12,0,0, 0,0
2020-04-26,Unknown,223,105,20, 0,0
2020-04-27,Darjeeling,4,0,0, 0,0
2020-04-27,Hooghly,12,0,0, 0,0
2020-04-27,Howrah,79,0,0, 0,0
2020-04-27,Jalpaiguri,5,0,0, 0,0
2020-04-27,Kalimpong,7,0,0, 0,0
2020-04-27,Kolkata,184,0,0, 0,0
2020-04-27,Murshidabad,2,0,0, 0,0
2020-04-27,Nadia,6,0,0, 0,0
2020-04-27,North 24 Parganas,47,0,0, 0,0
2020-04-27,Paschim Bardhaman,7,0,0, 0,0
2020-04-27,Purba Bardhaman,1,0,0, 0,0
2020-04-27,Purba Medinipur,22,0,0, 0,0
2020-04-27,South 24 Parganas,12,0,0, 0,0
2020-04-27,Unknown,261,105,20,38,0
2020-04-28,Darjeeling,4,0,0, 0,0
2020-04-28,Hooghly,12,0,0, 0,0
2020-04-28,Howrah,79,0,0, 0,0
2020-04-28,Jalpaiguri,5,0,0, 0,0
2020-04-28,Kalimpong,7,0,0, 0,0
2020-04-28,Kolkata,184,0,0, 0,0
2020-04-28,Murshidabad,2,0,0, 0,0
2020-04-28,Nadia,6,0,0, 0,0
2020-04-28,North 24 Parganas,47,0,0, 0,0
2020-04-28,Paschim Bardhaman,7,0,0, 0,0
2020-04-28,Purba Bardhaman,1,0,0, 0,0
2020-04-28,Purba Medinipur,22,0,0, 0,0
2020-04-28,South 24 Parganas,12,0,0, 0,0
2020-04-28,Unknown,309,109,22,48,4
2020-04-29,Darjeeling,4,0,0, 0,0
2020-04-29,Hooghly,12,0,0, 0,0
2020-04-29,Howrah,79,0,0, 0,0
2020-04-29,Jalpaiguri,5,0,0, 0,0
2020-04-29,Kalimpong,7,0,0, 0,0
2020-04-29,Kolkata,184,0,0, 0,0
2020-04-29,Murshidabad,2,0,0, 0,0
2020-04-29,Nadia,6,0,0, 0,0
2020-04-29,North 24 Parganas,47,0,0, 0,0
2020-04-29,Paschim Bardhaman,7,0,0, 0,0
2020-04-29,Purba Bardhaman,1,0,0, 0,0
2020-04-29,Purba Medinipur,22,0,0, 0,0
2020-04-29,South 24 Parganas,12,0,0, 0,0
2020-04-29,Unknown,337,119,22,28,10
2020-04-30,Darjeeling,4,0,0, 0,0
2020-04-30,Hooghly,12,0,0, 0,0
2020-04-30,Howrah,79,0,0, 0,0
2020-04-30,Jalpaiguri,5,0,0, 0,0
2020-04-30,Kalimpong,7,0,0, 0,0
2020-04-30,Kolkata,184,0,0, 0,0
2020-04-30,Murshidabad,2,0,0, 0,0
2020-04-30,Nadia,6,0,0, 0,0
2020-04-30,North 24 Parganas,47,0,0, 0,0
2020-04-30,Paschim Bardhaman,7,0,0, 0,0
2020-04-30,Purba Bardhaman,1,0,0, 0,0
2020-04-30,Purba Medinipur,22,0,0, 0,0
2020-04-30,South 24 Parganas,12,0,0, 0,0
2020-04-30,Unknown,370,124,33,33,5
2020-05-01,Darjeeling,4,0,0, 0,0
2020-05-01,Hooghly,12,0,0, 0,0
2020-05-01,Howrah,79,0,0, 0,0
2020-05-01,Jalpaiguri,5,0,0, 0,0
2020-05-01,Kalimpong,7,0,0, 0,0
2020-05-01,Kolkata,184,0,0, 0,0
2020-05-01,Murshidabad,2,0,0, 0,0
2020-05-01,Nadia,6,0,0, 0,0
2020-05-01,North 24 Parganas,47,0,0, 0,0
2020-05-01,Paschim Bardhaman,7,0,0, 0,0
2020-05-01,Purba Bardhaman,1,0,0, 0,0
2020-05-01,Purba Medinipur,22,0,0, 0,0
2020-05-01,South 24 Parganas,12,0,0, 0,0
2020-05-01,Unknown,407,139,41,37,15
2020-05-02,Darjeeling,4,0,0, 0,0
2020-05-02,Hooghly,12,0,0, 0,0
2020-05-02,Howrah,79,0,0, 0,0
2020-05-02,Jalpaiguri,5,0,0, 0,0
2020-05-02,Kalimpong,7,0,0, 0,0
2020-05-02,Kolkata,184,0,0, 0,0
2020-05-02,Murshidabad,2,0,0, 0,0
2020-05-02,Nadia,6,0,0, 0,0
2020-05-02,North 24 Parganas,47,0,0, 0,0
2020-05-02,Paschim Bardhaman,7,0,0, 0,0
2020-05-02,Purba Bardhaman,1,0,0, 0,0
2020-05-02,Purba Medinipur,22,0,0, 0,0
2020-05-02,South 24 Parganas,12,0,0, 0,0
2020-05-02,Unknown,534,151,48,127,12
2020-05-03,Birbhum,3,0,0,3,0
2020-05-03,Darjeeling,6,0,1,2,0
2020-05-03,Hooghly,40,3,4,28,3
2020-05-03,Howrah,220,20,17,141,20
2020-05-03,Jalpaiguri,5,4,0, 0,4
2020-05-03,Kalimpong,7,6,1, 0,6
2020-05-03,Kolkata,635,95,87,451,95
2020-05-03,Malda,2,0,0,2,0
2020-05-03,Murshidabad,2,0,1, 0,0
2020-05-03,Nadia,8,6,0,2,6
2020-05-03,North 24 Parganas,169,34,18,122,34
2020-05-03,Other State,10,0,0,10,0
2020-05-03,Paschim Bardhaman,10,3,2,3,3
2020-05-03,Paschim Medinipur,14,3,0,14,3
2020-05-03,Purba Bardhaman,3,0,0,2,0
2020-05-03,Purba Medinipur,34,21,1,12,21
2020-05-03,South 24 Parganas,30,4,1,18,4
2020-05-03,Unknown,0,-67,-11,-534,-218
2020-05-04,Birbhum,3,0,0, 0,0
2020-05-04,Darjeeling,6,0,1, 0,0
